LBS,OZ,CA,AD,AE,AF,AG,AI,AL,AM,AN,AO,AR,AT,AU,AW,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BL,BM,BN,BO,BR,BS,BT,BW,BY,BZ,CC,CD,CF,CG,CH,CI,CK,CL,CM,CN,CO,CR,CV,CX,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,EH,ER,ES,ET,FI,FJ,FK,FM,FO,FR,GA,GB,GD,GE,GF,GH,GI,GL,GM,GN,GP,GQ,GR,GS,GT,GW,GY,HK,HN,HR,HT,HU,ID,IE,IL,IM,IN,IO,IQ,IS,IT,JM,JO,JP,KE,KG,KH,KI,KM,KN,KR,KW,KY,KZ,LA,LB,LC,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MF,MG,MH,MK,ML,MN,MO,MQ,MR,MS,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NF,NG,NI,NL,NO,NP,NR,NU,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PM,PN,PS,PT,PW,PY,QA,RE,RO,RS,RU,RW,SA,SB,SC,SE,SG,SH,SI,SJ,SK,SL,SM,SN,SR,ST,SV,SZ,TC,TD,TF,TG,TH,TJ,TL,TM,TN,TO,TR,TT,TV,TW,TZ,UA,UG,UY,UZ,VA,VC,VE,VG,VN,VU,WF,WS,YE,YT,ZA,ZM,ZW
0.06,1,1.23,0.64,0.68,0.80,0.69,1.00,0.75,0.80,1.00,0.79,0.70,1.30,1.29,1.00,0.75,0.72,1.00,0.62,1.26,0.82,0.73,0.69,0.83,0.80,1.29,1.00,0.69,0.83,0.73,1.00,0.74,0.73,1.00,1.00,1.34,0.79,0.82,0.78,1.28,0.73,0.83,0.72,0.78,0.69,0.78,1.00,0.83,1.34,1.19,0.99,1.22,0.80,1.92,1.00,1.00,0.71,0.79,0.70,0.69,0.74,0.80,0.98,0.76,1.08,0.84,0.68,0.85,0.70,1.23,0.77,1.20,1.00,0.74,1.00,0.72,0.90,0.70,0.86,0.82,1.00,0.81,1.26,0.71,1.00,0.87,1.00,0.61,1.00,0.70,1.00,0.70,0.79,1.23,1.22,1.20,0.72,0.73,0.76,1.31,1.92,1.00,0.73,1.60,0.75,0.79,0.75,0.88,0.78,1.00,0.60,0.68,1.00,0.76,0.90,0.69,1.00,0.66,0.62,0.80,0.78,0.72,1.14,0.71,0.77,0.74,0.64,0.82,0.75,1.30,0.83,0.78,0.70,0.79,0.81,0.72,1.00,0.84,1.00,0.74,0.72,0.79,0.79,0.64,0.77,0.78,0.77,0.83,0.81,0.82,0.74,1.00,1.24,1.70,0.73,0.84,2.71,2.71,0.70,1.00,0.75,0.83,0.86,0.70,0.46,0.72,0.67,0.83,1.22,1.25,0.78,0.82,0.69,0.79,1.17,0.74,0.77,0.75,0.71,0.88,0.74,1.11,1.03,0.79,1.05,1.25,1.37,0.80,0.67,0.79,1.00,0.92,1.00,0.75,0.78,0.83,1.58,0.78,0.69,0.83,0.80,0.79,0.71,0.85,0.70,1.00,0.89,0.75,0.75,1.22,0.75,0.76,0.79,0.69,1.00,0.78,1.00,0.73,0.99,0.83,0.88,0.76,0.64,0.78,0.78,0.75
0.13,2,1.67,1.10,1.17,1.41,1.20,1.59,1.31,1.41,1.59,1.40,1.22,1.87,1.90,1.59,1.31,1.25,1.59,1.06,1.61,1.45,1.27,1.19,1.47,1.41,1.69,1.59,1.20,1.47,1.28,1.59,1.30,1.27,1.60,1.59,1.85,1.39,1.46,1.38,1.65,1.27,1.47,1.25,1.37,1.20,1.38,1.59,1.48,1.85,1.60,1.33,1.55,1.41,2.39,1.59,1.59,1.24,1.39,1.21,1.20,1.30,1.42,1.32,1.33,1.31,1.49,1.18,1.51,1.21,1.58,1.36,1.53,1.59,1.30,1.59,1.26,1.62,1.21,1.53,1.45,1.59,1.43,1.83,1.24,1.59,1.56,1.59,1.36,1.59,1.21,1.59,1.22,1.40,1.44,1.56,1.53,1.25,1.28,1.33,1.88,3.28,1.59,1.27,2.09,1.32,1.39,1.32,1.57,1.38,1.59,1.01,1.18,1.59,1.34,1.61,1.20,1.59,1.14,1.06,1.42,1.38,1.25,1.40,1.23,1.36,1.30,1.10,1.45,1.32,1.87,1.47,1.38,1.21,1.40,1.43,1.25,1.59,1.49,1.59,1.29,1.26,1.40,1.39,1.09,0.98,1.37,1.35,1.48,1.44,1.46,1.30,1.59,1.61,2.36,1.29,1.50,3.05,3.05,1.21,1.59,1.32,1.48,1.53,1.21,0.74,1.25,1.15,1.47,1.56,1.62,1.38,1.45,1.19,1.39,1.56,1.29,1.36,1.32,1.23,1.57,1.29,1.34,1.40,1.39,1.45,1.63,1.67,1.42,1.16,1.40,1.59,1.65,1.59,1.31,1.38,1.47,2.36,1.38,1.20,1.47,1.41,1.40,1.24,1.52,1.22,1.59,1.59,1.25,1.32,1.65,1.31,1.33,1.39,1.20,1.59,1.37,1.59,1.27,1.79,1.48,1.57,1.34,1.10,1.38,1.37,1.32
0.19,3,1.95,1.55,1.66,2.01,1.70,2.18,1.86,2.02,2.18,2.00,1.73,2.23,2.27,2.18,1.87,1.78,2.18,1.49,1.95,2.08,1.80,1.68,2.10,2.01,2.09,2.18,1.70,2.10,1.82,2.18,1.85,1.80,2.19,2.18,2.36,1.98,2.08,1.97,2.02,1.80,2.10,1.77,1.95,1.69,1.97,2.18,2.12,2.36,2.00,1.66,1.87,2.01,3.48,2.18,2.18,1.75,1.98,1.71,1.27,1.85,2.03,1.65,1.89,1.53,2.14,1.67,2.17,1.72,1.91,1.93,1.86,2.18,1.84,2.18,1.79,2.32,1.72,2.20,2.08,2.18,2.05,2.19,1.75,2.18,2.24,2.18,1.66,2.18,1.72,2.18,1.73,1.99,2.52,1.89,1.86,1.77,1.82,1.89,2.43,3.17,2.18,1.80,2.56,1.88,1.98,1.88,2.25,1.96,2.18,1.41,1.67,2.18,1.90,2.31,1.70,2.18,1.60,1.49,2.03,1.97,1.78,1.66,1.74,1.93,1.85,1.55,2.07,1.88,2.23,2.10,1.97,1.71,2.00,2.04,1.77,2.18,2.14,2.18,1.83,1.78,1.99,1.98,6.28,1.17,1.95,1.92,2.12,2.06,2.09,1.85,2.18,1.96,2.90,1.83,2.15,3.37,3.37,1.72,2.18,1.88,2.12,2.19,1.71,1.01,1.77,1.62,2.10,1.89,1.98,1.97,2.08,1.69,1.99,1.94,1.83,1.93,1.87,1.75,2.25,1.83,1.56,1.76,1.98,1.84,1.99,2.07,2.03,1.64,1.99,2.18,2.38,2.18,1.86,1.97,2.10,2.75,1.97,1.70,2.10,2.01,1.99,1.76,2.18,1.40,2.18,2.28,1.59,1.87,2.06,1.86,1.90,1.98,1.69,2.18,1.96,2.18,1.80,2.58,2.12,2.25,1.90,1.55,1.97,1.96,1.88
0.25,4,2.36,2.03,2.18,2.65,2.23,2.80,2.45,2.66,2.80,2.64,1.50,2.92,2.83,2.80,2.46,2.34,2.80,1.95,1.81,2.74,2.37,2.21,2.76,2.65,2.52,2.80,2.24,1.50,2.39,2.80,2.43,1.91,2.82,2.80,2.90,2.61,2.75,2.59,2.42,2.37,2.77,5.65,2.57,2.22,2.59,2.80,2.80,2.90,2.43,1.99,2.22,2.65,4.17,2.80,2.80,2.31,1.47,2.24,1.66,2.43,2.67,2.02,2.49,2.00,2.81,2.20,2.86,2.26,2.28,2.55,2.21,2.80,2.42,2.80,1.91,3.07,2.26,2.90,2.74,2.80,2.70,3.47,2.31,2.80,2.95,2.80,2.12,2.80,2.26,2.80,2.20,2.62,2.87,2.25,2.21,2.32,2.40,2.49,2.51,3.64,2.80,2.37,3.07,1.91,2.61,2.48,2.96,2.58,2.80,1.85,2.20,2.80,2.50,3.05,2.23,2.80,2.11,1.95,2.68,2.59,2.34,2.10,2.29,2.55,2.43,2.03,2.72,2.48,2.76,2.76,2.59,2.25,2.64,2.68,2.33,2.80,2.82,2.80,2.40,2.34,2.63,2.61,6.47,1.45,2.57,2.53,2.79,2.72,2.75,1.91,2.80,2.35,3.57,2.40,2.84,3.74,3.74,2.26,2.80,2.48,2.79,2.89,2.25,1.32,2.33,2.13,2.77,2.25,2.38,2.59,1.57,2.22,2.62,2.36,2.41,2.54,2.46,2.30,2.96,2.41,1.81,2.15,2.61,2.27,2.40,2.39,2.68,2.16,2.62,2.80,3.14,2.80,2.45,2.59,2.76,3.31,2.60,2.60,2.77,2.64,2.62,2.32,2.88,1.84,2.80,3.01,2.12,1.91,2.50,1.91,1.57,2.60,2.22,2.80,1.47,2.80,2.37,3.41,2.79,2.96,2.51,2.03,2.61,1.91,1.91
0.31,5,2.74,2.48,2.66,3.25,2.73,3.38,3.00,3.26,3.38,3.24,1.81,3.12,3.35,3.38,3.01,2.86,3.38,2.38,2.03,3.36,2.90,2.70,3.39,3.25,2.91,3.38,2.74,1.81,2.93,3.38,2.98,2.33,3.40,3.38,3.40,3.20,3.37,3.18,2.78,2.91,3.41,5.88,3.16,2.72,3.18,3.38,3.44,3.40,2.83,2.16,2.54,3.25,4.82,3.38,3.38,2.82,1.78,2.74,2.02,2.98,3.28,2.35,3.06,2.22,3.46,2.69,3.51,2.76,2.62,3.12,2.54,3.38,2.97,3.38,2.33,3.77,2.76,3.56,3.36,3.38,3.31,3.92,2.82,3.38,3.63,3.38,2.42,3.38,2.76,3.38,2.55,3.22,3.19,2.58,2.54,2.84,2.93,3.05,2.90,4.06,3.38,2.90,3.54,2.33,3.20,3.04,3.65,3.17,3.38,2.26,2.69,3.38,3.07,3.75,2.73,3.38,2.57,2.38,3.29,3.18,2.86,2.33,2.80,3.12,2.98,2.48,3.34,3.04,3.26,3.39,3.18,2.75,3.23,3.30,2.85,3.38,3.46,3.38,2.94,2.87,3.22,3.20,6.62,1.65,3.15,3.10,3.43,3.34,3.38,2.33,3.38,2.70,4.19,2.94,3.49,4.07,4.07,2.76,3.38,3.04,3.43,3.56,2.76,1.59,2.48,2.61,3.40,2.58,2.74,3.18,1.90,2.71,3.21,2.73,2.95,3.12,3.02,2.82,3.65,2.96,2.03,2.51,3.20,2.66,2.76,2.67,3.29,2.64,3.22,3.38,3.86,3.38,3.00,3.18,3.39,3.83,3.18,3.19,3.40,3.24,3.22,2.84,3.54,2.24,3.38,3.70,2.46,2.33,2.91,2.33,1.90,3.19,2.72,3.38,1.77,3.38,2.90,4.21,3.43,3.65,3.07,2.48,2.83,2.33,2.33
0.38,6,3.13,2.94,3.15,3.87,3.24,3.97,3.56,3.88,3.97,3.85,2.14,3.33,3.88,3.97,3.57,3.39,3.97,2.82,2.26,4.00,3.44,3.21,4.03,3.87,3.32,3.97,3.25,2.14,3.48,3.97,3.53,2.75,4.00,3.97,3.91,3.80,4.01,3.77,3.16,3.45,4.05,6.12,3.75,3.23,3.77,3.97,4.09,3.91,3.24,2.34,2.87,3.87,5.48,3.97,3.97,3.35,2.10,3.25,2.38,3.54,3.90,2.70,3.63,2.45,4.11,3.19,4.18,3.28,2.97,3.71,2.87,3.97,3.52,3.97,2.75,4.49,3.28,4.23,4.00,3.97,3.93,4.38,3.35,3.97,4.32,3.97,2.80,3.97,3.27,3.97,2.90,3.82,3.52,2.92,2.87,3.37,3.48,3.62,3.30,4.50,3.97,3.44,4.02,2.75,3.81,3.61,4.34,3.77,3.97,2.67,3.18,3.97,3.64,4.47,3.24,3.97,3.05,2.82,3.91,3.77,3.39,2.56,3.33,3.71,3.54,2.94,3.97,3.61,3.76,4.03,3.77,3.26,3.84,3.92,3.38,3.97,4.12,3.97,3.49,3.40,3.83,3.80,8.67,1.86,3.74,3.68,4.08,3.97,4.02,2.75,3.97,3.06,4.83,3.49,4.14,4.40,4.40,3.28,3.97,3.61,4.08,4.23,3.27,1.87,2.63,3.09,4.05,2.92,3.11,3.77,2.24,3.22,3.81,3.12,3.50,3.71,3.58,3.34,4.34,3.51,2.26,2.87,3.81,3.07,3.14,2.97,3.91,3.13,3.83,3.97,4.60,3.97,3.56,3.77,4.03,4.37,3.78,3.79,4.04,3.85,3.83,3.37,4.21,2.65,3.97,4.40,2.81,2.75,3.34,2.75,2.24,3.79,3.23,3.97,2.09,3.97,3.45,5.01,4.08,4.34,3.65,2.94,3.05,2.75,2.75
0.44,7,3.51,3.39,3.64,4.47,3.74,4.55,4.11,4.48,4.55,4.45,2.45,3.53,4.41,4.55,4.13,3.92,4.55,3.24,2.48,4.62,3.97,3.70,4.66,4.47,3.71,4.55,3.75,2.45,4.01,4.55,4.08,3.17,4.59,4.55,4.42,4.39,4.64,4.36,3.52,3.98,4.68,6.36,4.33,3.72,4.36,4.55,4.73,4.42,3.64,2.50,3.19,4.47,6.14,4.55,4.55,3.87,2.41,3.76,2.74,4.09,4.51,3.03,4.19,2.66,4.76,3.68,4.83,3.78,3.30,4.28,3.19,4.55,4.07,4.55,3.17,5.20,3.78,4.90,4.62,4.55,4.55,4.83,3.87,4.55,4.99,4.55,3.10,4.55,3.78,4.55,3.25,4.42,3.83,3.25,3.19,3.89,4.02,4.19,3.69,4.93,4.55,3.97,4.49,3.17,4.40,4.17,5.02,4.35,4.55,3.07,3.67,4.55,4.21,5.17,3.74,4.55,3.52,3.24,4.52,4.36,3.92,2.79,3.84,4.28,4.09,3.39,4.59,4.17,4.25,4.66,4.36,3.76,4.44,4.53,3.91,4.55,4.76,4.55,4.03,3.93,4.43,4.39,8.82,2.06,4.33,4.25,4.72,4.59,4.64,3.17,4.55,3.41,5.46,4.03,4.79,4.73,4.73,3.78,4.55,4.16,4.72,4.89,3.77,2.14,2.78,3.56,4.68,3.25,3.47,4.36,2.57,3.71,4.41,3.50,4.04,4.28,4.14,3.86,5.02,4.05,2.48,3.23,4.40,3.46,3.50,3.25,4.52,3.61,4.42,4.55,5.32,4.55,4.12,4.36,4.66,4.89,4.37,4.38,4.67,4.45,4.42,3.88,4.87,3.05,4.55,5.09,3.15,3.17,3.75,3.17,2.57,4.38,3.72,4.55,2.39,4.55,3.98,5.80,4.72,5.02,4.21,3.39,3.26,3.17,3.17
0.50,8,3.79,3.84,4.13,5.08,4.25,5.15,4.67,5.10,5.15,5.06,2.78,5.74,4.76,5.15,4.69,4.45,5.15,3.68,2.71,5.26,4.52,4.20,5.30,5.08,4.12,5.15,4.26,2.78,4.56,5.15,4.64,3.60,5.19,5.15,4.93,4.99,5.27,4.96,3.90,4.52,5.32,6.60,4.93,4.23,4.96,5.15,5.38,4.93,4.05,2.68,3.52,5.08,6.08,5.15,5.15,4.39,2.73,4.27,3.11,4.65,5.13,3.37,4.76,2.89,5.41,4.18,5.49,4.29,3.65,4.87,3.52,5.15,4.62,5.15,3.60,5.91,4.29,5.57,5.26,5.15,5.17,5.48,4.39,5.15,5.68,5.15,3.47,5.15,4.29,5.15,3.68,5.02,6.66,3.59,3.52,4.42,4.57,4.76,4.09,7.22,5.15,4.51,4.98,3.60,5.00,4.74,5.71,4.95,5.15,3.49,4.17,5.15,4.78,5.88,4.24,5.15,3.99,3.68,5.14,4.96,4.45,3.03,4.36,4.87,4.65,3.84,5.22,4.74,4.60,5.30,4.96,4.27,5.05,5.15,4.44,5.15,5.41,5.15,4.58,4.46,5.03,4.99,9.70,2.26,4.92,4.83,5.37,5.21,5.28,3.60,5.15,3.77,7.67,4.58,5.45,5.07,5.07,4.30,5.15,4.73,5.37,5.57,4.29,2.42,2.93,4.05,5.32,3.59,3.84,4.96,2.91,4.22,5.01,3.89,4.60,4.87,4.70,4.38,5.71,4.60,2.71,3.60,5.00,3.86,3.88,3.67,5.13,4.10,5.03,5.15,6.06,5.15,4.68,4.96,5.30,4.84,4.97,4.98,5.31,5.07,5.03,4.41,5.54,3.46,5.15,5.79,3.51,3.60,4.17,3.60,2.91,4.98,4.23,5.15,2.71,5.15,4.52,6.60,5.37,5.71,4.79,3.84,3.48,3.60,3.60
0.56,9,4.15,4.29,4.61,5.68,4.75,5.73,5.22,5.70,5.73,5.66,3.09,5.96,5.26,5.73,5.24,4.98,5.73,4.11,2.93,5.88,5.05,4.69,5.93,5.68,4.51,5.73,4.75,3.09,5.10,5.73,5.18,4.02,5.78,5.73,5.43,5.59,5.90,5.54,4.27,5.06,5.96,6.71,5.51,4.72,5.54,5.73,6.02,5.43,4.45,2.85,3.84,5.68,6.46,5.73,5.73,4.91,3.04,4.77,3.46,5.19,5.73,3.71,5.33,3.11,6.05,4.67,6.15,4.80,3.98,5.45,3.85,5.73,5.17,5.73,4.02,6.62,4.80,6.23,5.88,5.73,5.78,5.83,4.91,5.73,6.36,5.73,4.07,5.73,4.79,5.73,4.05,5.62,7.02,3.92,3.85,4.94,5.11,5.32,4.48,7.59,5.73,5.04,5.45,4.02,5.59,5.30,6.39,5.53,5.73,3.89,4.66,5.73,5.35,6.58,4.74,5.73,4.46,4.11,5.75,5.54,4.98,3.26,4.88,5.45,5.19,4.29,5.84,5.30,5.07,5.93,5.54,4.77,5.65,5.76,4.96,5.73,6.06,5.73,5.13,4.99,5.63,5.59,10.27,2.51,5.50,5.40,6.00,5.83,5.91,4.02,5.73,4.13,8.10,5.12,6.10,5.40,5.40,4.80,5.73,5.29,6.00,6.23,4.79,2.69,3.08,4.52,5.95,3.92,4.21,5.54,3.25,4.71,5.60,4.27,5.14,5.44,5.26,4.89,6.39,5.15,2.93,3.95,5.59,4.25,4.24,4.04,5.74,4.58,5.62,5.73,6.78,5.73,5.23,5.54,5.93,5.16,5.56,5.57,5.94,5.67,5.62,4.93,6.20,3.86,5.73,6.48,4.36,4.02,4.58,4.02,3.25,5.57,4.72,5.73,3.02,5.73,5.06,7.40,6.00,6.39,5.36,4.29,3.69,4.02,4.02
0.63,10,4.51,4.74,5.10,6.29,5.24,6.31,5.77,6.30,6.31,6.26,3.41,6.19,5.76,6.31,5.80,5.50,6.31,4.53,3.15,6.51,5.58,5.19,6.56,6.29,4.91,6.31,5.25,3.41,5.64,6.31,5.73,4.43,6.37,6.31,5.94,6.18,6.53,6.13,4.63,5.59,6.59,6.94,6.09,5.22,6.13,6.31,6.66,5.94,4.85,3.02,4.16,6.29,6.85,6.31,6.31,5.43,3.34,5.27,3.82,5.74,6.34,4.04,5.89,3.33,6.70,5.16,6.80,5.30,4.32,6.02,4.17,6.31,5.72,6.31,4.43,7.32,5.30,6.90,6.51,6.31,6.40,6.18,5.43,6.31,7.04,6.31,4.37,6.31,5.30,6.31,4.42,6.21,7.39,4.25,4.17,5.47,5.65,5.88,4.87,7.97,6.31,5.58,5.92,4.43,6.19,5.85,7.07,6.12,6.31,4.29,5.15,6.31,5.91,7.29,5.24,6.31,4.92,4.53,6.36,6.13,5.50,3.49,5.39,6.02,5.74,4.74,6.46,5.86,5.55,6.56,6.13,5.27,6.25,6.37,5.48,6.31,6.70,6.31,5.67,5.52,6.23,6.18,10.43,2.71,6.08,5.97,6.64,6.45,6.54,4.43,6.31,4.48,8.53,5.66,6.75,5.73,5.73,5.31,6.31,5.85,6.64,6.89,5.29,2.95,3.23,4.99,6.59,4.25,4.57,6.13,3.58,5.20,6.20,4.65,5.68,6.02,5.81,5.41,7.07,5.69,3.15,4.31,6.19,4.65,4.61,4.40,6.35,5.06,6.22,6.31,7.51,6.31,5.78,6.13,6.56,5.47,6.15,6.16,6.58,6.27,6.22,5.45,6.86,4.26,6.31,7.17,4.70,4.43,4.99,4.43,3.58,6.16,5.22,6.31,3.32,6.31,5.59,8.19,6.64,7.07,5.92,4.74,3.90,4.43,4.43
