LBS,OZ,CA,AD,AE,AF,AG,AI,AL,AM,AN,AO,AR,AT,AU,AW,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BL,BM,BN,BO,BR,BS,BT,BW,BY,BZ,CC,CD,CF,CG,CH,CI,CK,CL,CM,CN,CO,CR,CV,CX,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,EH,ER,ES,ET,FI,FJ,FK,FM,FO,FR,GA,GB,GD,GE,GF,GH,GI,GL,GM,GN,GP,GQ,GR,GS,GT,GW,GY,HK,HN,HR,HT,HU,ID,IE,IL,IM,IN,IO,IQ,IS,IT,JM,JO,JP,KE,KG,KH,KI,KM,KN,KR,KW,KY,KZ,LA,LB,LC,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MF,MG,MH,MK,ML,MN,MO,MQ,MR,MS,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NF,NG,NI,NL,NO,NP,NR,NU,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PM,PN,PS,PT,PW,PY,QA,RE,RO,RS,RU,RW,SA,SB,SC,SE,SG,SH,SI,SJ,SK,SL,SM,SN,SO,SR,ST,SV,SZ,TC,TD,TF,TG,TH,TJ,TL,TM,TN,TO,TR,TT,TV,TW,TZ,UA,UG,UY,UZ,VA,VC,VE,VG,VN,VU,WF,WS,YE,YT,YU,ZA,ZM,ZW
0.06,1,1.40,0.90,0.94,1.02,0.95,0.96,1.00,1.01,1.20,1.04,0.96,1.42,1.43,1.20,1.02,0.98,0.94,1.01,1.42,1.02,0.94,0.95,1.04,1.01,1.55,0.98,0.95,1.09,0.99,0.98,0.99,0.98,1.21,1.04,1.48,1.05,1.03,1.03,1.52,0.99,1.03,0.93,1.02,0.95,1.04,1.20,1.02,1.62,0.95,0.93,1.49,1.01,1.42,0.98,1.20,0.98,1.04,0.95,0.96,0.98,1.09,1.22,1.02,1.42,1.04,0.87,0.98,0.96,1.49,0.99,1.46,0.96,1.00,1.20,0.98,1.11,0.96,1.06,1.02,0.97,1.02,1.46,0.97,1.20,1.01,1.20,1.03,1.20,0.96,1.20,0.96,1.14,1.47,1.48,1.46,0.96,0.99,0.98,1.46,2.03,1.20,0.95,1.52,1.01,1.04,1.01,1.08,1.05,0.97,0.86,0.94,0.97,1.02,1.16,0.95,0.97,0.91,0.95,1.01,1.02,0.98,1.52,0.97,0.99,0.98,0.91,1.03,0.98,1.57,1.05,0.93,0.95,1.05,1.06,0.93,0.97,1.07,0.95,0.99,0.98,0.99,1.05,0.90,0.93,1.01,1.02,1.03,1.02,0.91,1.00,1.20,1.50,1.42,0.99,0.93,2.97,2.97,0.96,1.20,1.01,1.03,1.17,0.96,0.97,0.94,0.91,0.91,1.48,1.46,0.93,1.08,0.95,0.97,0.97,0.96,1.03,1.04,0.97,1.03,1.11,1.50,1.25,0.94,1.23,1.50,1.50,1.01,0.93,1.05,0.96,1.04,1.01,1.20,0.98,0.98,1.02,1.49,1.01,1.15,1.09,1.05,1.09,0.97,1.05,0.96,1.20,1.08,1.01,1.01,0.98,1.01,1.02,1.06,0.95,0.99,1.04,0.99,0.99,1.13,0.91,1.08,1.02,0.91,0.93,0.98,1.04,1.01
0.13,2,1.81,1.36,1.43,1.59,1.46,1.47,1.57,1.58,1.75,1.63,1.48,1.94,1.98,1.75,1.60,1.51,1.43,1.58,1.94,1.59,1.44,1.45,1.63,1.58,1.96,1.52,1.46,1.73,1.54,1.52,1.53,1.53,1.76,1.63,1.88,1.65,1.62,1.61,1.88,1.53,1.63,1.18,1.59,1.46,1.64,1.75,1.60,2.16,1.46,1.42,1.84,1.58,1.94,1.52,1.75,1.52,1.64,1.46,1.48,1.52,1.73,1.55,1.59,1.94,1.63,1.29,1.52,1.47,1.85,1.53,1.79,1.47,1.56,1.75,1.52,1.77,1.47,1.67,1.59,1.50,1.59,1.97,1.50,1.75,1.58,1.75,1.62,1.75,1.47,1.75,1.48,1.79,1.67,1.82,1.79,1.48,1.54,1.51,1.97,3.27,1.75,1.46,2.08,1.58,1.64,1.58,1.72,1.65,1.49,1.27,1.44,1.50,1.59,1.87,1.46,1.49,1.37,1.46,1.58,1.59,1.51,1.88,1.49,1.53,1.52,1.37,1.62,1.51,2.00,1.66,1.42,1.47,1.66,1.68,1.42,1.50,1.69,1.46,1.54,1.51,1.54,1.65,1.35,1.14,1.58,1.61,1.62,1.59,1.38,1.56,1.75,1.86,1.94,1.54,1.42,3.31,3.31,1.47,1.75,1.58,1.62,1.90,1.47,1.50,1.44,1.38,1.38,1.82,1.97,1.42,1.71,1.45,1.51,1.49,1.48,1.61,1.63,1.49,1.61,1.77,1.86,1.57,1.44,1.55,1.86,1.76,1.58,1.42,1.65,1.48,1.63,1.58,1.75,1.52,1.51,1.61,1.85,1.58,1.77,1.73,1.66,1.73,1.50,1.66,1.47,1.75,1.72,1.50,1.58,1.51,1.57,1.59,1.68,1.45,1.54,1.63,1.54,1.53,1.82,1.38,1.72,1.60,1.37,1.42,1.51,1.63,1.58
0.19,3,2.07,1.81,1.91,2.16,1.96,1.97,2.12,2.14,2.29,2.21,1.99,2.27,2.32,2.29,2.17,2.03,1.91,2.14,2.27,2.16,1.93,1.94,2.22,2.14,2.36,2.04,1.96,2.36,2.08,2.04,2.06,2.06,2.30,2.22,2.27,2.24,2.19,2.18,2.23,2.06,2.21,1.41,2.16,1.95,2.22,2.29,2.18,2.69,1.95,1.90,2.17,2.14,2.27,2.05,2.29,2.06,2.24,1.97,1.99,2.05,2.36,1.87,2.15,2.27,2.21,1.71,2.06,1.98,2.19,2.06,2.11,1.97,2.11,2.29,2.05,2.43,1.98,2.28,2.16,2.02,2.16,2.29,2.01,2.29,2.14,2.29,1.92,2.29,1.97,2.29,1.99,2.43,2.70,2.15,2.11,1.99,2.08,2.03,2.47,3.19,2.29,1.96,2.42,2.14,2.22,2.14,2.35,2.24,2.01,1.67,1.93,2.02,2.16,2.58,1.96,2.01,1.83,1.96,2.14,2.15,2.03,2.23,2.00,2.07,2.05,1.83,2.19,2.04,2.43,2.27,1.90,1.97,2.26,2.30,1.90,2.02,2.30,1.96,2.08,2.04,2.07,2.24,1.35,1.34,2.14,2.18,2.19,2.16,1.83,2.10,2.29,2.21,2.27,2.08,1.90,3.63,3.63,1.98,2.29,2.14,2.19,2.61,1.97,2.01,1.92,1.83,1.83,2.15,2.29,1.90,2.33,1.94,2.03,2.00,1.99,2.19,2.22,2.01,2.19,2.42,2.21,1.88,1.93,1.87,2.21,2.09,2.14,1.89,2.24,1.99,2.21,2.14,2.29,2.05,2.04,2.18,2.19,2.14,2.12,2.37,2.27,2.36,2.02,2.26,1.98,2.29,2.35,1.85,2.13,2.04,2.12,2.16,2.28,1.94,2.08,2.21,2.08,2.06,2.50,1.83,2.35,2.16,1.83,1.90,2.04,2.22,2.14
0.25,4,2.44,2.29,2.41,2.73,2.47,2.48,2.68,2.71,2.84,2.80,2.50,2.98,2.81,2.84,2.74,2.57,2.40,2.71,2.57,2.73,2.43,2.44,2.81,2.71,2.77,2.58,2.47,3.00,2.58,2.58,2.60,2.60,2.86,2.81,2.66,2.84,2.78,2.76,2.58,2.61,2.80,1.65,2.73,2.46,2.82,2.84,2.76,3.23,2.46,2.39,2.52,2.71,3.92,2.59,2.84,2.60,2.84,2.48,2.51,2.58,3.01,2.19,2.72,2.87,2.80,2.13,2.60,2.49,2.54,2.61,2.45,2.48,2.67,2.84,2.58,3.09,2.49,2.89,2.73,2.55,2.73,2.74,2.54,2.84,2.71,2.84,2.35,2.84,2.49,2.84,2.51,3.08,3.01,2.49,2.45,2.51,2.63,2.57,2.98,3.60,2.84,2.47,2.91,2.71,2.82,2.71,2.99,2.85,2.53,2.09,2.43,2.55,2.73,3.29,2.47,2.53,2.29,2.47,2.71,2.72,2.57,2.59,2.52,2.62,2.58,2.29,2.78,2.58,2.86,2.88,2.40,2.48,2.87,2.92,2.39,2.55,2.92,2.47,2.64,2.58,2.62,2.84,1.52,1.59,2.71,2.76,2.78,2.73,2.30,2.66,2.84,2.57,3.62,2.63,2.39,3.97,3.97,2.49,2.84,2.71,2.78,3.34,2.49,2.54,2.17,2.30,2.30,2.49,2.59,2.39,2.97,2.44,2.56,2.52,2.51,2.78,2.81,2.53,2.77,3.08,2.54,2.20,2.43,2.19,2.56,2.35,2.71,2.38,2.84,2.51,2.80,2.71,2.84,2.59,2.57,2.76,2.54,2.71,2.74,3.01,2.88,3.00,2.55,2.86,2.49,2.84,2.99,2.35,2.70,2.57,2.69,2.73,2.90,2.45,2.63,2.81,2.63,2.60,3.18,2.30,2.99,2.74,2.29,2.39,2.57,2.81,2.71
0.31,5,2.79,2.74,2.89,3.29,2.96,2.99,3.23,3.26,3.38,3.38,3.01,3.18,3.28,3.38,3.31,3.09,2.89,3.27,2.91,3.30,2.92,2.94,3.40,3.27,3.17,3.11,2.97,3.64,3.05,3.11,3.13,3.13,3.40,3.39,3.05,3.43,3.36,3.33,2.93,3.14,3.38,1.88,3.30,2.95,3.41,3.38,3.33,3.75,2.95,2.87,2.85,3.27,4.49,3.12,3.38,3.13,3.43,2.98,3.02,3.11,3.64,2.51,3.29,3.27,3.38,2.55,3.13,2.99,2.88,3.14,2.77,2.99,3.21,3.38,3.11,3.74,2.99,3.49,3.30,3.06,3.30,3.18,3.06,3.38,3.27,3.38,2.66,3.38,2.99,3.38,3.02,3.72,3.31,2.81,2.77,3.02,3.17,3.09,3.48,4.01,3.38,2.97,3.39,3.26,3.41,3.27,3.62,3.44,3.05,2.49,2.92,3.06,3.30,4.00,2.96,3.05,2.74,2.97,3.27,3.28,3.09,2.94,3.04,3.15,3.11,2.74,3.35,3.10,3.28,3.48,2.88,2.98,3.47,3.53,2.87,3.07,3.53,2.97,3.18,3.10,3.16,3.43,1.67,1.79,3.27,3.33,3.36,3.30,2.76,3.21,3.38,2.92,4.21,3.17,2.86,4.30,4.30,3.00,3.38,3.27,3.36,4.06,2.99,3.06,2.47,2.76,2.76,2.81,2.94,2.87,3.59,2.94,3.08,3.04,3.01,3.35,3.40,3.05,3.35,3.74,2.89,2.51,2.91,2.51,2.91,2.59,3.26,2.86,3.43,3.02,3.38,3.27,3.38,3.12,3.10,3.33,2.88,3.27,3.09,3.64,3.48,3.64,3.07,3.46,3.00,3.38,3.62,2.69,3.25,3.10,3.24,3.30,3.51,2.94,3.17,3.39,3.17,3.14,3.86,2.76,3.62,3.30,2.74,2.86,3.09,3.40,3.26
0.38,6,3.15,3.21,3.38,3.87,3.47,3.50,3.79,3.83,3.93,3.98,3.53,3.40,3.76,3.93,3.89,3.63,3.38,3.84,3.27,3.88,3.42,3.44,3.99,3.84,3.58,3.64,3.48,4.28,3.54,3.64,3.67,3.67,3.96,3.99,3.45,4.03,3.94,3.92,3.29,3.68,3.97,2.13,3.87,3.46,4.00,3.93,3.91,4.29,3.46,3.36,3.20,3.84,5.07,3.66,3.93,3.67,4.03,3.49,3.54,3.65,4.28,2.84,3.86,3.68,3.97,2.97,3.67,3.51,3.24,3.68,3.10,3.50,3.77,3.93,3.65,4.41,3.51,4.11,3.88,3.59,3.88,3.64,3.58,3.93,3.84,3.93,3.03,3.93,3.51,3.93,3.53,4.37,3.62,3.15,3.10,3.54,3.72,3.63,3.99,4.42,3.93,3.48,3.88,3.83,4.01,3.84,4.26,4.05,3.57,2.90,3.42,3.59,3.87,4.72,3.47,3.57,3.21,3.48,3.84,3.86,3.63,3.30,3.56,3.70,3.65,3.21,3.94,3.64,3.71,4.09,3.37,3.49,4.08,4.15,3.36,3.60,4.15,3.48,3.73,3.64,3.70,4.03,1.98,2.00,3.84,3.91,3.94,3.88,3.22,3.77,3.93,3.28,4.80,3.72,3.35,4.64,4.64,3.51,3.93,3.84,3.94,4.78,3.50,3.59,2.78,3.22,3.22,3.15,3.31,3.36,4.22,3.44,3.61,3.56,3.53,3.94,3.99,3.57,3.93,4.40,3.24,2.84,3.41,2.84,3.27,2.84,3.83,3.35,4.03,3.54,3.97,3.84,3.93,3.67,3.63,3.91,3.24,3.84,4.07,4.29,4.09,4.28,3.60,4.07,3.51,3.93,4.26,3.04,3.82,3.63,3.80,3.87,4.12,3.44,3.72,3.99,3.72,3.68,4.55,3.22,4.26,3.88,3.21,3.35,3.63,3.99,3.83
0.44,7,3.51,3.66,3.87,4.43,3.97,4.00,4.34,4.39,4.46,4.56,4.04,3.60,4.23,4.46,4.45,4.15,3.86,4.40,3.61,4.44,3.91,3.93,4.58,4.39,3.98,4.17,3.98,4.91,4.01,4.17,4.21,4.20,4.50,4.57,3.83,4.63,4.52,4.49,3.64,4.21,4.55,2.36,4.44,3.95,4.59,4.46,4.48,4.82,3.95,3.83,3.53,4.39,5.63,4.19,4.46,4.20,4.62,3.99,4.05,4.17,4.91,3.16,4.42,4.08,4.56,3.38,4.20,4.01,3.58,4.22,3.42,4.00,4.32,4.46,4.17,5.06,4.01,4.71,4.44,4.11,4.44,4.08,4.10,4.46,4.39,4.46,3.33,4.46,4.01,4.46,4.04,5.65,3.92,3.48,3.42,4.05,4.25,4.15,4.49,4.82,4.46,3.98,4.36,4.39,4.59,4.40,4.89,4.64,4.09,3.31,3.91,4.11,4.44,5.42,3.97,4.09,3.66,3.98,4.39,4.42,4.15,3.65,4.07,4.23,4.17,3.66,4.52,4.16,4.13,4.69,3.85,3.99,4.67,4.76,3.84,4.11,4.76,3.98,4.27,4.16,4.24,4.63,2.13,2.20,4.39,4.48,4.52,4.44,3.68,4.31,4.46,3.63,5.38,4.26,3.83,4.96,4.96,4.02,4.46,4.40,4.52,5.50,4.01,4.10,3.09,3.68,3.68,3.48,3.66,3.84,4.85,3.93,4.13,4.07,4.04,4.51,4.58,4.09,4.51,5.05,3.59,3.15,3.90,3.15,3.62,3.08,4.39,3.82,4.63,4.05,4.56,4.39,4.46,4.20,4.16,4.48,3.58,4.40,4.42,4.92,4.69,4.91,4.12,4.67,4.02,4.46,4.89,3.39,4.38,4.16,4.36,4.43,4.73,3.94,4.26,4.57,4.25,4.21,5.23,3.68,4.89,4.45,3.66,3.83,4.15,4.58,4.39
0.50,8,3.77,4.12,4.36,5.01,4.48,4.52,4.90,4.96,5.01,5.15,4.55,5.61,4.57,5.01,5.03,4.68,4.36,4.97,3.97,5.02,4.41,4.43,5.17,4.96,4.39,4.71,4.49,5.55,4.34,4.71,4.75,4.74,5.05,5.17,4.23,5.23,5.11,5.07,4.00,4.76,5.14,2.60,5.01,4.46,5.19,5.01,5.06,5.36,4.46,4.32,3.88,4.96,6.21,4.72,5.01,4.74,5.22,4.50,4.57,4.71,5.56,3.49,5.00,4.49,5.15,3.81,4.74,4.53,3.93,4.76,3.76,4.52,4.88,5.01,4.71,5.72,4.53,5.33,5.02,4.64,5.02,4.39,4.63,5.01,4.96,5.01,3.70,5.01,4.52,5.01,4.56,6.00,4.24,3.82,3.76,4.57,4.80,4.68,5.00,6.90,5.01,4.49,4.69,4.96,5.19,4.97,5.52,5.24,4.61,3.72,4.41,4.64,5.01,6.14,4.48,4.61,4.12,4.49,4.96,4.99,4.68,4.01,4.60,4.78,4.71,4.12,5.10,4.70,4.56,5.30,4.34,4.50,5.28,5.38,4.33,4.64,5.39,4.49,4.82,4.70,4.79,5.23,2.35,2.40,4.96,5.06,5.11,5.02,4.15,4.87,5.01,3.99,5.97,4.81,4.32,5.30,5.30,4.53,5.01,4.97,5.11,6.23,4.52,4.63,3.40,4.15,4.15,3.82,4.03,4.32,5.48,4.43,4.66,4.60,4.56,5.10,5.17,4.61,5.09,5.72,3.94,3.47,4.40,3.48,3.98,3.33,4.96,4.31,5.23,4.57,5.15,4.96,5.01,4.74,4.69,5.06,3.93,4.97,4.77,5.57,5.30,5.55,4.65,5.28,4.53,5.01,5.53,3.74,4.94,4.69,4.92,5.01,5.35,4.44,4.81,5.16,4.80,4.76,5.92,4.15,5.53,5.02,4.12,4.32,4.69,5.17,4.96
0.56,9,4.11,4.58,4.85,5.57,4.98,5.02,5.46,5.52,5.55,5.73,5.06,5.84,5.02,5.55,5.60,5.21,4.84,5.53,4.31,5.58,4.89,4.93,5.76,5.52,4.79,5.23,4.99,6.19,4.80,5.23,5.28,5.27,5.60,5.75,4.62,5.82,5.68,5.64,4.35,5.29,5.72,2.83,5.58,4.96,5.77,5.55,5.63,5.89,4.96,4.80,4.21,5.52,6.78,5.25,5.55,5.27,5.81,5.00,5.08,5.24,6.19,3.81,5.56,4.89,5.73,4.22,5.27,5.03,4.27,5.29,4.08,5.02,5.42,5.55,5.24,6.38,5.03,5.93,5.58,5.15,5.58,4.81,5.14,5.55,5.52,5.55,4.30,5.55,5.03,5.55,5.07,7.16,4.54,4.15,4.08,5.08,5.34,5.21,5.50,7.26,5.55,4.99,5.15,5.52,5.78,5.53,6.15,5.84,5.13,4.12,4.89,5.15,5.58,6.84,4.97,5.13,4.58,4.99,5.52,5.55,5.21,4.36,5.11,5.32,5.24,4.58,5.68,5.22,4.98,5.90,4.82,5.01,5.88,5.99,4.81,5.16,6.00,4.99,5.36,5.22,5.32,5.82,2.53,2.60,5.52,5.64,5.68,5.58,4.60,5.42,5.55,4.34,6.56,5.35,4.79,5.63,5.63,5.04,5.55,5.52,5.68,6.94,5.02,5.15,3.71,4.60,4.60,4.15,4.38,4.80,6.11,4.93,5.18,5.11,5.07,5.67,5.76,5.13,5.66,6.37,4.29,3.78,4.89,3.79,4.33,3.57,5.52,4.79,5.82,5.08,5.73,5.52,5.55,5.27,5.22,5.63,4.27,5.53,5.66,6.20,5.90,6.19,5.16,5.87,5.04,5.55,6.16,4.59,5.50,5.22,5.47,5.57,5.95,4.93,5.35,5.75,5.34,5.29,6.59,4.60,6.16,5.59,4.58,4.79,5.21,5.76,5.52
0.63,10,4.45,5.03,5.33,6.14,5.48,5.52,6.01,6.08,6.09,6.31,5.57,6.07,5.47,6.09,6.17,5.73,5.32,6.09,4.66,6.15,5.38,5.42,6.34,6.08,5.19,5.76,5.49,6.82,5.25,5.76,5.81,5.80,6.14,6.33,5.00,6.41,6.26,6.21,4.70,5.82,6.30,3.07,6.14,5.45,6.36,6.09,6.20,6.42,5.45,5.28,4.54,6.08,7.34,5.78,6.09,5.80,6.40,5.50,5.59,5.77,6.82,4.13,6.12,5.29,6.31,4.64,5.80,5.54,4.61,5.83,4.40,5.52,5.97,6.09,5.77,7.03,5.54,6.53,6.15,5.67,6.15,5.24,5.66,6.09,6.08,6.09,4.60,6.09,5.53,6.09,5.58,7.49,4.84,4.48,4.40,5.59,5.88,5.73,6.00,7.62,6.09,5.49,5.61,6.08,6.37,6.09,6.78,6.43,5.64,4.53,5.38,5.67,6.14,7.55,5.47,5.64,5.03,5.49,6.08,6.11,5.73,4.71,5.62,5.85,5.77,5.03,6.26,5.75,5.41,6.50,5.30,5.51,6.48,6.60,5.29,5.68,6.61,5.48,5.90,5.75,5.86,6.41,2.68,2.80,6.08,6.21,6.26,6.15,5.06,5.96,6.09,4.69,7.14,5.89,5.27,5.96,5.96,5.54,6.09,6.08,6.26,7.66,5.53,5.66,4.01,5.06,5.06,4.48,4.74,5.28,6.73,5.42,5.70,5.62,5.58,6.25,6.34,5.64,6.24,7.02,4.63,4.09,5.37,4.11,4.68,3.81,6.07,5.27,6.41,5.59,6.31,6.08,6.09,5.80,5.74,6.20,4.61,6.09,6.01,6.83,6.50,6.82,5.68,6.47,5.54,6.09,6.79,4.93,6.05,5.74,6.03,6.14,6.56,5.42,5.89,6.33,5.88,5.82,7.27,5.06,6.79,6.16,5.03,5.27,5.73,6.34,6.08
