LBS,OZ,CA-1,CA-2,CA-3,CA-4,CA-5,CA-6,CA-7,CA-8,CA-9,CA-10,CA-11,CA-12,CA-13,CA-14,CA-15,CA-16,CA-17,CA-18,CA-19,CA-20,AU,DE,GB-1,GB-2,GB-3,GB-4,JP,KR,MX,NZ
0.06,1,7.89,7.89,8.09,8.51,8.61,8.76,8.76,8.76,10.26,10.96,12.12,12.47,13.79,14.09,13.74,14.42,16.43,16.89,16.89,16.89,9.36,13.09,6.84,12.88,16.77,17.50,15.38,9.35,7.80,6.23
0.13,2,8.01,8.01,8.21,8.63,8.73,8.88,8.88,8.88,10.38,11.08,12.24,12.59,13.91,14.21,13.86,14.54,16.54,17.01,17.01,17.01,9.77,13.27,7.04,13.09,16.97,17.70,15.49,9.55,7.90,6.59
0.19,3,8.12,8.12,8.32,8.74,8.84,8.99,8.99,8.99,10.49,11.19,12.34,12.69,14.01,14.31,13.96,14.65,16.65,17.12,17.12,17.12,10.17,13.44,7.24,13.28,17.17,17.90,15.59,9.74,7.99,6.93
0.25,4,8.24,8.24,8.44,8.86,8.96,9.11,9.11,9.11,10.61,11.31,12.46,12.81,14.13,14.43,14.08,14.77,16.77,17.24,17.24,17.24,10.58,13.62,7.44,13.48,17.37,18.10,15.70,9.94,8.09,7.29
0.31,5,8.35,8.35,8.55,8.96,9.06,9.21,9.21,9.21,10.72,11.42,12.57,12.92,14.24,14.54,14.19,14.88,16.88,17.35,17.35,17.35,10.98,13.78,7.63,13.68,17.56,18.29,15.80,10.13,8.18,7.64
0.38,6,8.47,8.47,8.67,9.08,9.18,9.33,9.33,9.33,10.84,11.54,12.69,13.04,14.36,14.66,14.31,14.99,17.00,17.47,17.47,17.47,11.39,13.96,7.84,13.88,17.77,18.50,15.91,10.33,8.28,8.00
0.44,7,8.57,8.57,8.77,9.19,9.29,9.44,9.44,9.44,10.95,11.65,12.80,13.15,14.47,14.77,14.42,15.10,17.11,17.57,17.57,17.57,11.79,14.13,8.03,14.08,17.96,18.69,16.01,10.52,8.37,8.35
0.50,8,8.69,8.69,8.89,9.31,9.41,9.56,9.56,9.56,11.06,11.77,12.92,13.27,14.59,14.89,14.54,15.22,17.23,17.69,17.69,17.69,12.20,14.31,8.23,14.28,18.16,18.89,16.12,10.72,8.47,8.71
0.56,9,8.80,8.80,9.00,9.42,9.52,9.67,9.67,9.67,11.17,11.87,13.03,13.38,14.70,15.00,14.65,15.33,17.33,17.80,17.80,17.80,12.61,14.48,8.43,14.47,18.36,19.09,16.23,10.90,8.56,9.06
0.63,10,8.91,8.91,9.11,9.53,9.63,9.78,9.78,9.78,11.28,11.98,13.13,13.49,14.80,15.11,14.75,15.44,17.44,17.91,17.91,17.91,13.01,14.65,8.62,14.67,18.55,19.28,16.33,11.09,8.65,9.41
0.69,11,9.03,9.03,9.23,9.65,9.75,9.90,9.90,9.90,11.40,12.10,13.25,13.60,14.92,15.22,14.87,15.56,17.56,18.03,18.03,18.03,13.42,14.83,8.82,14.87,18.75,19.48,16.44,11.29,8.75,9.77
0.75,12,9.14,9.14,9.34,9.76,9.86,10.01,10.01,10.01,11.51,12.21,13.36,13.71,15.03,15.33,14.98,15.67,17.67,18.14,18.14,18.14,13.82,14.99,9.02,15.06,18.95,19.68,16.54,11.48,8.84,10.12
0.81,13,9.26,9.26,9.46,9.87,9.97,10.12,10.12,10.12,11.63,12.33,13.48,13.83,15.15,15.45,15.10,15.79,17.79,18.26,18.26,18.26,14.23,15.17,9.22,15.27,19.15,19.88,16.65,11.68,8.94,10.48
0.88,14,9.36,9.36,9.56,9.98,10.08,10.23,10.23,10.23,11.74,12.44,13.59,13.94,15.26,15.56,15.21,15.89,17.90,18.37,18.37,18.37,14.63,15.34,9.41,15.46,19.34,20.07,16.75,11.87,9.03,10.83
0.94,15,9.48,9.48,9.68,10.10,10.20,10.35,10.35,10.35,11.85,12.56,13.71,14.06,15.38,15.68,15.33,16.01,18.02,18.48,18.48,18.48,15.04,15.52,9.62,15.66,19.55,20.28,16.86,12.07,9.13,11.19
1.00,16,9.68,9.68,9.88,10.30,10.40,10.55,10.55,10.55,12.05,12.75,13.90,14.25,15.57,15.87,15.52,16.21,18.21,18.68,18.68,18.68,15.80,16.05,10.17,16.22,20.10,20.83,17.33,12.62,9.30,11.90
1.06,17,9.79,9.79,9.99,10.41,10.51,10.66,10.66,10.66,12.16,12.86,14.01,14.36,15.68,15.98,15.63,16.32,18.32,18.79,18.79,18.79,16.20,16.22,10.36,16.41,20.30,21.02,20.07,12.81,9.39,12.25
1.13,18,9.91,9.91,10.11,10.52,10.62,10.77,10.77,10.77,12.28,12.98,14.13,14.48,15.80,16.10,15.75,16.44,18.44,18.91,18.91,18.91,16.62,16.40,10.57,16.61,20.50,21.23,20.18,13.01,11.29,12.61
1.19,19,10.02,10.02,10.22,10.63,10.73,10.88,10.88,10.88,12.39,13.09,14.24,14.59,15.91,16.21,15.86,16.54,18.55,19.02,19.02,19.02,17.02,16.57,10.76,16.81,20.69,21.42,20.28,13.19,11.38,12.95
1.25,20,10.13,10.13,10.33,10.75,10.85,11.00,11.00,11.00,12.51,13.21,14.36,14.71,16.03,16.33,15.98,16.66,18.67,19.13,19.13,19.13,17.43,16.74,10.96,17.01,20.90,21.63,20.39,13.39,11.48,13.31
1.31,21,10.24,10.24,10.44,10.86,10.96,11.11,11.11,11.11,12.61,13.32,14.47,14.82,16.14,16.44,16.09,16.77,18.78,19.24,19.24,19.24,17.83,16.91,11.16,17.20,21.09,21.82,20.49,13.58,11.57,13.66
1.38,22,10.36,10.36,10.56,10.98,11.08,11.23,11.23,11.23,12.73,13.43,14.59,14.94,16.26,16.56,16.21,16.89,18.89,19.36,19.36,19.36,18.24,17.09,11.36,17.41,21.29,22.02,20.60,13.78,11.67,14.02
1.44,23,10.47,10.47,10.67,11.09,11.19,11.34,11.34,11.34,12.84,13.54,14.69,15.05,16.36,16.67,16.31,17.00,19.00,19.47,19.47,19.47,18.64,17.26,11.56,17.60,21.49,22.22,20.70,13.97,11.76,14.37
1.50,24,10.58,10.58,10.78,11.20,11.30,11.45,11.45,11.45,12.95,13.65,14.80,15.15,16.47,16.77,16.42,17.11,19.11,19.58,19.58,19.58,19.04,17.43,11.75,17.80,21.68,22.41,20.81,14.16,11.85,14.72
1.56,25,10.70,10.70,10.90,11.32,11.42,11.57,11.57,11.57,13.07,13.77,14.92,15.27,16.59,16.89,16.54,17.23,19.23,19.70,19.70,19.70,19.45,17.61,11.95,18.00,21.88,22.61,20.92,14.36,11.95,15.08
1.63,26,10.81,10.81,11.01,11.42,11.52,11.67,11.67,11.67,13.18,13.88,15.03,15.38,16.70,17.00,16.65,17.34,19.34,19.81,19.81,19.81,19.85,17.77,12.15,18.19,22.08,22.81,21.02,14.55,12.04,15.43
1.69,27,10.92,10.92,11.12,11.54,11.64,11.79,11.79,11.79,13.30,14.00,15.15,15.50,16.82,17.12,16.77,17.45,19.46,19.93,19.93,19.93,20.26,17.95,12.35,18.40,22.28,23.01,21.13,14.75,12.14,15.79
1.75,28,11.32,11.32,11.65,12.04,12.09,12.32,12.32,12.32,14.61,15.21,16.76,17.35,19.67,20.10,18.08,18.85,22.02,22.56,22.56,22.56,20.66,18.12,12.54,18.59,22.47,23.20,21.23,14.94,12.23,16.14
1.81,29,11.44,11.44,11.77,12.15,12.20,12.44,12.44,12.44,14.73,15.33,16.88,17.46,19.79,20.22,18.20,18.97,22.14,22.67,22.67,22.67,21.08,18.30,12.75,18.79,22.68,23.41,21.34,15.13,12.33,16.50
1.88,30,11.54,11.54,11.88,12.26,12.31,12.55,12.55,12.55,14.83,15.44,16.99,17.57,19.89,20.33,18.31,19.08,22.25,22.78,22.78,22.78,21.48,18.47,12.94,18.99,22.87,23.60,21.44,15.32,12.42,16.85
1.94,31,11.66,11.66,12.00,12.38,12.43,12.67,12.67,12.67,14.95,15.55,17.11,17.69,20.01,20.45,18.43,19.19,22.37,22.90,22.90,22.90,21.89,18.65,13.14,19.19,23.07,23.80,21.56,15.52,12.52,17.21
2.00,32,11.77,11.77,12.11,12.49,12.54,12.77,12.77,12.77,15.06,15.66,17.22,17.80,20.12,20.56,18.54,19.30,22.48,23.01,23.01,23.01,22.29,18.82,13.34,19.38,23.27,24.00,21.66,15.71,12.61,17.56
2.06,33,11.88,11.88,12.21,12.60,12.65,12.88,12.88,12.88,15.17,15.77,17.32,17.91,20.23,20.66,18.64,19.41,22.58,23.12,23.12,23.12,22.69,18.98,13.53,19.58,23.46,24.19,24.40,15.90,12.70,17.90
2.13,34,12.00,12.00,12.33,12.72,12.77,13.00,13.00,13.00,15.29,15.89,17.44,18.03,20.35,20.78,18.76,19.53,22.70,23.24,23.24,23.24,23.10,19.16,13.73,19.78,23.66,24.39,24.51,16.10,12.80,18.26
2.19,35,12.11,12.11,12.44,12.83,12.88,13.11,13.11,13.11,15.40,16.00,17.55,18.14,20.46,20.89,18.87,19.64,22.81,23.35,23.35,23.35,23.50,19.33,13.93,19.97,23.86,24.59,24.61,16.29,12.89,18.61
2.25,36,12.54,12.54,12.91,13.41,13.55,13.68,13.68,13.68,16.10,16.92,17.95,19.04,21.76,22.25,20.03,20.96,24.10,24.67,24.67,24.67,23.91,19.51,14.13,20.18,24.06,24.79,24.72,16.64,14.78,18.97
2.31,37,12.65,12.65,13.02,13.52,13.65,13.79,13.79,13.79,16.21,17.03,18.06,19.15,21.87,22.35,20.13,21.07,24.21,24.78,24.78,24.78,24.31,19.68,14.32,20.37,24.25,24.98,24.82,16.83,14.87,19.32
2.38,38,12.77,12.77,13.14,13.64,13.77,13.91,13.91,13.91,16.33,17.15,18.18,19.27,21.99,22.47,20.25,21.19,24.33,24.90,24.90,24.90,24.72,19.86,14.53,20.57,24.46,25.19,24.93,17.03,14.97,19.68
