LBS,OZ,CA-1,CA-2,CA-3,CA-4,CA-5,CA-6,CA-7,CA-8,CA-9,CA-10,CA-11,CA-12,CA-13,CA-14,CA-15,CA-16,CA-17,CA-18,CA-19,CA-20
0.06,1,9.32,9.32,10.03,10.17,10.41,10.68,10.68,10.68,12.38,12.95,18.44,20.20,24.20,24.89,18.89,20.87,24.81,25.50,25.50,25.50
0.13,2,9.45,9.45,10.16,10.29,10.53,10.81,10.81,10.81,12.50,13.08,18.56,20.32,24.32,25.01,19.02,20.99,24.94,25.63,25.63,25.63
0.19,3,9.56,9.56,10.27,10.41,10.64,10.92,10.92,10.92,12.62,13.19,18.67,20.43,24.44,25.13,19.13,21.10,25.05,25.74,25.74,25.74
0.25,4,9.68,9.68,10.39,10.53,10.76,11.04,11.04,11.04,12.74,13.31,18.80,20.55,24.56,25.25,19.25,21.22,25.17,25.86,25.86,25.86
0.31,5,9.79,9.79,10.50,10.64,10.88,11.15,11.15,11.15,12.85,13.42,18.91,20.66,24.67,25.36,19.36,21.34,25.28,25.97,25.97,25.97
0.38,6,9.91,9.91,10.62,10.76,11.00,11.28,11.28,11.28,12.97,13.54,19.03,20.79,24.79,25.48,19.48,21.46,25.40,26.09,26.09,26.09
0.44,7,10.03,10.03,10.74,10.87,11.11,11.39,11.39,11.39,13.08,13.66,19.14,20.90,24.90,25.60,19.60,21.57,25.52,26.21,26.21,26.21
0.50,8,10.15,10.15,10.86,11.00,11.23,11.51,11.51,11.51,13.21,13.78,19.26,21.02,25.03,25.72,19.72,21.69,25.64,26.33,26.33,26.33
0.56,9,10.26,10.26,10.97,11.11,11.35,11.62,11.62,11.62,13.32,13.89,19.38,21.13,25.14,25.83,19.83,21.80,25.75,26.44,26.44,26.44
0.63,10,10.37,10.37,11.08,11.22,11.46,11.73,11.73,11.73,13.43,14.00,19.49,21.24,25.25,25.94,19.94,21.92,25.86,26.55,26.55,26.55
0.69,11,10.49,10.49,11.20,11.34,11.58,11.86,11.86,11.86,13.55,14.12,19.61,21.37,25.37,26.06,20.06,22.04,25.98,26.68,26.68,26.68
