LBS,OZ,CA-1,CA-2,CA-3,CA-4,CA-5,CA-6,CA-7,CA-8,CA-9,CA-10,CA-11,CA-12,CA-13,CA-14,CA-15,CA-16,CA-17,CA-18,CA-19,CA-20,AD,AE,AF,AG,AI,AL,AM,AN,AO,AR,AT,AU,AW,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BL,BM,BN,BO,BR,BS,BT,BW,BY,BZ,CC,CD,CF,CG,CH,CI,CK,CL,CM,CN,CO,CR,CV,CX,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,EH,ER,ES,ET,FI,FJ,FK,FM,FO,FR,GA,GB,GD,GE,GF,GH,GI,GL,GM,GN,GP,GQ,GR,GS,GT,GW,GY,HK,HN,HR,HT,HU,ID,IE,IL,IM,IN,IO,IQ,IS,IT,JM,JO,JP,KE,KG,KH,KI,KM,KN,KR,KW,KY,KZ,LA,LB,LC,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MF,MG,MH,MK,ML,MN,MO,MQ,MR,MS,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NF,NG,NI,NL,NO,NP,NR,NU,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PM,PN,PS,PT,PW,PY,QA,RE,RO,RS,RU,RW,SA,SB,SC,SE,SG,SH,SI,SJ,SK,SL,SM,SN,SR,ST,SV,SZ,TC,TD,TF,TG,TH,TJ,TL,TM,TN,TO,TR,TT,TV,TW,TZ,UA,UG,UY,UZ,VA,VC,VE,VG,VN,VU,WF,WS,YE,YT,ZA,ZM,ZW
0.06,1,7.89,7.89,8.09,8.51,8.61,8.76,8.76,8.76,10.26,10.96,12.12,12.47,13.79,14.09,13.74,14.42,16.43,16.89,16.89,16.89,20.27,12.25,23.33,13.44,23.42,18.30,27.46,15.78,17.00,21.19,10.04,17.39,15.10,15.94,17.12,13.80,14.21,36.61,17.38,14.28,14.78,18.49,13.52,22.59,17.75,12.86,20.33,17.63,15.17,17.39,20.58,15.55,18.29,17.39,17.67,18.16,13.74,16.36,15.39,22.54,18.32,15.32,13.65,17.77,21.29,16.98,17.39,15.54,7.03,15.46,14.65,11.82,13.42,12.61,16.43,20.44,9.36,17.46,15.65,21.59,12.20,12.09,11.78,15.95,17.52,33.21,38.87,37.51,16.37,11.48,13.80,20.99,22.55,19.78,10.89,38.95,18.89,15.38,22.59,13.34,15.46,11.48,12.55,21.97,17.11,22.92,13.97,9.37,13.33,20.05,17.28,15.84,19.45,11.48,21.83,13.70,12.74,17.99,19.57,16.49,15.02,18.78,17.45,14.75,14.22,14.67,12.52,24.41,20.73,15.33,16.92,16.12,16.37,16.56,14.46,16.27,13.62,12.81,17.31,9.47,23.73,15.16,17.51,15.65,37.51,20.18,16.94,22.59,18.59,33.21,16.97,16.53,20.66,18.72,22.59,17.61,22.51,13.58,14.91,15.70,16.99,14.42,15.94,20.34,15.85,24.20,13.41,17.39,22.39,13.56,18.99,14.70,12.66,12.34,21.19,21.19,15.56,12.22,15.01,21.33,20.72,13.36,15.40,14.56,23.67,23.32,17.99,12.49,33.21,14.27,12.63,22.61,12.32,20.01,24.92,16.58,13.19,15.78,13.46,11.81,16.98,15.02,15.96,14.70,10.49,15.27,19.57,15.73,12.92,15.53,14.05,12.98,13.45,15.23,37.51,17.10,16.34,14.53,13.54,14.52,13.76,15.69,16.92,13.78,13.68,22.72,15.98,12.20,15.58,21.39,24.21,15.30,24.98,15.44,13.44,14.35,14.97,19.25,15.74,14.94,22.49,20.30,15.15,19.25
0.13,2,8.01,8.01,8.21,8.63,8.73,8.88,8.88,8.88,10.38,11.08,12.24,12.59,13.91,14.21,13.86,14.54,16.54,17.01,17.01,17.01,20.50,12.49,23.72,13.93,23.78,18.57,27.83,16.11,17.29,21.58,10.23,17.89,15.40,16.24,17.41,14.08,14.49,36.72,17.74,14.50,15.02,18.83,13.82,22.92,18.07,13.14,20.80,18.00,15.45,17.71,20.89,15.85,18.68,17.89,18.00,18.48,14.05,16.55,15.72,23.34,18.70,15.62,13.97,18.12,21.66,17.36,17.89,15.80,7.26,15.64,14.96,12.03,13.74,12.90,16.69,20.80,9.58,17.74,15.93,21.92,12.42,12.43,12.00,16.35,18.22,33.50,39.16,37.71,16.71,11.70,14.08,21.36,22.84,20.09,11.17,39.32,19.24,15.71,22.92,13.73,15.68,11.70,12.87,22.34,17.41,23.14,14.31,9.58,13.67,20.27,17.60,16.06,19.74,11.70,22.12,13.92,13.02,18.29,19.77,16.82,15.28,19.09,17.73,15.09,14.51,15.10,12.80,24.77,21.02,15.58,17.27,16.51,16.81,16.83,14.74,16.47,13.91,13.12,17.61,9.69,23.94,15.38,17.84,15.93,37.71,20.58,17.21,22.92,18.92,33.50,17.28,16.86,21.06,18.99,22.92,17.97,22.86,13.85,15.23,16.00,17.31,14.73,16.19,20.65,16.11,24.60,13.76,17.89,22.73,13.90,19.21,14.91,12.92,12.76,21.67,21.67,15.81,12.53,15.36,21.72,21.16,13.63,15.71,14.76,24.04,23.94,18.29,12.71,33.50,14.67,12.86,22.96,12.54,20.26,25.29,16.85,13.48,16.33,13.73,12.02,17.26,15.36,16.20,14.91,10.70,15.59,19.77,16.04,13.26,15.94,14.39,13.27,13.95,15.56,37.71,17.42,16.62,14.91,13.81,14.85,14.04,16.43,17.16,14.08,14.41,23.02,16.27,12.42,15.88,21.76,24.58,15.55,25.34,15.75,13.92,14.68,15.54,19.66,16.43,15.27,22.71,20.66,15.44,19.59
0.19,3,8.12,8.12,8.32,8.74,8.84,8.99,8.99,8.99,10.49,11.19,12.34,12.69,14.01,14.31,13.96,14.65,16.65,17.12,17.12,17.12,20.71,12.73,24.11,14.40,24.13,18.82,28.19,16.44,17.57,21.95,10.42,18.39,15.69,16.53,17.69,14.35,14.76,36.82,18.09,14.71,15.26,19.16,14.11,23.24,18.37,13.42,21.27,18.37,15.71,18.01,21.19,16.13,19.06,18.39,18.32,18.79,14.36,16.73,16.03,24.13,19.06,15.92,14.28,18.45,22.01,17.73,18.39,16.04,7.48,15.82,15.26,12.24,14.05,13.18,16.93,21.16,9.80,18.02,16.20,22.23,12.62,12.76,12.21,16.73,18.91,33.78,39.44,37.90,17.05,11.91,14.35,21.71,23.12,20.39,11.45,39.68,19.58,16.02,23.24,14.10,15.89,11.91,13.17,22.70,17.71,23.36,14.64,9.79,14.00,20.47,17.90,16.26,20.03,11.91,22.39,14.13,13.30,18.59,19.97,17.14,15.53,19.40,18.00,15.41,14.78,15.52,13.07,25.11,21.30,15.82,17.61,16.89,17.24,17.09,15.01,16.65,14.18,13.41,17.91,9.89,24.13,15.58,18.16,16.20,37.90,20.96,17.46,23.24,19.24,33.78,17.58,17.18,21.45,19.25,23.24,18.32,23.20,14.11,15.54,16.29,17.63,15.03,16.43,20.94,16.36,24.98,14.10,18.39,23.05,14.24,19.43,15.11,13.17,13.17,22.15,22.15,16.04,12.83,15.70,22.10,21.59,13.89,16.01,14.95,24.41,24.56,18.59,12.93,33.78,15.06,13.09,23.30,12.75,20.50,25.65,17.11,13.76,16.88,13.99,12.22,17.53,15.69,16.43,15.11,10.91,15.89,19.97,16.34,13.58,16.34,14.71,13.56,14.43,15.89,37.90,17.72,16.89,15.27,14.07,15.16,14.31,17.16,17.38,14.37,15.13,23.31,16.55,12.63,16.18,22.11,24.94,15.79,25.68,16.06,14.40,15.00,16.10,20.07,17.10,15.60,22.93,21.00,15.73,19.91
0.25,4,8.24,8.24,8.44,8.86,8.96,9.11,9.11,9.11,10.61,11.31,12.46,12.81,14.13,14.43,14.08,14.77,16.77,17.24,17.24,17.24,20.94,12.98,24.51,14.88,24.48,19.09,28.57,16.77,17.87,22.34,10.61,18.89,15.99,16.83,17.98,14.63,15.04,36.92,18.46,14.94,15.51,19.50,14.41,23.56,18.69,13.70,21.74,18.74,15.98,18.33,21.50,16.43,19.44,18.89,18.65,19.11,14.67,16.93,16.35,24.93,19.43,16.23,14.60,18.79,22.38,18.10,18.89,16.29,7.71,16.00,15.57,12.45,14.37,13.48,17.19,21.53,10.02,18.31,16.48,22.56,12.84,13.10,12.43,17.13,19.61,34.06,39.73,38.10,17.39,12.13,14.63,22.07,23.41,20.71,11.73,40.06,19.93,16.35,23.56,14.48,16.11,12.13,13.48,23.07,18.02,23.58,14.99,10.00,14.34,20.68,18.22,16.48,20.32,12.13,22.67,14.35,13.58,18.90,20.18,17.47,15.79,19.71,18.28,15.75,15.06,15.95,13.35,25.47,21.59,16.07,17.95,17.28,17.68,17.36,15.29,16.84,14.46,13.72,18.22,10.11,24.33,15.80,18.49,16.48,38.10,21.36,17.73,23.56,19.57,34.06,17.89,17.52,21.85,19.53,23.57,18.69,23.56,14.37,15.86,16.59,17.96,15.34,16.68,21.24,16.61,25.38,14.45,18.89,23.39,14.58,19.66,15.32,13.43,13.59,22.63,22.63,16.28,13.14,16.05,22.50,22.03,14.15,16.33,15.16,24.78,25.18,18.90,13.16,34.06,15.45,13.32,23.64,12.97,20.76,26.02,17.37,14.04,17.43,14.27,12.43,17.80,16.03,16.66,15.32,11.12,16.21,20.18,16.65,13.92,16.75,15.05,13.85,14.93,16.23,38.10,18.04,17.17,15.65,14.35,15.49,14.59,17.90,17.62,14.67,15.85,23.61,16.84,12.85,16.48,22.48,25.31,16.04,26.04,16.38,14.88,15.33,16.67,20.48,17.79,15.94,23.16,21.36,16.02,20.24
0.31,5,8.35,8.35,8.55,8.96,9.06,9.21,9.21,9.21,10.72,11.42,12.57,12.92,14.24,14.54,14.19,14.88,16.88,17.35,17.35,17.35,21.16,13.21,24.89,15.36,24.83,19.35,28.93,17.10,18.15,22.72,10.80,19.38,16.28,17.11,18.26,14.90,15.31,37.02,18.81,15.15,15.75,19.84,14.70,23.88,19.00,13.97,22.20,19.10,16.25,18.64,21.80,16.72,19.82,19.38,18.97,19.43,14.98,17.11,16.66,25.71,19.80,16.53,14.91,19.12,22.74,18.47,19.38,16.53,7.93,16.18,15.88,12.66,14.68,13.76,17.43,21.88,10.23,18.58,16.75,22.88,13.05,13.43,12.63,17.52,20.31,34.34,40.01,38.29,17.72,12.34,14.90,22.43,23.69,21.01,12.01,40.42,20.28,16.67,23.88,14.86,16.32,12.34,13.79,23.42,18.32,23.80,15.32,10.21,14.67,20.88,18.52,16.68,20.60,12.34,22.94,14.56,13.85,19.20,20.38,17.79,16.04,20.01,18.55,16.07,15.33,16.37,13.62,25.81,21.86,16.31,18.29,17.66,18.11,17.62,15.56,17.03,14.73,14.02,18.51,10.32,24.52,16.01,18.82,16.75,38.29,21.74,17.98,23.88,19.89,34.34,18.19,17.84,22.24,19.79,23.89,19.04,23.90,14.63,16.16,16.88,18.27,15.65,16.91,21.53,16.86,25.76,14.79,19.38,23.72,14.91,19.88,15.52,13.68,14.00,23.11,23.11,16.52,13.45,16.39,22.88,22.46,14.41,16.63,15.35,25.14,25.79,19.20,13.38,34.34,15.84,13.55,23.98,13.17,21.00,26.38,17.63,14.32,17.98,14.53,12.63,18.07,16.36,16.89,15.52,11.32,16.51,20.38,16.94,14.24,17.15,15.38,14.13,15.41,16.55,38.29,18.34,17.45,16.02,14.61,15.81,14.86,18.63,17.84,14.97,16.57,23.90,17.12,13.06,16.78,22.84,25.68,16.29,26.39,16.69,15.35,15.65,17.23,20.89,18.46,16.26,23.37,21.70,16.30,20.56
0.38,6,8.47,8.47,8.67,9.08,9.18,9.33,9.33,9.33,10.84,11.54,12.69,13.04,14.36,14.66,14.31,14.99,17.00,17.47,17.47,17.47,21.38,13.46,25.29,15.84,25.19,19.62,29.30,17.43,18.44,23.10,11.00,19.88,16.58,17.41,18.55,15.18,15.59,37.13,19.17,15.37,15.99,20.18,15.00,24.21,19.32,14.26,22.67,19.47,16.52,18.96,22.11,17.02,20.21,19.88,19.30,19.75,15.29,17.30,16.98,26.51,20.17,16.84,15.23,19.47,23.11,18.84,19.88,16.78,8.15,16.36,16.19,12.87,15.00,14.05,17.69,22.25,10.46,18.87,17.02,23.21,13.26,13.77,12.85,17.91,21.01,34.63,40.30,38.49,18.06,12.56,15.18,22.79,23.98,21.33,12.29,40.79,20.63,17.00,24.21,15.24,16.55,12.56,14.10,23.79,18.63,24.03,15.66,10.42,15.01,21.09,18.84,16.90,20.89,12.56,23.22,14.77,14.14,19.51,20.59,18.12,16.30,20.32,18.83,16.41,15.61,16.80,13.90,26.17,22.15,16.56,18.64,18.05,18.55,17.89,15.84,17.22,15.02,14.32,18.82,10.53,24.72,16.22,19.15,17.02,38.49,22.13,18.25,24.21,20.22,34.63,18.51,18.17,22.64,20.06,24.21,19.40,24.25,14.90,16.48,17.18,18.60,15.96,17.16,21.84,17.12,26.16,15.14,19.88,24.06,15.25,20.11,15.73,13.95,14.42,23.59,23.59,16.76,13.76,16.74,23.27,22.90,14.68,16.95,15.56,25.51,26.42,19.51,13.61,34.63,16.24,13.78,24.33,13.39,21.25,26.75,17.90,14.61,18.54,14.80,12.84,18.35,16.70,17.12,15.73,11.54,16.83,20.59,17.25,14.58,17.55,15.71,14.43,15.91,16.89,38.49,18.66,17.73,16.40,14.88,16.14,15.14,19.37,18.08,15.27,17.30,24.20,17.41,13.28,17.08,23.21,26.05,16.54,26.75,17.00,15.84,15.97,17.80,21.31,19.14,16.60,23.60,22.06,16.60,20.90
0.44,7,8.57,8.57,8.77,9.19,9.29,9.44,9.44,9.44,10.95,11.65,12.80,13.15,14.47,14.77,14.42,15.10,17.11,17.57,17.57,17.57,21.60,13.70,25.68,16.32,25.54,19.87,29.67,17.76,18.72,23.48,11.18,20.38,16.87,17.70,18.84,15.45,15.86,37.22,19.53,15.58,16.23,20.51,15.29,24.53,19.62,14.53,23.14,19.83,16.78,19.27,22.40,17.31,20.59,20.38,19.62,20.06,15.59,17.49,17.30,27.30,20.53,17.14,15.53,19.80,23.46,19.21,20.38,17.03,8.37,16.54,16.49,13.08,15.31,14.33,17.93,22.60,10.67,19.14,17.29,23.53,13.47,14.10,13.06,18.30,21.70,34.91,40.58,38.69,18.40,12.77,15.45,23.15,24.26,21.63,12.57,41.15,20.97,17.32,24.53,15.62,16.76,12.77,14.41,24.15,18.92,24.24,15.99,10.63,15.33,21.29,19.14,17.10,21.17,12.77,23.49,14.98,14.41,19.81,20.79,18.43,16.55,20.63,19.10,16.73,15.88,17.22,14.17,26.51,22.43,16.80,18.98,18.43,18.98,18.15,16.12,17.41,15.29,14.62,19.12,10.74,24.91,16.43,19.47,17.29,38.69,22.52,18.50,24.53,20.54,34.91,18.81,18.49,23.03,20.32,24.53,19.75,24.59,15.16,16.79,17.47,18.91,16.26,17.40,22.13,17.37,26.54,15.48,20.38,24.38,15.58,20.32,15.94,14.20,14.83,24.07,24.07,16.99,14.06,17.07,23.65,23.33,14.94,17.25,15.75,25.87,27.03,19.81,13.83,34.91,16.62,14.00,24.67,13.60,21.50,27.11,18.16,14.89,19.08,15.07,13.04,18.62,17.03,17.35,15.94,11.74,17.13,20.79,17.55,14.90,17.95,16.04,14.71,16.39,17.21,38.69,18.96,18.00,16.77,15.14,16.45,15.41,20.10,18.30,15.56,18.01,24.49,17.69,13.49,17.38,23.57,26.41,16.78,27.10,17.31,16.31,16.29,18.36,21.71,19.82,16.93,23.81,22.40,16.88,21.22
0.50,8,8.69,8.69,8.89,9.31,9.41,9.56,9.56,9.56,11.06,11.77,12.92,13.27,14.59,14.89,14.54,15.22,17.23,17.69,17.69,17.69,21.82,13.94,26.07,16.80,25.90,20.14,30.04,18.10,19.01,23.86,11.38,20.88,17.17,18.00,19.13,15.73,16.14,37.33,19.89,15.80,16.48,20.85,15.59,24.86,19.94,14.82,23.61,20.20,17.06,19.59,22.71,17.61,20.97,20.88,19.95,20.38,15.91,17.68,17.62,28.10,20.91,17.45,15.85,20.14,23.83,19.59,20.88,17.28,8.60,16.72,16.80,13.29,15.63,14.62,18.19,22.97,10.90,19.43,17.57,23.85,13.69,14.44,13.27,18.69,22.40,35.20,40.87,38.89,18.74,12.99,15.73,23.51,24.55,21.94,12.85,41.52,21.32,17.64,24.86,16.00,16.98,12.99,14.72,24.52,19.23,24.47,16.33,10.85,15.67,21.50,19.45,17.32,21.46,12.99,23.78,15.20,14.70,20.11,21.00,18.76,16.81,20.94,19.38,17.06,16.17,17.64,14.45,26.87,22.72,17.05,19.32,18.82,19.42,18.42,16.40,17.60,15.57,14.92,19.42,10.96,25.11,16.65,19.80,17.57,38.89,22.91,18.77,24.86,20.87,35.20,19.12,18.82,23.43,20.60,24.86,20.11,24.94,15.42,17.10,17.78,19.24,16.57,17.65,22.43,17.63,26.94,15.83,20.88,24.72,15.93,20.55,16.15,14.46,15.25,24.56,24.56,17.23,14.37,17.42,24.04,23.77,15.20,17.56,15.95,26.24,27.65,20.11,14.06,35.20,17.02,14.24,25.02,13.82,21.75,27.48,18.43,15.18,19.64,15.34,13.25,18.89,17.37,17.59,16.15,11.96,17.45,21.00,17.86,15.23,18.36,16.37,15.00,16.89,17.55,38.89,19.28,18.29,17.15,15.41,16.78,15.69,20.83,18.54,15.86,18.74,24.79,17.98,13.71,17.68,23.93,26.78,17.03,27.45,17.63,16.79,16.62,18.93,22.13,20.50,17.27,24.04,22.75,17.18,21.55
0.56,9,8.80,8.80,9.00,9.42,9.52,9.67,9.67,9.67,11.17,11.87,13.03,13.38,14.70,15.00,14.65,15.33,17.33,17.80,17.80,17.80,22.04,14.18,26.46,17.28,26.24,20.40,30.40,18.42,19.30,24.24,11.56,21.37,17.46,18.29,19.41,16.00,16.41,37.42,20.24,16.02,16.72,21.19,15.88,25.18,20.25,15.09,24.07,20.56,17.32,19.90,23.01,17.89,21.35,21.37,20.27,20.69,16.21,17.86,17.93,28.89,21.27,17.75,16.16,20.47,24.19,19.95,21.37,17.52,8.82,16.90,17.10,13.50,15.94,14.91,18.43,23.33,11.11,19.71,17.84,24.17,13.90,14.77,13.48,19.08,23.09,35.48,41.15,39.08,19.07,13.20,16.00,23.87,24.83,22.25,13.12,41.88,21.67,17.96,25.18,16.37,17.19,13.20,15.02,24.87,19.53,24.68,16.66,11.05,16.00,21.71,19.76,17.53,21.75,13.20,24.05,15.41,14.97,20.41,21.20,19.08,17.06,21.24,19.65,17.39,16.44,18.06,14.72,27.21,23.00,17.29,19.66,19.20,19.85,18.68,16.67,17.78,15.84,15.22,19.72,11.17,25.30,16.86,20.13,17.84,39.08,23.29,19.02,25.18,21.19,35.48,19.42,19.14,23.82,20.86,25.18,20.46,25.28,15.68,17.41,18.07,19.56,16.87,17.89,22.72,17.87,27.32,16.16,21.37,25.05,16.26,20.77,16.35,14.71,15.66,25.03,25.03,17.47,14.67,17.76,24.42,24.20,15.46,17.87,16.15,26.60,28.27,20.41,14.28,35.48,17.41,14.46,25.36,14.03,21.99,27.84,18.68,15.45,20.19,15.60,13.45,19.16,17.70,17.81,16.35,12.16,17.75,21.20,18.16,15.56,18.76,16.70,15.29,17.37,17.88,39.08,19.58,18.56,17.52,15.67,17.10,15.95,21.56,18.76,16.15,19.45,25.08,18.27,13.93,17.97,24.29,27.15,17.27,27.80,17.94,17.26,16.94,19.48,22.54,21.17,17.59,24.26,23.10,17.46,21.88
0.63,10,8.91,8.91,9.11,9.53,9.63,9.78,9.78,9.78,11.28,11.98,13.13,13.49,14.80,15.11,14.75,15.44,17.44,17.91,17.91,17.91,22.26,14.41,26.85,17.75,26.59,20.65,30.77,18.75,19.58,24.61,11.75,21.87,17.75,18.58,19.69,16.26,16.68,37.52,20.60,16.23,16.95,21.52,16.17,25.50,20.56,15.36,24.53,20.93,17.59,20.21,23.31,18.18,21.73,21.87,20.59,21.01,16.52,18.05,18.24,29.68,21.64,18.05,16.47,20.81,24.55,20.32,21.87,17.76,9.04,17.07,17.41,13.70,16.25,15.19,18.68,23.68,11.33,19.98,18.11,24.49,14.10,15.10,13.69,19.46,23.78,35.75,41.42,39.27,19.40,13.41,16.26,24.22,25.11,22.55,13.40,42.24,22.01,18.28,25.50,16.75,17.40,13.41,15.33,25.23,19.83,24.90,17.00,11.26,16.33,21.91,20.06,17.73,22.03,13.41,24.32,15.62,15.25,20.71,21.40,19.40,17.31,21.55,19.92,17.71,16.71,18.48,15.00,27.56,23.27,17.53,20.00,19.58,20.28,18.94,16.94,17.97,16.12,15.52,20.02,11.37,25.50,17.06,20.45,18.11,39.27,23.68,19.27,25.50,21.52,35.75,19.72,19.46,24.20,21.12,25.50,20.81,25.62,15.94,17.72,18.36,19.87,17.17,18.13,23.02,18.12,27.71,16.50,21.87,25.38,16.59,20.99,16.55,14.96,16.07,25.51,25.51,17.70,14.97,18.10,24.80,24.63,15.72,18.17,16.34,26.97,28.88,20.71,14.50,35.75,17.79,14.69,25.69,14.24,22.24,28.20,18.94,15.73,20.73,15.86,13.64,19.43,18.03,18.04,16.55,12.37,18.06,21.40,18.46,15.88,19.16,17.02,15.57,17.86,18.20,39.27,19.89,18.83,17.89,15.93,17.42,16.22,22.29,18.99,16.44,20.17,25.37,18.55,14.14,18.27,24.65,27.51,17.51,28.15,18.24,17.74,17.26,20.04,22.94,21.85,17.92,24.47,23.44,17.74,22.20
