LBS,OZ,CA,AD,AE,AF,AG,AI,AL,AM,AN,AO,AR,AT,AU,AW,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BL,BM,BN,BO,BR,BS,BT,BW,BY,BZ,CC,CD,CF,CG,CH,CI,CK,CL,CM,CN,CO,CR,CV,CX,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,EH,ER,ES,ET,FI,FJ,FK,FM,FO,FR,GA,GB,GD,GE,GF,GH,GI,GL,GM,GN,GP,GQ,GR,GS,GT,GW,GY,HK,HN,HR,HT,HU,ID,IE,IL,IM,IN,IO,IQ,IS,IT,JM,JO,JP,KE,KG,KH,KI,KM,KN,KR,KW,KY,KZ,LA,LB,LC,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MF,MG,MH,MK,ML,MN,MO,MQ,MR,MS,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NF,NG,NI,NL,NO,NP,NR,NU,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PM,PN,PS,PT,PW,PY,QA,RE,RO,RS,RU,RW,SA,SB,SC,SE,SG,SH,SI,SJ,SK,SL,SM,SN,SR,ST,SV,SZ,TC,TD,TF,TG,TH,TJ,TL,TM,TN,TO,TR,TT,TV,TW,TZ,UA,UG,UY,UZ,VA,VC,VE,VG,VN,VU,WF,WS,YE,YT,ZA,ZM,ZW
0.06,1,1.14,0.66,0.70,0.78,0.71,0.94,0.77,0.77,0.94,0.80,0.73,1.16,1.18,0.94,0.78,0.74,0.94,0.77,1.16,0.78,0.70,0.71,0.80,0.77,1.31,0.94,0.71,0.62,0.76,0.94,0.75,0.75,0.95,0.94,1.24,0.81,0.79,0.79,1.28,0.75,0.80,0.70,0.78,0.71,0.80,0.94,0.79,1.38,1.20,0.69,1.34,0.77,1.16,0.94,0.94,0.75,0.81,0.72,0.71,0.74,0.85,0.98,0.78,1.16,0.80,0.63,0.75,0.72,1.26,0.75,1.19,0.94,0.76,0.94,0.74,0.87,1.20,0.82,0.78,0.94,0.78,1.20,0.73,0.94,0.77,0.94,0.63,0.94,0.72,0.94,0.72,0.78,1.23,1.24,1.19,0.72,0.75,0.74,1.20,1.76,0.94,0.71,1.26,0.77,0.80,0.77,0.84,0.81,0.94,0.62,0.70,0.94,0.78,0.92,0.71,0.94,0.67,0.71,0.77,0.78,0.74,1.16,0.73,0.75,0.74,0.67,0.79,0.74,1.33,0.82,0.70,0.72,0.81,0.83,0.69,0.94,0.83,0.94,0.76,0.74,0.75,0.81,0.64,0.69,0.77,0.79,0.79,0.78,0.67,0.76,0.94,1.23,1.16,0.75,0.69,2.67,2.67,0.72,0.94,0.78,0.79,0.93,0.72,0.48,0.70,1.26,0.67,1.24,1.20,0.69,0.84,0.71,0.74,1.21,0.72,0.79,0.80,0.73,0.79,0.87,1.26,1.01,0.70,0.99,1.26,1.26,0.77,0.66,0.81,0.94,0.77,0.94,0.74,0.74,0.79,1.26,0.77,0.78,0.85,0.82,0.85,0.73,0.81,0.72,0.94,0.84,0.77,0.77,1.24,0.77,0.59,0.82,0.68,0.94,0.80,0.94,0.75,0.89,0.67,0.84,0.78,1.26,0.74,0.80,0.77
0.13,2,1.55,1.14,1.21,1.37,1.24,1.49,1.35,1.36,1.49,1.41,1.27,1.68,1.72,1.49,1.38,1.29,1.49,1.36,1.68,1.38,1.22,1.23,1.41,1.36,1.74,1.49,1.24,1.05,1.33,1.49,1.31,1.31,1.50,1.49,1.66,1.43,1.40,1.39,1.66,1.31,1.41,0.96,1.37,1.24,1.42,1.49,1.39,1.94,1.63,1.20,2.02,1.36,1.68,1.49,1.49,1.31,1.43,1.25,1.24,1.30,1.51,1.33,1.37,1.68,1.41,1.07,1.31,1.25,1.90,1.31,1.51,1.49,1.34,1.49,1.30,1.55,1.71,1.45,1.38,1.49,1.38,1.71,1.28,1.49,1.36,1.49,1.34,1.49,1.25,1.49,1.26,1.38,1.45,1.60,1.51,1.26,1.32,1.29,1.71,2.99,1.49,1.24,1.82,1.36,1.42,1.36,1.50,1.43,1.49,1.05,1.22,1.49,1.37,1.66,1.24,1.49,1.15,1.24,1.36,1.37,1.29,1.44,1.27,1.32,1.30,1.15,1.40,1.30,1.79,1.45,1.21,1.25,1.44,1.47,1.20,1.49,1.47,1.49,1.33,1.30,1.32,1.43,1.09,0.92,1.36,1.39,1.40,1.38,1.16,1.34,1.49,1.58,1.68,1.32,1.20,2.97,2.97,1.25,1.49,1.37,1.40,1.68,1.25,0.78,1.22,1.90,1.16,1.60,1.71,1.20,1.50,1.23,1.29,1.64,1.26,1.40,1.41,1.27,1.39,1.55,1.64,1.35,1.22,1.33,1.64,1.54,1.36,1.14,1.43,1.49,1.36,1.49,1.30,1.29,1.39,1.63,1.36,1.37,1.51,1.45,1.51,1.28,1.44,1.25,1.49,1.50,1.28,1.36,1.68,1.35,1.00,1.46,1.17,1.49,1.42,1.49,1.31,1.60,1.16,1.50,1.38,1.90,1.29,1.41,1.36
0.19,3,1.81,1.61,1.71,1.96,1.76,2.03,1.92,1.94,2.03,2.01,1.80,2.01,2.07,2.03,1.97,1.84,2.03,1.94,2.01,1.96,1.73,1.74,2.02,1.94,2.16,2.03,1.76,1.47,1.89,2.03,1.86,1.86,2.05,2.03,2.07,2.04,1.99,1.98,2.03,1.86,2.01,1.22,1.96,1.75,2.03,2.03,1.98,2.49,2.05,1.70,2.70,1.94,2.01,2.03,2.03,1.86,2.05,1.77,1.33,1.85,2.16,1.67,1.95,2.01,2.01,1.51,1.86,1.78,2.52,1.86,1.82,2.03,1.91,2.03,1.85,2.23,2.21,2.08,1.96,2.03,1.96,2.03,1.81,2.03,1.94,2.03,1.64,2.03,1.78,2.03,1.79,1.97,2.50,1.95,1.82,1.79,1.88,1.84,2.21,2.90,2.03,1.76,2.17,1.94,2.03,1.94,2.15,2.05,2.03,1.47,1.73,2.03,1.96,2.38,1.76,2.03,1.63,1.76,1.94,1.95,1.84,1.72,1.80,1.87,1.85,1.63,1.99,1.84,2.23,2.07,1.71,1.77,2.06,2.10,1.70,2.03,2.10,2.03,1.89,1.84,1.87,2.04,1.09,1.14,1.94,1.98,1.99,1.96,1.63,1.91,2.03,1.92,2.01,1.88,1.70,3.26,3.26,1.78,2.03,1.95,1.99,2.41,1.77,1.07,1.73,2.52,1.63,1.95,2.03,1.70,2.14,1.74,1.83,2.06,1.79,1.99,2.02,1.81,1.99,2.22,2.01,1.68,1.73,1.67,2.01,1.90,1.94,1.61,2.04,2.03,1.94,2.03,1.85,1.84,1.98,1.99,1.94,1.95,2.17,2.07,2.16,1.82,2.06,1.78,2.03,2.15,1.65,1.93,2.11,1.92,1.40,2.08,1.65,2.03,2.02,2.03,1.86,2.30,1.63,2.15,1.96,2.52,1.84,2.02,1.94
0.25,4,2.20,2.14,2.25,2.58,2.31,2.61,2.53,2.55,2.61,2.65,1.50,2.82,2.57,2.61,2.59,2.42,2.61,2.56,1.89,2.58,2.28,2.29,2.66,2.55,2.62,2.61,2.32,1.50,2.35,2.61,2.45,1.99,2.63,2.61,2.51,2.69,2.63,2.61,2.43,2.45,2.64,1.51,2.58,2.30,2.68,2.61,2.60,3.07,2.50,2.23,2.36,2.55,3.79,2.61,2.61,2.44,1.47,2.32,1.74,2.43,2.85,2.04,2.57,2.72,2.65,1.98,2.44,2.34,2.39,2.45,2.60,2.61,2.51,2.61,1.99,2.94,2.34,2.74,2.58,2.61,2.58,2.51,2.39,2.61,2.55,2.61,2.08,2.61,2.33,2.61,2.35,2.59,2.86,2.34,2.60,2.36,2.47,2.42,2.75,3.33,2.61,2.32,2.68,1.99,2.67,2.56,2.84,2.70,2.61,1.93,2.28,2.61,2.58,3.14,2.31,2.61,2.14,2.32,2.55,2.57,2.42,2.18,2.37,2.46,2.43,2.14,2.62,2.42,2.70,2.72,2.24,2.33,2.71,2.76,2.24,2.61,2.77,2.61,2.48,2.42,2.47,2.69,1.28,1.44,2.55,1.99,2.63,2.58,2.15,1.99,2.61,2.30,3.50,2.48,2.23,3.58,3.58,2.34,2.61,2.57,2.63,3.19,2.33,1.40,1.88,2.15,2.15,2.34,2.43,2.24,1.57,2.29,2.40,2.51,2.35,2.62,2.66,2.38,2.62,2.93,2.43,2.05,2.27,2.04,2.41,2.19,2.55,2.15,2.69,2.61,2.55,2.61,2.44,2.42,2.60,2.39,2.56,2.57,2.86,2.72,2.85,2.40,2.71,2.34,2.61,2.84,2.20,1.99,2.56,1.99,1.57,2.75,2.21,2.61,1.47,2.61,2.45,3.03,2.15,2.84,2.59,2.14,2.69,1.99,1.99
0.31,5,2.56,2.61,2.76,3.16,2.83,3.14,3.10,3.13,3.14,3.25,1.81,3.05,3.05,3.14,3.18,2.96,3.14,3.14,2.13,3.17,2.78,2.80,3.26,3.13,3.03,3.14,2.84,1.81,2.82,3.14,3.00,2.43,3.17,3.14,2.92,3.30,3.22,3.20,2.80,3.00,3.24,1.76,3.17,2.82,3.29,3.14,3.19,3.62,2.91,2.73,2.72,3.13,4.38,3.14,3.14,2.99,1.78,2.84,2.12,2.98,3.51,2.38,3.15,3.14,3.25,2.41,2.99,2.86,2.75,3.01,2.81,3.14,3.08,3.14,2.43,3.61,2.86,3.36,3.17,3.14,3.17,2.95,2.92,3.14,3.13,3.14,2.38,3.14,2.86,3.14,2.88,3.18,3.18,2.69,2.81,2.89,3.03,2.96,3.25,3.72,3.14,2.84,3.16,2.43,3.28,3.14,3.48,3.31,3.14,2.36,2.78,3.14,3.17,3.87,2.83,3.14,2.61,2.84,3.13,3.15,2.96,2.42,2.90,3.02,2.98,2.61,3.22,2.97,3.15,3.34,2.74,2.85,3.33,3.39,2.74,3.14,3.40,3.14,3.04,2.97,3.02,3.30,1.44,1.66,3.13,2.43,3.22,3.17,2.62,2.43,3.14,2.63,4.11,3.04,2.73,3.87,3.87,2.86,3.14,3.15,3.22,3.92,2.86,1.69,2.04,2.62,2.62,2.69,2.81,2.73,1.90,2.80,2.94,2.93,2.88,3.22,3.26,2.91,3.21,3.60,2.80,2.38,2.78,2.38,2.78,2.45,3.13,2.62,3.30,3.14,3.13,3.14,2.99,2.96,3.20,2.75,3.14,3.15,3.51,3.34,3.50,2.93,3.33,2.86,3.14,3.49,2.56,2.43,2.99,2.43,1.90,3.37,2.70,3.14,1.77,3.14,3.00,3.73,2.62,3.49,3.17,2.61,2.92,2.43,2.43
0.38,6,2.92,3.09,3.27,3.75,3.36,3.69,3.68,3.72,3.69,3.86,2.14,3.28,3.53,3.69,3.77,3.51,3.69,3.73,2.38,3.76,3.30,3.32,3.88,3.72,3.46,3.69,3.37,2.14,3.30,3.69,3.56,2.87,3.72,3.69,3.33,3.92,3.83,3.80,3.18,3.57,3.86,2.03,3.76,3.34,3.91,3.69,3.79,4.18,3.34,3.24,3.08,3.72,4.98,3.69,3.69,3.55,2.10,3.37,2.50,3.53,4.17,2.73,3.75,3.57,3.86,2.86,3.55,3.39,3.12,3.57,3.04,3.69,3.66,3.69,2.87,4.29,3.39,3.99,3.76,3.69,3.76,3.40,3.47,3.69,3.72,3.69,2.74,3.69,3.39,3.69,3.42,3.77,3.51,3.05,3.04,3.43,3.60,3.51,3.76,4.12,3.69,3.37,3.65,2.87,3.89,3.73,4.14,3.93,3.69,2.79,3.30,3.69,3.76,4.60,3.36,3.69,3.09,3.37,3.72,3.74,3.51,2.68,3.45,3.58,3.53,3.09,3.83,3.52,3.60,3.97,3.25,3.38,3.96,4.03,3.25,3.69,4.04,3.69,3.61,3.52,3.59,3.92,1.74,1.88,3.72,2.87,3.83,3.76,3.11,2.87,3.69,2.98,4.73,3.61,3.24,4.17,4.17,3.40,3.69,3.74,3.83,4.67,3.39,1.99,2.22,3.11,3.11,3.05,3.19,3.24,2.24,3.32,3.50,3.36,3.42,3.82,3.88,3.46,3.82,4.29,3.19,2.72,3.30,2.72,3.16,2.72,3.72,3.11,3.92,3.69,3.72,3.69,3.55,3.52,3.80,3.12,3.73,3.74,4.17,3.97,4.16,3.48,3.96,3.40,3.69,4.15,2.93,2.87,3.43,2.87,2.24,4.01,3.20,3.69,2.09,3.69,3.57,4.44,3.11,4.15,3.77,3.09,3.16,2.87,2.87
0.44,7,3.28,3.57,3.77,4.34,3.88,4.23,4.25,4.30,4.23,4.46,2.45,3.51,4.00,4.23,4.36,4.06,4.23,4.31,2.62,4.35,3.81,3.84,4.48,4.30,3.88,4.23,3.88,2.45,3.78,4.23,4.11,3.31,4.27,4.23,3.74,4.53,4.43,4.39,3.55,4.12,4.46,2.28,4.35,3.86,4.52,4.23,4.38,4.73,3.76,3.74,3.44,4.30,5.57,4.23,4.23,4.10,2.41,3.89,2.88,4.08,4.82,3.07,4.33,3.99,4.46,3.29,4.10,3.92,3.48,4.12,3.25,4.23,4.22,4.23,3.31,4.97,3.92,4.62,4.35,4.23,4.35,3.85,4.01,4.23,4.30,4.23,3.04,4.23,3.92,4.23,3.95,4.36,3.83,3.40,3.25,3.96,4.16,4.06,4.26,4.52,4.23,3.89,4.13,3.31,4.50,4.31,4.79,4.55,4.23,3.21,3.81,4.23,4.35,5.33,3.87,4.23,3.57,3.89,4.30,4.32,4.06,2.93,3.98,4.14,4.08,3.57,4.42,4.07,4.04,4.59,3.75,3.90,4.58,4.66,3.74,4.23,4.67,4.23,4.17,4.07,4.15,4.53,1.90,2.10,4.30,3.31,4.42,4.35,3.59,3.31,4.23,3.32,5.34,4.17,3.73,4.46,4.46,3.92,4.23,4.32,4.42,5.41,3.91,2.27,2.38,3.59,3.59,3.40,3.57,3.74,2.57,3.84,4.04,3.77,3.95,4.42,4.48,3.99,4.41,4.96,3.56,3.05,3.81,3.06,3.52,2.98,4.30,3.59,4.53,4.23,4.30,4.23,4.10,4.06,4.39,3.48,4.31,4.32,4.83,4.59,4.82,4.02,4.57,3.92,4.23,4.80,3.29,3.31,3.86,3.31,2.57,4.63,3.70,4.23,2.39,4.23,4.12,5.13,3.59,4.80,4.35,3.57,3.40,3.31,3.31
0.50,8,3.53,4.05,4.29,4.93,4.41,4.78,4.83,4.89,4.78,5.08,2.78,5.54,4.33,4.78,4.96,4.61,4.78,4.89,2.87,4.94,4.33,4.36,5.10,4.89,4.31,4.78,4.41,2.78,4.11,4.78,4.67,3.76,4.82,4.78,4.16,5.15,5.03,5.00,3.93,4.68,5.07,2.55,4.94,4.39,5.14,4.78,4.98,5.28,4.19,4.25,3.80,4.89,6.17,4.78,4.78,4.66,2.73,4.42,3.26,4.64,5.48,3.41,4.92,4.42,5.07,3.73,4.66,4.45,3.86,4.69,6.19,4.78,4.80,4.78,3.76,5.65,4.45,5.25,4.94,4.78,4.94,4.16,4.55,4.78,4.89,4.78,3.40,4.78,4.45,4.78,4.49,4.96,4.16,3.76,6.19,4.50,4.73,4.61,4.77,6.59,4.78,4.42,4.46,3.76,5.12,4.89,5.45,5.17,4.78,3.64,4.33,4.78,4.94,6.06,4.40,4.78,4.05,4.42,4.89,4.92,4.61,3.19,4.52,4.71,4.64,4.05,5.03,4.62,4.49,5.22,4.26,4.43,5.21,5.30,4.25,4.78,5.31,4.78,4.74,4.62,4.71,5.15,2.11,2.33,4.89,3.76,5.03,4.94,4.07,3.76,4.78,3.67,5.96,4.74,4.24,4.76,4.76,4.46,4.78,4.92,5.03,6.15,4.44,2.57,2.56,4.07,4.07,3.76,3.95,4.25,2.91,4.36,4.59,4.20,4.48,5.02,5.10,4.54,5.02,5.64,3.95,3.40,4.32,3.40,3.90,3.26,4.88,4.07,5.15,4.78,4.89,4.78,4.66,4.62,4.99,3.86,4.90,4.91,5.49,5.22,5.48,4.57,5.20,4.46,4.78,5.46,3.66,3.76,4.30,3.76,2.91,5.27,4.20,4.78,2.71,4.78,4.68,5.84,4.07,5.46,4.95,4.05,3.64,3.76,3.76
0.56,9,3.88,4.52,4.79,5.52,4.92,5.32,5.40,5.46,5.32,5.68,3.09,5.79,4.79,5.32,5.54,5.15,5.32,5.47,3.11,5.53,4.84,4.87,5.70,5.47,4.73,5.32,4.93,3.09,4.57,5.32,5.23,4.19,5.37,5.32,4.56,5.76,5.63,5.59,4.29,5.24,5.67,2.81,5.53,4.90,5.75,5.32,5.57,5.83,4.61,4.75,4.15,5.47,6.76,5.32,5.32,5.22,3.04,4.94,3.64,5.18,6.14,3.75,5.50,4.84,5.67,4.17,5.22,4.98,4.22,5.24,6.48,5.32,5.37,5.32,4.19,6.32,4.98,5.88,5.53,5.32,5.53,4.58,5.09,5.32,5.47,5.32,3.99,5.32,4.97,5.32,5.01,5.54,4.48,4.11,6.48,5.03,5.29,5.15,5.27,6.93,5.32,4.94,4.92,4.19,5.72,5.47,6.10,5.78,5.32,4.07,4.84,5.32,5.53,6.79,4.92,5.32,4.52,4.94,5.47,5.50,5.15,3.44,5.05,5.26,5.18,4.52,5.62,5.17,4.93,5.84,4.76,4.95,5.83,5.93,4.75,5.32,5.94,5.32,5.30,5.17,5.27,5.76,2.30,2.55,5.47,4.19,5.63,5.53,4.55,4.19,5.32,4.01,6.57,5.30,4.74,5.05,5.05,4.98,5.32,5.50,5.63,6.89,4.97,2.86,2.72,4.55,4.55,4.11,4.33,4.75,3.25,4.87,5.13,4.62,5.01,5.62,5.70,5.07,5.61,6.31,4.32,3.73,4.83,3.74,4.27,3.52,5.46,4.55,5.76,5.32,5.47,5.32,5.21,5.16,5.58,4.22,5.47,5.49,6.14,5.84,6.13,5.11,5.82,4.98,5.32,6.11,4.54,4.19,4.73,4.19,3.25,5.90,4.69,5.32,3.02,5.32,5.23,6.54,4.55,6.11,5.54,4.52,3.87,4.19,4.19
0.63,10,4.22,5.00,5.29,6.10,5.44,5.86,5.97,6.04,5.86,6.28,3.41,6.04,5.24,5.86,6.13,5.70,5.86,6.05,3.35,6.11,5.35,5.38,6.31,6.05,5.15,5.86,5.45,3.41,5.02,5.86,5.78,4.63,5.91,5.86,4.97,6.38,6.22,6.18,4.66,5.79,6.27,3.06,6.11,5.42,6.36,5.86,6.17,6.38,5.02,5.25,4.51,6.05,7.35,5.86,5.86,5.77,3.34,5.47,4.01,5.73,6.79,4.09,6.09,5.26,6.28,4.60,5.77,5.50,4.58,5.79,6.69,5.86,5.94,5.86,4.63,7.00,5.50,6.50,6.11,5.86,6.11,5.01,5.62,5.86,6.05,5.86,4.28,5.86,5.50,5.86,5.54,6.13,4.80,4.46,6.69,5.56,5.85,5.70,5.77,7.28,5.86,5.46,5.38,4.63,6.33,6.05,6.75,6.40,5.86,4.49,5.35,5.86,6.11,7.51,5.44,5.86,5.00,5.46,6.05,6.08,5.70,3.69,5.59,5.82,5.73,5.00,6.22,5.71,5.37,6.46,5.26,5.47,6.44,6.56,5.25,5.86,6.57,5.86,5.86,5.71,5.83,6.38,2.45,2.76,6.05,4.63,6.22,6.11,5.03,4.63,5.86,4.35,7.18,5.86,5.24,5.34,5.34,5.51,5.86,6.08,6.22,7.62,5.49,3.15,2.89,5.03,5.03,4.46,4.70,5.25,3.58,5.38,5.67,5.03,5.54,6.22,6.31,5.61,6.20,6.99,4.70,4.06,5.34,4.07,4.64,3.78,6.04,5.03,6.38,5.86,6.05,5.86,5.76,5.71,6.17,4.58,6.05,6.08,6.80,6.46,6.78,5.65,6.44,5.51,5.86,6.75,4.90,4.63,5.16,4.63,3.58,6.52,5.18,5.86,3.32,5.86,5.79,7.24,5.03,6.75,6.12,5.00,4.10,4.63,4.63
