LBS,OZ,CA,AD,AE,AF,AG,AI,AL,AM,AN,AO,AR,AT,AU,AW,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BL,BM,BN,BO,BR,BS,BT,BW,BY,BZ,CC,CD,CF,CG,CH,CI,CK,CL,CM,CN,CO,CR,CV,CX,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,EH,ER,ES,ET,FI,FJ,FK,FM,FO,FR,GA,GB,GD,GE,GF,GH,GI,GL,GM,GN,GP,GQ,GR,GS,GT,GW,GY,HK,HN,HR,HT,HU,ID,IE,IL,IM,IN,IO,IQ,IS,IT,JM,JO,JP,KE,KG,KH,KI,KM,KN,KR,KW,KY,KZ,LA,LB,LC,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MF,MG,MH,MK,ML,MN,MO,MQ,MR,MS,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NF,NG,NI,NL,NO,NP,NR,NU,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PM,PN,PS,PT,PW,PY,QA,RE,RO,RS,RU,RW,SA,SB,SC,SE,SG,SH,SI,SJ,SK,SL,SM,SN,SO,SR,ST,SV,SZ,TC,TD,TF,TG,TH,TJ,TL,TM,TN,TO,TR,TT,TV,TW,TZ,UA,UG,UY,UZ,VA,VC,VE,VG,VN,VU,WF,WS,YE,YT,YU,ZA,ZM,ZW
0.06,1,1.41,1.5,1.21,1.21,1.19,1.19,1.19,1.21,1.19,1.21,1.19,1.49,1.48,1.19,1.21,1.19,1.19,1.21,1.49,1.21,1.19,1.21,1.21,1.21,1.19,1.19,1.18,1.19,1.19,1.19,1.21,1.21,1.19,1.19,1.18,1.21,1.21,1.21,1.49,1.21,1.18,1.19,1.21,1.19,1.19,1.19,1.21,1.18,1.21,1.19,1.57,1.21,1.49,1.19,1.19,1.21,1.19,1.19,1.21,1.21,1.21,1.5,1.21,1.49,1.18,1.19,1.18,1.19,1.54,1.21,1.53,1.19,1.21,1.19,1.21,1.5,1.5,1.21,1.21,1.19,1.21,1.45,1.19,1.19,1.21,1.19,1.18,1.19,1.19,1.19,1.19,1.18,1.45,1.45,1.53,1.19,1.19,1.21,1.5,1.59,1.19,1.21,1.56,1.21,1.19,1.18,1.18,1.21,1.19,1.18,1.21,1.19,1.21,1.18,1.21,1.19,1.5,1.21,1.21,1.21,1.19,1.5,1.19,1.21,1.21,1.54,1.21,1.19,1.49,1.21,1.18,1.19,1.21,1.18,1.19,1.19,1.21,1.19,1.21,1.21,1.21,1.21,1.03,1.18,1.21,1.21,1.18,1.21,1.18,1.21,1.19,1.49,1.49,1.18,1.18,1.48,1.48,1.21,1.19,1.19,1.18,1.18,1.19,1.21,1.49,1.19,1.18,1.45,1.45,1.18,1.19,1.21,1.21,1.19,1.19,1.19,1.21,1.21,1.18,1.21,1.49,1.18,1.19,1.45,1.49,1.19,1.21,1.49,1.21,1.21,1.19,1.19,1.19,1.21,1.19,1.21,1.54,1.21,1.19,1.21,1.18,1.19,1.21,1.18,1.19,1.19,1.18,1.19,1.21,1.21,1.21,1.19,1.21,1.5,1.19,1.19,1.19,1.18,1.18,1.18,1.18,1.21,1.21,1.19,1.19,1.21,1.21
0.13,2,1.85,2.06,1.88,1.88,1.78,1.78,1.79,1.88,1.78,1.88,1.78,2.06,2.08,1.78,1.88,1.79,1.78,1.88,2.06,1.88,1.79,1.88,1.88,1.88,1.78,1.78,1.79,1.78,1.78,1.78,1.88,1.88,1.79,1.78,1.79,1.88,1.88,1.88,2.06,1.88,1.79,1.78,1.88,1.83,1.78,1.78,1.88,1.79,1.88,1.79,2.15,1.88,2.06,1.78,1.78,1.88,1.78,1.79,1.88,1.88,1.88,2.06,1.88,2.06,1.79,1.78,1.79,1.79,2.1,1.88,2.08,1.78,1.88,1.78,1.88,2.06,2.06,1.88,1.88,1.78,1.88,2.02,1.78,1.78,1.88,1.78,1.79,1.78,1.79,1.78,1.79,1.79,2.02,2.02,2.08,1.83,1.83,1.88,2.06,2.16,1.78,1.88,2.16,1.88,1.79,1.79,1.79,1.88,1.78,1.79,1.88,1.78,1.88,1.79,1.88,1.78,2.06,1.88,1.88,1.88,1.79,2.06,1.79,1.88,1.88,2.1,1.88,1.78,2.06,1.88,1.79,1.79,1.88,1.79,1.79,1.78,1.88,1.78,1.88,1.88,1.88,1.88,1.5,1.79,1.88,1.88,1.79,1.88,1.79,1.88,1.78,2.06,2.06,1.79,1.79,2.08,2.08,1.88,1.78,1.78,1.79,1.79,1.83,1.88,2.06,1.78,1.79,2.02,2.02,1.79,1.78,1.88,1.88,1.79,1.79,1.79,1.88,1.88,1.79,1.88,2.06,1.79,1.79,2.02,2.06,1.79,1.88,2.06,1.88,1.88,1.78,1.79,1.78,1.88,1.78,1.88,2.1,1.88,1.83,1.88,1.79,1.79,1.88,1.79,1.79,1.78,1.79,1.83,1.88,1.88,1.88,1.78,1.88,2.06,1.78,1.78,1.78,1.79,1.79,1.79,1.79,1.88,1.88,1.79,1.83,1.88,1.88
0.19,3,2.13,2.62,2.55,2.55,2.36,2.36,2.38,2.55,2.36,2.55,2.15,2.42,2.46,2.36,2.55,2.38,2.36,2.55,2.42,2.55,2.38,2.55,2.55,2.55,2.36,2.36,2.38,2.36,2.15,2.36,2.55,2.55,2.38,2.36,2.38,2.55,2.55,2.55,2.42,2.55,2.38,2.36,2.55,2.22,2.36,2.36,2.55,2.38,2.55,2.38,2.51,2.55,2.42,2.36,2.36,2.55,2.36,2.38,2.55,2.55,2.55,2.41,2.55,2.42,2.38,2.36,2.38,2.38,2.46,2.55,2.43,2.36,2.55,2.36,2.55,2.62,2.62,2.55,2.55,2.36,2.55,2.38,2.36,2.36,2.55,2.36,2.16,2.36,2.38,2.36,2.38,2.38,2.38,2.38,2.43,2.22,2.22,2.55,2.62,2.52,2.36,2.55,2.54,2.55,2.38,2.38,2.38,2.55,2.36,2.16,2.55,2.36,2.55,2.38,2.55,2.36,2.62,2.55,2.55,2.55,2.38,2.62,2.38,2.55,2.55,2.46,2.55,2.36,2.42,2.55,2.38,2.38,2.55,2.38,2.38,2.36,2.55,2.36,2.55,2.55,2.55,2.55,1.8,2.38,2.55,2.55,2.38,2.55,2.38,2.55,2.36,2.42,2.42,2.38,2.38,2.46,2.46,2.55,2.36,2.36,2.38,2.38,2.22,2.55,2.42,2.36,2.38,2.38,2.38,2.38,2.36,2.55,2.55,2.38,2.38,2.38,2.55,2.55,2.38,2.55,2.42,2.16,2.38,2.38,2.42,2.38,2.55,2.42,2.55,2.55,2.36,2.38,2.36,2.55,2.36,2.55,2.46,2.55,2.22,2.55,2.38,2.38,2.55,2.38,2.38,2.36,2.38,2.22,2.55,2.55,2.55,2.36,2.55,2.62,2.36,2.36,2.36,2.38,2.38,2.38,2.38,2.55,2.55,2.38,2.22,2.55,2.55
0.25,4,2.52,3.18,3.23,3.23,2.95,2.95,2.98,3.23,2.95,3.23,2.67,2.92,2.99,2.95,3.23,2.98,2.95,3.23,2.92,3.23,2.98,3.23,3.23,3.23,2.95,2.95,2.98,2.95,2.67,2.95,3.23,3.23,2.98,2.95,2.98,3.23,3.23,3.23,2.92,3.23,2.98,2.95,3.23,2.78,2.95,2.95,3.23,2.98,3.23,2.98,3.02,3.23,2.92,2.95,2.95,3.23,2.95,2.98,3.23,3.23,3.23,2.91,3.23,2.92,2.98,2.95,2.98,2.98,2.95,3.23,2.92,2.95,3.23,2.95,3.23,3.18,3.18,3.23,3.23,2.95,3.23,2.88,2.95,2.95,3.23,2.95,2.69,2.95,2.98,2.95,2.98,2.98,2.88,2.88,2.92,2.78,2.78,3.23,3.18,3.02,2.95,3.23,3.06,3.23,2.98,2.98,2.98,3.23,2.95,2.69,3.23,2.95,3.23,2.98,3.23,2.95,3.18,3.23,3.23,3.23,2.98,3.18,2.98,3.23,3.23,2.95,3.23,2.95,2.92,3.23,2.98,2.98,3.23,2.98,2.98,2.95,3.23,2.95,3.23,3.23,3.23,3.23,2.22,2.98,3.23,3.23,2.98,3.23,2.98,3.23,2.95,2.92,2.92,2.98,2.98,2.99,2.99,3.23,2.95,2.95,2.98,2.98,2.78,3.23,2.92,2.95,2.98,2.88,2.88,2.98,2.95,3.23,3.23,2.98,2.98,2.98,3.23,3.23,2.98,3.23,2.92,2.69,2.98,2.88,2.92,2.98,3.23,2.92,3.23,3.23,2.95,2.98,2.95,3.23,2.95,3.23,2.95,3.23,2.78,3.23,2.98,2.98,3.23,2.98,2.98,2.95,2.98,2.78,3.23,3.23,3.23,2.95,3.23,3.18,2.95,2.95,2.95,2.98,2.98,2.98,2.98,3.23,3.23,2.98,2.78,3.23,3.23
0.31,5,2.9,3.74,3.89,3.89,3.54,3.54,3.56,3.89,3.54,3.89,3.18,3.42,3.51,3.54,3.89,3.56,3.54,3.89,3.42,3.89,3.56,3.89,3.89,3.89,3.54,3.54,3.57,3.54,3.18,3.54,3.89,3.89,3.56,3.54,3.57,3.89,3.89,3.89,3.42,3.89,3.57,3.54,3.89,3.33,3.54,3.54,3.89,3.57,3.89,3.56,3.52,3.89,3.42,3.54,3.54,3.89,3.54,3.56,3.89,3.89,3.89,3.4,3.89,3.42,3.57,3.54,3.57,3.56,3.44,3.89,3.39,3.54,3.89,3.54,3.89,3.74,3.74,3.89,3.89,3.54,3.89,3.38,3.54,3.54,3.89,3.54,3.21,3.54,3.56,3.54,3.56,3.57,3.38,3.38,3.39,3.33,3.33,3.89,3.74,3.52,3.54,3.89,3.58,3.89,3.56,3.57,3.57,3.89,3.54,3.21,3.89,3.54,3.89,3.57,3.89,3.54,3.74,3.89,3.89,3.89,3.56,3.74,3.56,3.89,3.89,3.44,3.89,3.54,3.42,3.89,3.57,3.56,3.89,3.57,3.56,3.54,3.89,3.54,3.89,3.89,3.89,3.89,2.63,3.57,3.89,3.89,3.57,3.89,3.57,3.89,3.54,3.42,3.42,3.57,3.57,3.51,3.51,3.89,3.54,3.54,3.57,3.57,3.33,3.89,3.42,3.54,3.57,3.38,3.38,3.57,3.54,3.89,3.89,3.56,3.56,3.56,3.89,3.89,3.57,3.89,3.42,3.21,3.56,3.38,3.42,3.56,3.89,3.42,3.89,3.89,3.54,3.56,3.54,3.89,3.54,3.89,3.44,3.89,3.33,3.89,3.57,3.56,3.89,3.57,3.56,3.54,3.57,3.33,3.89,3.89,3.89,3.54,3.89,3.74,3.54,3.54,3.54,3.57,3.57,3.57,3.57,3.89,3.89,3.56,3.33,3.89,3.89
0.38,6,3.29,4.31,4.57,4.57,4.13,4.13,4.16,4.57,4.13,4.57,3.7,3.92,4.04,4.13,4.57,4.16,4.13,4.57,3.92,4.57,4.16,4.57,4.57,4.57,4.13,4.13,4.18,4.13,3.7,4.13,4.57,4.57,4.16,4.13,4.18,4.57,4.57,4.57,3.92,4.57,4.18,4.13,4.57,3.89,4.13,4.13,4.57,4.18,4.57,4.16,4.03,4.57,3.92,4.13,4.13,4.57,4.13,4.16,4.57,4.57,4.57,3.9,4.57,3.92,4.18,4.13,4.18,4.16,3.94,4.57,3.88,4.13,4.57,4.13,4.57,4.31,4.31,4.57,4.57,4.13,4.57,3.89,4.13,4.13,4.57,4.13,3.74,4.13,4.16,4.13,4.16,4.18,3.89,3.89,3.88,3.89,3.89,4.57,4.31,4.03,4.13,4.57,4.11,4.57,4.16,4.18,4.18,4.57,4.13,3.74,4.57,4.13,4.57,4.18,4.57,4.13,4.31,4.57,4.57,4.57,4.16,4.31,4.16,4.57,4.57,3.94,4.57,4.13,3.92,4.57,4.18,4.16,4.57,4.18,4.16,4.13,4.57,4.13,4.57,4.57,4.57,4.57,3.05,4.18,4.57,4.57,4.18,4.57,4.18,4.57,4.13,3.92,3.92,4.18,4.18,4.04,4.04,4.57,4.13,4.13,4.18,4.18,3.89,4.57,3.92,4.13,4.18,3.89,3.89,4.18,4.13,4.57,4.57,4.16,4.16,4.16,4.57,4.57,4.18,4.57,3.92,3.74,4.16,3.89,3.92,4.16,4.57,3.92,4.57,4.57,4.13,4.16,4.13,4.57,4.13,4.57,3.94,4.57,3.89,4.57,4.18,4.16,4.57,4.18,4.16,4.13,4.18,3.89,4.57,4.57,4.57,4.13,4.57,4.31,4.13,4.13,4.13,4.18,4.18,4.18,4.18,4.57,4.57,4.16,3.89,4.57,4.57
0.44,7,3.67,4.86,5.23,5.23,4.71,4.71,4.75,5.23,4.71,5.23,4.22,4.41,4.57,4.71,5.23,4.75,4.71,5.23,4.41,5.23,4.75,5.23,5.23,5.23,4.71,4.71,4.77,4.71,4.22,4.71,5.23,5.23,4.75,4.71,4.77,5.23,5.23,5.23,4.41,5.23,4.77,4.71,5.23,4.43,4.71,4.71,5.23,4.77,5.23,4.75,4.52,5.23,4.41,4.71,4.71,5.23,4.71,4.75,5.23,5.23,5.23,4.38,5.23,4.41,4.77,4.71,4.77,4.75,4.43,5.23,4.36,4.71,5.23,4.71,5.23,4.86,4.86,5.23,5.23,4.71,5.23,4.38,4.71,4.71,5.23,4.71,4.26,4.71,4.75,4.71,4.75,4.77,4.38,4.38,4.36,4.43,4.43,5.23,4.86,4.52,4.71,5.23,4.62,5.23,4.75,4.77,4.77,5.23,4.71,4.26,5.23,4.71,5.23,4.77,5.23,4.71,4.86,5.23,5.23,5.23,4.75,4.86,4.75,5.23,5.23,4.43,5.23,4.71,4.41,5.23,4.77,4.75,5.23,4.77,4.75,4.71,5.23,4.71,5.23,5.23,5.23,5.23,3.46,4.77,5.23,5.23,4.77,5.23,4.77,5.23,4.71,4.41,4.41,4.77,4.77,4.57,4.57,5.23,4.71,4.71,4.77,4.77,4.43,5.23,4.41,4.71,4.77,4.38,4.38,4.77,4.71,5.23,5.23,4.75,4.75,4.75,5.23,5.23,4.77,5.23,4.41,4.26,4.75,4.38,4.41,4.75,5.23,4.41,5.23,5.23,4.71,4.75,4.71,5.23,4.71,5.23,4.43,5.23,4.43,5.23,4.77,4.75,5.23,4.77,4.75,4.71,4.77,4.43,5.23,5.23,5.23,4.71,5.23,4.86,4.71,4.71,4.71,4.77,4.77,4.77,4.77,5.23,5.23,4.75,4.43,5.23,5.23
0.5,8,3.94,5.43,5.91,5.91,5.31,5.31,5.35,5.91,5.31,5.91,4.57,4.76,4.92,5.31,5.91,5.35,5.31,5.91,4.76,5.91,5.35,5.91,5.91,5.91,5.31,5.31,5.37,5.31,4.57,5.31,5.91,5.91,5.35,5.31,5.37,5.91,5.91,5.91,4.76,5.91,5.37,5.31,5.91,4.81,5.31,5.31,5.91,5.37,5.91,5.35,4.87,5.91,4.76,5.31,5.31,5.91,5.31,5.35,5.91,5.91,5.91,4.73,5.91,4.76,5.37,5.31,5.37,5.35,4.77,5.91,4.69,5.31,5.91,5.31,5.91,5.43,5.43,5.91,5.91,5.31,5.91,4.73,5.31,5.31,5.91,5.31,4.61,5.31,5.35,5.31,5.35,5.37,4.73,4.73,4.69,4.81,4.81,5.91,5.43,4.87,5.31,5.91,4.99,5.91,5.35,5.37,5.37,5.91,5.31,4.61,5.91,5.31,5.91,5.37,5.91,5.31,5.43,5.91,5.91,5.91,5.35,5.43,5.35,5.91,5.91,4.77,5.91,5.31,4.76,5.91,5.37,5.35,5.91,5.37,5.35,5.31,5.91,5.31,5.91,5.91,5.91,5.91,3.76,5.37,5.91,5.91,5.37,5.91,5.37,5.91,5.31,4.76,4.76,5.37,5.37,4.92,4.92,5.91,5.31,5.31,5.37,5.37,4.81,5.91,4.76,5.31,5.37,4.73,4.73,5.37,5.31,5.91,5.91,5.35,5.35,5.35,5.91,5.91,5.37,5.91,4.76,4.61,5.35,4.73,4.76,5.35,5.91,4.76,5.91,5.91,5.31,5.35,5.31,5.91,5.31,5.91,4.77,5.91,4.81,5.91,5.37,5.35,5.91,5.37,5.35,5.31,5.37,4.81,5.91,5.91,5.91,5.31,5.91,5.43,5.31,5.31,5.31,5.37,5.37,5.37,5.37,5.91,5.91,5.35,4.81,5.91,5.91
0.56,9,4.31,5.99,6.57,6.57,5.89,5.89,5.94,6.57,5.89,6.57,5.06,5.23,5.42,5.89,6.57,5.94,5.89,6.57,5.23,6.57,5.94,6.57,6.57,6.57,5.89,5.89,5.96,5.89,5.06,5.89,6.57,6.57,5.94,5.89,5.96,6.57,6.57,6.57,5.23,6.57,5.96,5.89,6.57,5.34,5.89,5.89,6.57,5.96,6.57,5.94,5.35,6.57,5.23,5.89,5.89,6.57,5.89,5.94,6.57,6.57,6.57,5.2,6.57,5.23,5.96,5.89,5.96,5.94,5.23,6.57,5.15,5.89,6.57,5.89,6.57,5.99,5.99,6.57,6.57,5.89,6.57,5.2,5.89,5.89,6.57,5.89,5.11,5.89,5.94,5.89,5.94,5.96,5.2,5.2,5.15,5.34,5.34,6.57,5.99,5.34,5.89,6.57,5.48,6.57,5.94,5.96,5.96,6.57,5.89,5.11,6.57,5.89,6.57,5.96,6.57,5.89,5.99,6.57,6.57,6.57,5.94,5.99,5.94,6.57,6.57,5.23,6.57,5.89,5.23,6.57,5.96,5.94,6.57,5.96,5.94,5.89,6.57,5.89,6.57,6.57,6.57,6.57,4.16,5.96,6.57,6.57,5.96,6.57,5.96,6.57,5.89,5.23,5.23,5.96,5.96,5.42,5.42,6.57,5.89,5.89,5.96,5.96,5.34,6.57,5.23,5.89,5.96,5.2,5.2,5.96,5.89,6.57,6.57,5.94,5.94,5.94,6.57,6.57,5.96,6.57,5.23,5.11,5.94,5.2,5.23,5.94,6.57,5.23,6.57,6.57,5.89,5.94,5.89,6.57,5.89,6.57,5.23,6.57,5.34,6.57,5.96,5.94,6.57,5.96,5.94,5.89,5.96,5.34,6.57,6.57,6.57,5.89,6.57,5.99,5.89,5.89,5.89,5.96,5.96,5.96,5.96,6.57,6.57,5.94,5.34,6.57,6.57
0.63,10,4.67,6.54,7.24,7.24,6.47,6.47,6.53,7.24,6.47,7.24,5.55,5.71,5.92,6.47,7.24,6.53,6.47,7.24,5.71,7.24,6.53,7.24,7.24,7.24,6.47,6.47,6.56,6.47,5.55,6.47,7.24,7.24,6.53,6.47,6.56,7.24,7.24,7.24,5.71,7.24,6.56,6.47,7.24,5.86,6.47,6.47,7.24,6.56,7.24,6.53,5.83,7.24,5.71,6.47,6.47,7.24,6.47,6.53,7.24,7.24,7.24,5.67,7.24,5.71,6.56,6.47,6.56,6.53,5.7,7.24,5.61,6.47,7.24,6.47,7.24,6.54,6.54,7.24,7.24,6.47,7.24,5.68,6.47,6.47,7.24,6.47,5.61,6.47,6.53,6.47,6.53,6.56,5.68,5.68,5.61,5.86,5.86,7.24,6.54,5.82,6.47,7.24,5.98,7.24,6.53,6.56,6.56,7.24,6.47,5.61,7.24,6.47,7.24,6.56,7.24,6.47,6.54,7.24,7.24,7.24,6.53,6.54,6.53,7.24,7.24,5.7,7.24,6.47,5.71,7.24,6.56,6.53,7.24,6.56,6.53,6.47,7.24,6.47,7.24,7.24,7.24,7.24,4.55,6.56,7.24,7.24,6.56,7.24,6.56,7.24,6.47,5.71,5.71,6.56,6.56,5.92,5.92,7.24,6.47,6.47,6.56,6.56,5.86,7.24,5.71,6.47,6.56,5.68,5.68,6.56,6.47,7.24,7.24,6.53,6.53,6.53,7.24,7.24,6.56,7.24,5.71,5.61,6.53,5.68,5.71,6.53,7.24,5.71,7.24,7.24,6.47,6.53,6.47,7.24,6.47,7.24,5.7,7.24,5.86,7.24,6.56,6.53,7.24,6.56,6.53,6.47,6.56,5.86,7.24,7.24,7.24,6.47,7.24,6.54,6.47,6.47,6.47,6.56,6.56,6.56,6.56,7.24,7.24,6.53,5.86,7.24,7.24
