LBS,OZ,CA,AD,AE,AF,AG,AI,AL,AM,AN,AO,AR,AT,AU,AW,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BL,BM,BN,BO,BR,BS,BT,BW,BY,BZ,CC,CD,CF,CG,CH,CI,CK,CL,CM,CN,CO,CR,CV,CX,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,EH,ER,ES,ET,FI,FJ,FK,FM,FO,FR,GA,GB,GD,GE,GF,GH,GI,GL,GM,GN,GP,GQ,GR,GS,GT,GW,GY,HK,HN,HR,HT,HU,ID,IE,IL,IM,IN,IO,IQ,IS,IT,JM,JO,JP,KE,KG,KH,KI,KM,KN,KR,KW,KY,KZ,LA,LB,LC,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MF,MG,MH,MK,ML,MN,MO,MQ,MR,MS,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NF,NG,NI,NL,NO,NP,NR,NU,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PM,PN,PS,PT,PW,PY,QA,RE,RO,RS,RU,RW,SA,SB,SC,SE,SG,SH,SI,SJ,SK,SL,SM,SN,SO,SR,ST,SV,SZ,TC,TD,TF,TG,TH,TJ,TL,TM,TN,TO,TR,TT,TV,TW,TZ,UA,UG,UY,UZ,VA,VC,VE,VG,VN,VU,WF,WS,YE,YT,YU,ZA,ZM,ZW
0.06,1,1.40,0.92,0.96,1.04,0.97,0.98,1.02,1.03,1.20,1.06,0.98,1.42,1.43,1.20,1.04,1.00,0.96,1.03,1.42,1.04,0.96,0.97,1.06,1.03,1.57,1.00,0.97,1.11,1.01,1.00,1.01,1.00,1.21,1.06,1.50,1.06,1.05,1.05,1.54,1.01,1.05,0.96,1.04,0.97,1.06,1.20,1.04,1.64,0.97,0.95,1.51,1.03,1.42,1.00,1.20,1.00,1.07,0.97,0.98,1.00,1.11,1.24,1.04,1.42,1.05,0.89,1.00,0.98,1.51,1.01,1.45,0.98,1.02,1.20,1.00,1.13,0.98,1.08,1.04,0.99,1.04,1.46,0.99,1.20,1.03,1.20,1.02,1.20,0.98,1.20,0.98,1.13,1.49,1.50,1.45,0.98,1.01,1.00,1.46,2.02,1.20,0.97,1.52,1.03,1.06,1.03,1.10,1.07,0.99,0.88,0.96,0.99,1.04,1.18,0.97,0.99,0.93,0.97,1.03,1.04,1.00,1.54,0.99,1.01,1.00,0.93,1.05,1.00,1.59,1.07,0.95,0.97,1.07,1.08,0.95,0.99,1.08,0.97,1.01,1.00,1.01,1.06,0.90,0.95,1.03,1.04,1.05,1.04,0.93,1.02,1.20,1.49,1.42,1.01,0.95,2.93,2.93,0.98,1.20,1.04,1.05,1.19,0.98,0.99,0.96,0.93,0.93,1.50,1.46,0.95,1.10,0.97,0.99,0.99,0.98,1.05,1.06,0.99,1.05,1.13,1.52,1.27,0.96,1.25,1.52,1.52,1.03,0.92,1.06,0.98,1.05,1.03,1.20,1.00,1.00,1.04,1.51,1.03,1.14,1.11,1.07,1.11,0.99,1.07,0.98,1.20,1.10,1.03,1.03,1.00,1.03,1.04,1.08,0.94,1.01,1.06,1.01,1.01,1.15,0.93,1.10,1.04,0.93,0.95,1.00,1.06,1.03
0.13,2,1.81,1.40,1.47,1.63,1.50,1.51,1.61,1.62,1.75,1.67,1.52,1.94,1.98,1.75,1.64,1.55,1.47,1.62,1.94,1.63,1.48,1.49,1.67,1.62,2.00,1.56,1.50,1.77,1.58,1.56,1.57,1.56,1.76,1.67,1.92,1.69,1.66,1.65,1.92,1.57,1.67,1.22,1.63,1.49,1.68,1.75,1.64,2.20,1.49,1.46,1.88,1.62,1.94,1.56,1.75,1.56,1.69,1.50,1.52,1.56,1.77,1.59,1.63,1.94,1.67,1.33,1.56,1.51,1.89,1.57,1.77,1.51,1.60,1.75,1.56,1.81,1.51,1.71,1.63,1.54,1.63,1.97,1.54,1.75,1.62,1.75,1.60,1.75,1.51,1.75,1.52,1.77,1.70,1.86,1.77,1.52,1.58,1.55,1.97,3.25,1.75,1.50,2.08,1.62,1.68,1.62,1.76,1.69,1.53,1.31,1.48,1.54,1.63,1.91,1.50,1.53,1.41,1.50,1.62,1.63,1.55,1.92,1.53,1.57,1.56,1.41,1.66,1.55,2.04,1.70,1.46,1.51,1.70,1.72,1.46,1.54,1.73,1.50,1.58,1.55,1.58,1.69,1.35,1.18,1.62,1.65,1.66,1.63,1.42,1.60,1.75,1.84,1.94,1.58,1.46,3.23,3.23,1.51,1.75,1.63,1.66,1.94,1.51,1.54,1.48,1.42,1.42,1.86,1.97,1.46,1.76,1.49,1.54,1.53,1.52,1.65,1.67,1.53,1.65,1.81,1.90,1.61,1.48,1.59,1.90,1.80,1.62,1.40,1.69,1.52,1.67,1.62,1.75,1.56,1.55,1.65,1.89,1.62,1.76,1.77,1.70,1.77,1.54,1.70,1.51,1.75,1.76,1.54,1.61,1.55,1.61,1.64,1.72,1.43,1.58,1.68,1.58,1.57,1.86,1.42,1.76,1.64,1.41,1.46,1.55,1.67,1.62
0.19,3,2.07,1.87,1.97,2.22,2.02,2.03,2.18,2.20,2.29,2.27,2.05,2.27,2.32,2.29,2.22,2.09,1.97,2.20,2.27,2.22,1.99,2.00,2.28,2.20,2.42,2.10,2.02,2.43,2.14,2.10,2.12,2.12,2.30,2.27,2.32,2.30,2.25,2.24,2.28,2.12,2.27,1.48,2.22,2.01,2.29,2.29,2.23,2.75,2.01,1.96,2.23,2.20,2.27,2.11,2.29,2.11,2.30,2.02,2.05,2.10,2.42,1.93,2.21,2.27,2.27,1.77,2.11,2.04,2.25,2.12,2.08,2.03,2.17,2.29,2.10,2.48,2.04,2.34,2.22,2.08,2.22,2.29,2.07,2.29,2.20,2.29,1.89,2.29,2.03,2.29,2.05,2.40,2.76,2.21,2.08,2.05,2.14,2.09,2.47,3.16,2.29,2.02,2.42,2.20,2.28,2.20,2.41,2.30,2.07,1.73,1.99,2.08,2.22,2.64,2.02,2.07,1.88,2.02,2.20,2.21,2.09,2.29,2.06,2.13,2.10,1.88,2.25,2.10,2.49,2.32,1.96,2.03,2.32,2.35,1.96,2.08,2.36,2.02,2.14,2.10,2.13,2.30,1.35,1.40,2.20,2.24,2.25,2.22,1.89,2.16,2.29,2.18,2.27,2.14,1.96,3.52,3.52,2.04,2.29,2.21,2.25,2.67,2.03,2.07,1.98,1.89,1.89,2.21,2.29,1.96,2.40,2.00,2.09,2.06,2.05,2.25,2.28,2.07,2.25,2.48,2.27,1.94,1.99,1.93,2.27,2.15,2.20,1.86,2.30,2.05,2.27,2.20,2.29,2.11,2.10,2.24,2.25,2.20,2.09,2.42,2.32,2.42,2.08,2.32,2.04,2.29,2.41,1.91,2.19,2.10,2.18,2.23,2.34,1.91,2.14,2.28,2.14,2.12,2.56,1.89,2.41,2.22,1.88,1.96,2.09,2.28,2.20
0.25,4,2.44,2.37,2.49,2.81,2.55,2.56,2.76,2.79,2.84,2.88,2.60,3.06,2.81,2.84,2.82,2.65,2.48,2.79,2.65,2.81,2.51,2.52,2.89,2.79,2.85,2.66,2.55,3.09,2.58,2.66,2.68,2.68,2.86,2.89,2.74,2.92,2.86,2.84,2.66,2.68,2.88,1.74,2.81,2.54,2.91,2.84,2.84,3.31,2.54,2.47,2.60,2.79,4.02,2.67,2.84,2.68,2.93,2.56,2.59,2.66,3.08,2.27,2.80,2.95,2.88,2.21,2.68,2.57,2.62,2.69,2.40,2.56,2.74,2.84,2.66,3.17,2.57,2.97,2.81,2.62,2.81,2.74,2.62,2.84,2.79,2.84,2.32,2.84,2.57,2.84,2.59,3.05,3.09,2.57,2.40,2.59,2.71,2.65,2.98,3.56,2.84,2.55,2.91,2.79,2.90,2.79,3.07,2.93,2.61,2.17,2.51,2.62,2.81,3.37,2.54,2.61,2.37,2.55,2.79,2.80,2.65,2.67,2.60,2.70,2.66,2.37,2.86,2.65,2.94,2.95,2.47,2.56,2.95,2.99,2.47,2.63,3.00,2.55,2.71,2.65,2.70,2.92,1.52,1.67,2.79,2.84,2.86,2.81,2.38,2.74,2.84,2.53,3.73,2.71,2.46,3.82,3.82,2.57,2.84,2.80,2.86,3.42,2.57,2.62,2.12,2.38,2.38,2.57,2.67,2.47,3.06,2.52,2.64,2.60,2.59,2.86,2.89,2.61,2.85,3.16,2.66,2.28,2.50,2.27,2.64,2.42,2.78,2.34,2.92,2.59,2.88,2.79,2.84,2.67,2.65,2.84,2.62,2.79,2.71,3.09,2.95,3.08,2.63,2.94,2.57,2.84,3.07,2.43,2.78,2.65,2.77,2.82,2.98,2.40,2.71,2.90,2.71,2.68,3.26,2.38,3.07,2.82,2.37,2.46,2.65,2.89,2.79
0.31,5,2.79,2.84,2.99,3.39,3.06,3.09,3.33,3.36,3.38,3.48,3.13,3.28,3.28,3.38,3.41,3.19,2.99,3.37,3.01,3.40,3.02,3.03,3.50,3.37,3.27,3.21,3.07,3.75,3.05,3.21,3.23,3.23,3.40,3.49,3.15,3.53,3.46,3.43,3.03,3.24,3.48,2.00,3.40,3.05,3.52,3.38,3.43,3.85,3.05,2.97,2.95,3.37,4.61,3.22,3.38,3.23,3.54,3.08,3.12,3.21,3.74,2.61,3.39,3.37,3.48,2.64,3.23,3.09,2.98,3.24,2.72,3.09,3.31,3.38,3.21,3.84,3.09,3.59,3.40,3.16,3.40,3.18,3.16,3.38,3.37,3.38,2.61,3.38,3.09,3.38,3.11,3.68,3.41,2.92,2.72,3.12,3.27,3.19,3.48,3.95,3.38,3.07,3.39,3.36,3.51,3.37,3.72,3.54,3.15,2.59,3.02,3.16,3.40,4.10,3.06,3.15,2.84,3.07,3.37,3.38,3.19,3.04,3.14,3.25,3.21,2.84,3.45,3.20,3.38,3.57,2.97,3.08,3.57,3.63,2.97,3.17,3.63,3.07,3.27,3.20,3.26,3.53,1.67,1.89,3.37,3.43,3.45,3.40,2.86,3.31,3.38,2.87,4.34,3.27,2.96,4.11,4.11,3.10,3.38,3.38,3.45,4.16,3.09,3.16,2.42,2.86,2.86,2.92,3.04,2.97,3.71,3.03,3.18,3.14,3.11,3.45,3.50,3.15,3.44,3.84,3.04,2.61,3.01,2.61,3.01,2.69,3.36,2.81,3.53,3.12,3.48,3.37,3.38,3.22,3.20,3.43,2.98,3.37,3.04,3.74,3.57,3.73,3.17,3.56,3.10,3.38,3.72,2.79,3.35,3.20,3.34,3.41,3.60,2.89,3.27,3.51,3.27,3.24,3.96,2.86,3.72,3.40,2.84,2.96,3.19,3.50,3.36
0.38,6,3.15,3.33,3.50,3.99,3.59,3.62,3.91,3.95,3.93,4.09,3.67,3.51,3.76,3.93,4.01,3.75,3.50,3.96,3.39,3.99,3.54,3.56,4.11,3.95,3.70,3.76,3.60,4.42,3.54,3.76,3.79,3.79,3.96,4.11,3.56,4.15,4.06,4.03,3.41,3.80,4.09,2.26,3.99,3.58,4.14,3.93,4.03,4.41,3.58,3.47,3.31,3.95,5.21,3.78,3.93,3.79,4.16,3.61,3.66,3.77,4.40,2.96,3.98,3.80,4.09,3.09,3.79,3.63,3.35,3.80,3.04,3.62,3.89,3.93,3.77,4.53,3.63,4.23,3.99,3.71,3.99,3.64,3.70,3.93,3.95,3.93,2.98,3.93,3.62,3.93,3.65,4.32,3.74,3.28,3.04,3.66,3.83,3.75,3.99,4.36,3.93,3.60,3.88,3.95,4.13,3.96,4.38,4.16,3.69,3.02,3.54,3.71,3.99,4.83,3.59,3.69,3.33,3.60,3.95,3.97,3.74,3.42,3.68,3.82,3.77,3.33,4.06,3.75,3.83,4.21,3.48,3.61,4.19,4.27,3.48,3.71,4.27,3.60,3.84,3.75,3.82,4.15,1.98,2.12,3.95,4.03,4.06,3.99,3.34,3.88,3.93,3.22,4.96,3.84,3.47,4.41,4.41,3.63,3.93,3.97,4.06,4.90,3.62,3.70,2.72,3.34,3.34,3.28,3.43,3.47,4.36,3.56,3.73,3.68,3.65,4.06,4.11,3.69,4.05,4.52,3.42,2.96,3.53,2.95,3.39,2.96,3.95,3.28,4.15,3.66,4.09,3.95,3.93,3.78,3.75,4.03,3.35,3.96,4.02,4.41,4.21,4.40,3.72,4.19,3.63,3.93,4.38,3.16,3.94,3.75,3.92,4.01,4.24,3.38,3.84,4.12,3.83,3.80,4.67,3.34,4.38,4.00,3.33,3.47,3.75,4.11,3.95
0.44,7,3.51,3.80,4.01,4.57,4.11,4.14,4.48,4.53,4.46,4.70,4.20,3.74,4.23,4.46,4.59,4.29,4.00,4.54,3.75,4.58,4.04,4.07,4.72,4.53,4.12,4.31,4.12,5.07,4.01,4.31,4.34,4.34,4.50,4.71,3.97,4.76,4.66,4.63,3.78,4.35,4.69,2.52,4.58,4.09,4.75,4.46,4.62,4.96,4.09,3.97,3.67,4.53,5.80,4.32,4.46,4.34,4.78,4.13,4.19,4.31,5.05,3.30,4.56,4.22,4.69,3.52,4.34,4.15,3.72,4.36,3.35,4.14,4.46,4.46,4.31,5.20,4.15,4.85,4.58,4.25,4.58,4.08,4.24,4.46,4.53,4.46,3.27,4.46,4.15,4.46,4.18,5.59,4.06,3.63,3.35,4.19,4.39,4.29,4.49,4.75,4.46,4.12,4.36,4.53,4.73,4.54,5.02,4.78,4.23,3.44,4.04,4.25,4.58,5.56,4.11,4.23,3.80,4.12,4.53,4.56,4.29,3.79,4.21,4.37,4.31,3.80,4.65,4.30,4.27,4.83,3.99,4.13,4.81,4.90,3.98,4.25,4.90,4.12,4.40,4.30,4.38,4.76,2.13,2.33,4.53,4.62,4.66,4.58,3.82,4.45,4.46,3.56,5.57,4.40,3.97,4.70,4.70,4.16,4.46,4.56,4.66,5.64,4.14,4.24,3.02,3.82,3.82,3.63,3.80,3.97,5.01,4.07,4.27,4.21,4.18,4.65,4.72,4.23,4.64,5.19,3.80,3.29,4.04,3.29,3.76,3.22,4.53,3.75,4.76,4.19,4.69,4.53,4.46,4.33,4.30,4.62,3.72,4.54,4.36,5.06,4.83,5.05,4.25,4.81,4.16,4.46,5.03,3.53,4.51,4.30,4.49,4.59,4.87,3.86,4.40,4.73,4.39,4.35,5.37,3.82,5.03,4.59,3.80,3.97,4.29,4.72,4.53
0.50,8,3.77,4.28,4.52,5.17,4.64,4.67,5.06,5.12,5.01,5.31,4.74,5.77,4.57,5.01,5.19,4.84,4.51,5.13,4.13,5.17,4.56,4.59,5.33,5.12,4.54,4.87,4.65,5.74,4.34,4.87,4.91,4.90,5.05,5.32,4.39,5.39,5.26,5.23,4.16,4.92,5.30,2.78,5.17,4.62,5.37,5.01,5.22,5.52,4.62,4.48,4.03,5.12,6.40,4.88,5.01,4.90,5.40,4.66,4.73,4.87,5.72,3.65,5.15,4.65,5.31,3.97,4.90,4.68,4.09,4.92,3.67,4.67,5.04,5.01,4.87,5.88,4.68,5.48,5.17,4.80,5.17,4.39,4.78,5.01,5.12,5.01,3.63,5.01,4.68,5.01,4.72,5.93,4.39,3.99,3.67,4.73,4.96,4.84,5.00,6.82,5.01,4.65,4.69,5.12,5.35,5.13,5.68,5.40,4.77,3.88,4.56,4.80,5.17,6.29,4.63,4.77,4.28,4.65,5.12,5.15,4.84,4.17,4.75,4.94,4.87,4.28,5.26,4.86,4.72,5.46,4.50,4.66,5.44,5.54,4.49,4.80,5.54,4.64,4.98,4.86,4.94,5.39,2.35,2.56,5.12,5.22,5.26,5.17,4.30,5.03,5.01,3.90,6.20,4.97,4.48,5.00,5.00,4.69,5.01,5.15,5.26,6.38,4.68,4.79,3.32,4.30,4.30,3.99,4.19,4.48,5.66,4.59,4.82,4.75,4.72,5.26,5.33,4.77,5.25,5.87,4.18,3.63,4.56,3.64,4.14,3.49,5.12,4.23,5.39,4.73,5.30,5.12,5.01,4.89,4.85,5.22,4.09,5.13,4.71,5.72,5.46,5.71,4.80,5.43,4.69,5.01,5.69,3.90,5.10,4.85,5.08,5.19,5.50,4.35,4.97,5.35,4.96,4.91,6.07,4.30,5.69,5.18,4.28,4.48,4.84,5.33,5.12
0.56,9,4.11,4.76,5.02,5.75,5.16,5.20,5.63,5.70,5.55,5.91,5.27,6.02,5.02,5.55,5.78,5.39,5.02,5.71,4.49,5.76,5.07,5.10,5.94,5.70,4.96,5.41,5.16,6.39,4.80,5.41,5.46,5.45,5.60,5.93,4.79,6.00,5.86,5.82,4.53,5.47,5.90,3.04,5.76,5.13,5.98,5.55,5.81,6.07,5.13,4.98,4.39,5.70,6.99,5.43,5.55,5.45,6.01,5.18,5.26,5.42,6.37,3.99,5.74,5.07,5.91,4.40,5.45,5.21,4.45,5.47,3.98,5.20,5.60,5.55,5.42,6.56,5.21,6.11,5.76,5.33,5.76,4.81,5.32,5.55,5.70,5.55,4.22,5.55,5.20,5.55,5.25,7.08,4.72,4.34,3.98,5.26,5.52,5.39,5.50,7.17,5.55,5.17,5.15,5.70,5.96,5.71,6.33,6.02,5.31,4.30,5.07,5.33,5.76,7.02,5.15,5.31,4.76,5.17,5.70,5.73,5.39,4.53,5.29,5.49,5.42,4.76,5.86,5.40,5.16,6.08,5.00,5.18,6.06,6.17,4.98,5.34,6.18,5.16,5.54,5.40,5.50,6.00,2.53,2.78,5.70,5.81,5.86,5.76,4.78,5.59,5.55,4.24,6.81,5.53,4.97,5.28,5.28,5.21,5.55,5.73,5.86,7.12,5.20,5.32,3.62,4.78,4.78,4.34,4.56,4.98,6.31,5.10,5.36,5.29,5.25,5.85,5.94,5.31,5.84,6.55,4.55,3.96,5.06,3.97,4.50,3.75,5.69,4.69,6.00,5.26,5.91,5.70,5.55,5.44,5.39,5.81,4.45,5.71,5.59,6.38,6.08,6.36,5.34,6.05,5.21,5.55,6.34,4.77,5.67,5.40,5.65,5.78,6.13,4.84,5.53,5.95,5.52,5.47,6.77,4.78,6.34,5.77,4.76,4.97,5.39,5.94,5.70
0.63,10,4.45,5.23,5.53,6.33,5.67,5.72,6.20,6.27,6.09,6.51,5.80,6.27,5.47,6.09,6.36,5.93,5.52,6.29,4.85,6.34,5.58,5.62,6.54,6.28,5.38,5.96,5.68,7.05,5.25,5.96,6.01,6.00,6.14,6.53,5.20,6.61,6.46,6.41,4.90,6.02,6.50,3.29,6.34,5.65,6.59,6.09,6.40,6.61,5.65,5.48,4.74,6.28,7.59,5.98,6.09,6.00,6.63,5.70,5.79,5.96,7.02,4.32,6.32,5.49,6.51,4.83,6.00,5.73,4.81,6.03,4.30,5.72,6.17,6.09,5.96,7.23,5.73,6.73,6.34,5.87,6.34,5.24,5.86,6.09,6.28,6.09,4.52,6.09,5.73,6.09,5.78,7.41,5.04,4.69,4.30,5.79,6.08,5.93,6.00,7.52,6.09,5.69,5.61,6.27,6.56,6.29,6.98,6.63,5.84,4.72,5.58,5.87,6.34,7.74,5.67,5.84,5.23,5.69,6.28,6.31,5.93,4.90,5.82,6.05,5.96,5.23,6.45,5.95,5.60,6.70,5.50,5.70,6.68,6.80,5.48,5.88,6.81,5.68,6.10,5.95,6.06,6.61,2.68,3.00,6.28,6.40,6.46,6.34,5.26,6.16,6.09,4.58,7.42,6.09,5.47,5.57,5.57,5.74,6.09,6.31,6.46,7.86,5.72,5.86,3.91,5.26,5.26,4.69,4.94,5.48,6.96,5.62,5.90,5.82,5.77,6.45,6.54,5.84,6.44,7.22,4.93,4.29,5.57,4.31,4.87,4.01,6.27,5.16,6.61,5.79,6.51,6.28,6.09,5.99,5.94,6.40,4.81,6.29,5.92,7.03,6.70,7.02,5.88,6.67,5.74,6.09,6.99,5.13,6.25,5.94,6.22,6.37,6.76,5.32,6.09,6.56,6.08,6.02,7.47,5.26,6.99,6.35,5.23,5.47,5.93,6.54,6.27
