LBS,OZ,CA,AD,AE,AF,AG,AI,AL,AM,AN,AO,AR,AT,AU,AW,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BL,BM,BN,BO,BR,BS,BT,BW,BY,BZ,CC,CD,CF,CG,CH,CI,CK,CL,CM,CN,CO,CR,CV,CX,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,EH,ER,ES,ET,FI,FJ,FK,FM,FO,FR,GA,GB,GD,GE,GF,GH,GI,GL,GM,GN,GP,GQ,GR,GS,GT,GW,GY,HK,HN,HR,HT,HU,ID,IE,IL,IM,IN,IO,IQ,IS,IT,JM,JO,JP,KE,KG,KH,KI,KM,KN,KR,KW,KY,KZ,LA,LB,LC,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MF,MG,MH,MK,ML,MN,MO,MQ,MR,MS,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NF,NG,NI,NL,NO,NP,NR,NU,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PM,PN,PS,PT,PW,PY,QA,RE,RO,RS,RU,RW,SA,SB,SC,SE,SG,SH,SI,SJ,SK,SL,SM,SN,SO,SR,ST,SV,SZ,TC,TD,TF,TG,TH,TJ,TL,TM,TN,TO,TR,TT,TV,TW,TZ,UA,UG,UY,UZ,VA,VC,VE,VG,VN,VU,WF,WS,YE,YT,YU,ZA,ZM,ZW
0.06,1,1.33,1.38,1.15,1.15,1.13,1.13,1.13,1.15,1.13,1.15,1.13,1.35,1.36,1.13,1.15,1.13,1.13,1.15,1.35,1.15,1.13,1.15,1.15,1.15,1.13,1.13,1.10,1.13,1.13,1.13,1.15,1.15,1.13,1.13,1.10,1.15,1.15,1.15,1.35,1.15,1.10,1.13,1.15,1.12,1.13,1.13,1.15,1.10,1.15,1.13,1.46,1.15,1.35,1.13,1.13,1.15,1.13,1.13,1.15,1.15,1.15,1.38,1.15,1.35,1.10,1.13,1.10,1.13,1.45,1.15,1.39,1.13,1.15,1.13,1.15,1.38,1.38,1.15,1.15,1.13,1.15,1.38,1.13,1.13,1.15,1.13,1.10,1.13,1.13,1.13,1.13,1.10,1.38,1.38,1.39,1.12,1.12,1.15,1.38,1.47,1.13,1.15,1.45,1.15,1.13,1.10,1.10,1.15,1.13,1.10,1.15,1.13,1.15,1.10,1.15,1.13,1.38,1.15,1.15,1.15,1.13,1.38,1.13,1.15,1.15,1.45,1.15,1.13,1.35,1.15,1.10,1.13,1.15,1.10,1.13,1.13,1.15,1.13,1.15,1.15,1.15,1.15,0.98,1.10,1.15,1.15,1.10,1.15,1.10,1.15,1.13,1.35,1.35,1.10,1.10,1.36,1.36,1.15,1.13,1.13,1.10,1.10,1.12,1.15,1.35,1.13,1.10,1.38,1.38,1.10,1.13,1.15,1.15,1.13,1.13,1.13,1.15,1.15,1.10,1.15,1.35,1.10,1.13,1.38,1.35,1.13,1.15,1.35,1.15,1.15,1.13,1.13,1.13,1.15,1.13,1.15,1.45,1.15,1.12,1.15,1.10,1.13,1.15,1.10,1.13,1.13,1.10,1.12,1.15,1.15,1.15,1.13,1.15,1.38,1.13,1.13,1.13,1.10,1.10,1.10,1.10,1.15,1.15,1.13,1.12,1.15,1.15
0.13,2,1.73,1.89,1.77,1.77,1.68,1.68,1.69,1.77,1.68,1.77,1.68,1.87,1.91,1.68,1.77,1.69,1.68,1.77,1.87,1.77,1.69,1.77,1.77,1.77,1.68,1.68,1.65,1.68,1.68,1.68,1.77,1.77,1.69,1.68,1.65,1.77,1.77,1.77,1.87,1.77,1.65,1.68,1.77,1.71,1.68,1.68,1.77,1.65,1.77,1.69,2.00,1.77,1.87,1.68,1.68,1.77,1.68,1.69,1.77,1.77,1.77,1.89,1.77,1.87,1.65,1.68,1.65,1.69,1.98,1.77,1.89,1.68,1.77,1.68,1.77,1.89,1.89,1.77,1.77,1.68,1.77,1.89,1.68,1.68,1.77,1.68,1.65,1.68,1.69,1.68,1.69,1.65,1.89,1.89,1.89,1.71,1.71,1.77,1.89,2.00,1.68,1.77,2.00,1.77,1.69,1.65,1.65,1.77,1.68,1.65,1.77,1.68,1.77,1.65,1.77,1.68,1.89,1.77,1.77,1.77,1.69,1.89,1.69,1.77,1.77,1.98,1.77,1.68,1.87,1.77,1.65,1.69,1.77,1.65,1.69,1.68,1.77,1.68,1.77,1.77,1.77,1.77,1.43,1.65,1.77,1.77,1.65,1.77,1.65,1.77,1.68,1.87,1.87,1.65,1.65,1.91,1.91,1.77,1.68,1.68,1.65,1.65,1.71,1.77,1.87,1.68,1.65,1.89,1.89,1.65,1.68,1.77,1.77,1.69,1.69,1.69,1.77,1.77,1.65,1.77,1.87,1.65,1.69,1.89,1.87,1.69,1.77,1.87,1.77,1.77,1.68,1.69,1.68,1.77,1.68,1.77,1.98,1.77,1.71,1.77,1.65,1.69,1.77,1.65,1.69,1.68,1.65,1.71,1.77,1.77,1.77,1.68,1.77,1.89,1.68,1.68,1.68,1.65,1.65,1.65,1.65,1.77,1.77,1.69,1.71,1.77,1.77
0.19,3,2.00,2.39,2.38,2.38,2.22,2.22,2.23,2.38,2.22,2.38,2.02,2.19,2.25,2.22,2.38,2.23,2.22,2.38,2.19,2.38,2.23,2.38,2.38,2.38,2.22,2.22,2.18,2.22,2.02,2.22,2.38,2.38,2.23,2.22,2.18,2.38,2.38,2.38,2.19,2.38,2.18,2.22,2.38,2.07,2.22,2.22,2.38,2.18,2.38,2.23,2.34,2.38,2.19,2.22,2.22,2.38,2.22,2.23,2.38,2.38,2.38,2.22,2.38,2.19,2.18,2.22,2.18,2.23,2.31,2.38,2.21,2.22,2.38,2.22,2.38,2.39,2.39,2.38,2.38,2.22,2.38,2.22,2.22,2.22,2.38,2.22,1.99,2.22,2.23,2.22,2.23,2.18,2.22,2.22,2.21,2.07,2.07,2.38,2.39,2.34,2.22,2.38,2.35,2.38,2.23,2.18,2.18,2.38,2.22,1.99,2.38,2.22,2.38,2.18,2.38,2.22,2.39,2.38,2.38,2.38,2.23,2.39,2.23,2.38,2.38,2.31,2.38,2.22,2.19,2.38,2.18,2.23,2.38,2.18,2.23,2.22,2.38,2.22,2.38,2.38,2.38,2.38,1.72,2.18,2.38,2.38,2.18,2.38,2.18,2.38,2.22,2.19,2.19,2.18,2.18,2.25,2.25,2.38,2.22,2.22,2.18,2.18,2.07,2.38,2.19,2.22,2.18,2.22,2.22,2.18,2.22,2.38,2.38,2.23,2.23,2.23,2.38,2.38,2.18,2.38,2.19,1.99,2.23,2.22,2.19,2.23,2.38,2.19,2.38,2.38,2.22,2.23,2.22,2.38,2.22,2.38,2.31,2.38,2.07,2.38,2.18,2.23,2.38,2.18,2.23,2.22,2.18,2.07,2.38,2.38,2.38,2.22,2.38,2.39,2.22,2.22,2.22,2.18,2.18,2.18,2.18,2.38,2.38,2.23,2.07,2.38,2.38
0.25,4,2.36,2.91,3.01,3.01,2.77,2.77,2.79,3.01,2.77,3.01,2.51,2.65,2.73,2.77,3.01,2.79,2.77,3.01,2.65,3.01,2.79,3.01,3.01,3.01,2.77,2.77,2.73,2.77,2.51,2.77,3.01,3.01,2.79,2.77,2.73,3.01,3.01,3.01,2.65,3.01,2.73,2.77,3.01,2.59,2.77,2.77,3.01,2.73,3.01,2.79,2.81,3.01,2.65,2.77,2.77,3.01,2.77,2.79,3.01,3.01,3.01,2.67,3.01,2.65,2.73,2.77,2.73,2.79,2.77,3.01,2.65,2.77,3.01,2.77,3.01,2.91,2.91,3.01,3.01,2.77,3.01,2.67,2.77,2.77,3.01,2.77,2.47,2.77,2.79,2.77,2.79,2.73,2.67,2.67,2.65,2.59,2.59,3.01,2.91,2.81,2.77,3.01,2.84,3.01,2.79,2.73,2.73,3.01,2.77,2.47,3.01,2.77,3.01,2.73,3.01,2.77,2.91,3.01,3.01,3.01,2.79,2.91,2.79,3.01,3.01,2.77,3.01,2.77,2.65,3.01,2.73,2.79,3.01,2.73,2.79,2.77,3.01,2.77,3.01,3.01,3.01,3.01,2.13,2.73,3.01,3.01,2.73,3.01,2.73,3.01,2.77,2.65,2.65,2.73,2.73,2.73,2.73,3.01,2.77,2.77,2.73,2.73,2.59,3.01,2.65,2.77,2.73,2.67,2.67,2.73,2.77,3.01,3.01,2.79,2.79,2.79,3.01,3.01,2.73,3.01,2.65,2.47,2.79,2.67,2.65,2.79,3.01,2.65,3.01,3.01,2.77,2.79,2.77,3.01,2.77,3.01,2.77,3.01,2.59,3.01,2.73,2.79,3.01,2.73,2.79,2.77,2.73,2.59,3.01,3.01,3.01,2.77,3.01,2.91,2.77,2.77,2.77,2.73,2.73,2.73,2.73,3.01,3.01,2.79,2.59,3.01,3.01
0.31,5,2.72,3.41,3.62,3.62,3.30,3.30,3.33,3.62,3.30,3.62,2.98,3.10,3.21,3.30,3.62,3.33,3.30,3.62,3.10,3.62,3.33,3.62,3.62,3.62,3.30,3.30,3.27,3.30,2.98,3.30,3.62,3.62,3.33,3.30,3.27,3.62,3.62,3.62,3.10,3.62,3.27,3.30,3.62,3.10,3.30,3.30,3.62,3.27,3.62,3.33,3.27,3.62,3.10,3.30,3.30,3.62,3.30,3.33,3.62,3.62,3.62,3.11,3.62,3.10,3.27,3.30,3.27,3.33,3.22,3.62,3.09,3.30,3.62,3.30,3.62,3.41,3.41,3.62,3.62,3.30,3.62,3.11,3.30,3.30,3.62,3.30,2.95,3.30,3.33,3.30,3.33,3.27,3.11,3.11,3.09,3.10,3.10,3.62,3.41,3.27,3.30,3.62,3.32,3.62,3.33,3.27,3.27,3.62,3.30,2.95,3.62,3.30,3.62,3.27,3.62,3.30,3.41,3.62,3.62,3.62,3.33,3.41,3.33,3.62,3.62,3.22,3.62,3.30,3.10,3.62,3.27,3.33,3.62,3.27,3.33,3.30,3.62,3.30,3.62,3.62,3.62,3.62,2.52,3.27,3.62,3.62,3.27,3.62,3.27,3.62,3.30,3.10,3.10,3.27,3.27,3.21,3.21,3.62,3.30,3.30,3.27,3.27,3.10,3.62,3.10,3.30,3.27,3.11,3.11,3.27,3.30,3.62,3.62,3.33,3.33,3.33,3.62,3.62,3.27,3.62,3.10,2.95,3.33,3.11,3.10,3.33,3.62,3.10,3.62,3.62,3.30,3.33,3.30,3.62,3.30,3.62,3.22,3.62,3.10,3.62,3.27,3.33,3.62,3.27,3.33,3.30,3.27,3.10,3.62,3.62,3.62,3.30,3.62,3.41,3.30,3.30,3.30,3.27,3.27,3.27,3.27,3.62,3.62,3.33,3.10,3.62,3.62
0.38,6,3.08,3.92,4.24,4.24,3.85,3.85,3.88,4.24,3.85,4.24,3.46,3.56,3.69,3.85,4.24,3.88,3.85,4.24,3.56,4.24,3.88,4.24,4.24,4.24,3.85,3.85,3.81,3.85,3.46,3.85,4.24,4.24,3.88,3.85,3.81,4.24,4.24,4.24,3.56,4.24,3.81,3.85,4.24,3.61,3.85,3.85,4.24,3.81,4.24,3.88,3.74,4.24,3.56,3.85,3.85,4.24,3.85,3.88,4.24,4.24,4.24,3.56,4.24,3.56,3.81,3.85,3.81,3.88,3.69,4.24,3.53,3.85,4.24,3.85,4.24,3.92,3.92,4.24,4.24,3.85,4.24,3.56,3.85,3.85,4.24,3.85,3.43,3.85,3.88,3.85,3.88,3.81,3.56,3.56,3.53,3.61,3.61,4.24,3.92,3.73,3.85,4.24,3.81,4.24,3.88,3.81,3.81,4.24,3.85,3.43,4.24,3.85,4.24,3.81,4.24,3.85,3.92,4.24,4.24,4.24,3.88,3.92,3.88,4.24,4.24,3.69,4.24,3.85,3.56,4.24,3.81,3.88,4.24,3.81,3.88,3.85,4.24,3.85,4.24,4.24,4.24,4.24,2.92,3.81,4.24,4.24,3.81,4.24,3.81,4.24,3.85,3.56,3.56,3.81,3.81,3.69,3.69,4.24,3.85,3.85,3.81,3.81,3.61,4.24,3.56,3.85,3.81,3.56,3.56,3.81,3.85,4.24,4.24,3.88,3.88,3.88,4.24,4.24,3.81,4.24,3.56,3.43,3.88,3.56,3.56,3.88,4.24,3.56,4.24,4.24,3.85,3.88,3.85,4.24,3.85,4.24,3.69,4.24,3.61,4.24,3.81,3.88,4.24,3.81,3.88,3.85,3.81,3.61,4.24,4.24,4.24,3.85,4.24,3.92,3.85,3.85,3.85,3.81,3.81,3.81,3.81,4.24,4.24,3.88,3.61,4.24,4.24
0.44,7,3.44,4.42,4.86,4.86,4.39,4.39,4.43,4.86,4.39,4.86,3.94,4.01,4.16,4.39,4.86,4.43,4.39,4.86,4.01,4.86,4.43,4.86,4.86,4.86,4.39,4.39,4.35,4.39,3.94,4.39,4.86,4.86,4.43,4.39,4.35,4.86,4.86,4.86,4.01,4.86,4.35,4.39,4.86,4.12,4.39,4.39,4.86,4.35,4.86,4.43,4.21,4.86,4.01,4.39,4.39,4.86,4.39,4.43,4.86,4.86,4.86,4.01,4.86,4.01,4.35,4.39,4.35,4.43,4.14,4.86,3.96,4.39,4.86,4.39,4.86,4.42,4.42,4.86,4.86,4.39,4.86,4.01,4.39,4.39,4.86,4.39,3.90,4.39,4.43,4.39,4.43,4.35,4.01,4.01,3.96,4.12,4.12,4.86,4.42,4.19,4.39,4.86,4.29,4.86,4.43,4.35,4.35,4.86,4.39,3.90,4.86,4.39,4.86,4.35,4.86,4.39,4.42,4.86,4.86,4.86,4.43,4.42,4.43,4.86,4.86,4.14,4.86,4.39,4.01,4.86,4.35,4.43,4.86,4.35,4.43,4.39,4.86,4.39,4.86,4.86,4.86,4.86,3.31,4.35,4.86,4.86,4.35,4.86,4.35,4.86,4.39,4.01,4.01,4.35,4.35,4.16,4.16,4.86,4.39,4.39,4.35,4.35,4.12,4.86,4.01,4.39,4.35,4.01,4.01,4.35,4.39,4.86,4.86,4.43,4.43,4.43,4.86,4.86,4.35,4.86,4.01,3.90,4.43,4.01,4.01,4.43,4.86,4.01,4.86,4.86,4.39,4.43,4.39,4.86,4.39,4.86,4.14,4.86,4.12,4.86,4.35,4.43,4.86,4.35,4.43,4.39,4.35,4.12,4.86,4.86,4.86,4.39,4.86,4.42,4.39,4.39,4.39,4.35,4.35,4.35,4.35,4.86,4.86,4.43,4.12,4.86,4.86
0.50,8,3.69,4.93,5.48,5.48,4.94,4.94,4.98,5.48,4.94,5.48,4.27,4.34,4.49,4.94,5.48,4.98,4.94,5.48,4.34,5.48,4.98,5.48,5.48,5.48,4.94,4.94,4.89,4.94,4.27,4.94,5.48,5.48,4.98,4.94,4.89,5.48,5.48,5.48,4.34,5.48,4.89,4.94,5.48,4.48,4.94,4.94,5.48,4.89,5.48,4.98,4.53,5.48,4.34,4.94,4.94,5.48,4.94,4.98,5.48,5.48,5.48,4.32,5.48,4.34,4.89,4.94,4.89,4.98,4.46,5.48,4.27,4.94,5.48,4.94,5.48,4.93,4.93,5.48,5.48,4.94,5.48,4.32,4.94,4.94,5.48,4.94,4.23,4.94,4.98,4.94,4.98,4.89,4.32,4.32,4.27,4.48,4.48,5.48,4.93,4.52,4.94,5.48,4.62,5.48,4.98,4.89,4.89,5.48,4.94,4.23,5.48,4.94,5.48,4.89,5.48,4.94,4.93,5.48,5.48,5.48,4.98,4.93,4.98,5.48,5.48,4.46,5.48,4.94,4.34,5.48,4.89,4.98,5.48,4.89,4.98,4.94,5.48,4.94,5.48,5.48,5.48,5.48,3.59,4.89,5.48,5.48,4.89,5.48,4.89,5.48,4.94,4.34,4.34,4.89,4.89,4.49,4.49,5.48,4.94,4.94,4.89,4.89,4.48,5.48,4.34,4.94,4.89,4.32,4.32,4.89,4.94,5.48,5.48,4.98,4.98,4.98,5.48,5.48,4.89,5.48,4.34,4.23,4.98,4.32,4.34,4.98,5.48,4.34,5.48,5.48,4.94,4.98,4.94,5.48,4.94,5.48,4.46,5.48,4.48,5.48,4.89,4.98,5.48,4.89,4.98,4.94,4.89,4.48,5.48,5.48,5.48,4.94,5.48,4.93,4.94,4.94,4.94,4.89,4.89,4.89,4.89,5.48,5.48,4.98,4.48,5.48,5.48
0.56,9,4.04,5.43,6.10,6.10,5.48,5.48,5.53,6.10,5.48,6.10,4.73,4.77,4.95,5.48,6.10,5.53,5.48,6.10,4.77,6.10,5.53,6.10,6.10,6.10,5.48,5.48,5.43,5.48,4.73,5.48,6.10,6.10,5.53,5.48,5.43,6.10,6.10,6.10,4.77,6.10,5.43,5.48,6.10,4.97,5.48,5.48,6.10,5.43,6.10,5.53,4.97,6.10,4.77,5.48,5.48,6.10,5.48,5.53,6.10,6.10,6.10,4.74,6.10,4.77,5.43,5.48,5.43,5.53,4.89,6.10,4.68,5.48,6.10,5.48,6.10,5.43,5.43,6.10,6.10,5.48,6.10,4.74,5.48,5.48,6.10,5.48,4.68,5.48,5.53,5.48,5.53,5.43,4.74,4.74,4.68,4.97,4.97,6.10,5.43,4.96,5.48,6.10,5.08,6.10,5.53,5.43,5.43,6.10,5.48,4.68,6.10,5.48,6.10,5.43,6.10,5.48,5.43,6.10,6.10,6.10,5.53,5.43,5.53,6.10,6.10,4.89,6.10,5.48,4.77,6.10,5.43,5.53,6.10,5.43,5.53,5.48,6.10,5.48,6.10,6.10,6.10,6.10,3.97,5.43,6.10,6.10,5.43,6.10,5.43,6.10,5.48,4.77,4.77,5.43,5.43,4.95,4.95,6.10,5.48,5.48,5.43,5.43,4.97,6.10,4.77,5.48,5.43,4.74,4.74,5.43,5.48,6.10,6.10,5.53,5.53,5.53,6.10,6.10,5.43,6.10,4.77,4.68,5.53,4.74,4.77,5.53,6.10,4.77,6.10,6.10,5.48,5.53,5.48,6.10,5.48,6.10,4.89,6.10,4.97,6.10,5.43,5.53,6.10,5.43,5.53,5.48,5.43,4.97,6.10,6.10,6.10,5.48,6.10,5.43,5.48,5.48,5.48,5.43,5.43,5.43,5.43,6.10,6.10,5.53,4.97,6.10,6.10
0.63,10,4.38,5.93,6.71,6.71,6.02,6.02,6.07,6.71,6.02,6.71,5.18,5.20,5.40,6.02,6.71,6.07,6.02,6.71,5.20,6.71,6.07,6.71,6.71,6.71,6.02,6.02,5.97,6.02,5.18,6.02,6.71,6.71,6.07,6.02,5.97,6.71,6.71,6.71,5.20,6.71,5.97,6.02,6.71,5.46,6.02,6.02,6.71,5.97,6.71,6.07,5.41,6.71,5.20,6.02,6.02,6.71,6.02,6.07,6.71,6.71,6.71,5.17,6.71,5.20,5.97,6.02,5.97,6.07,5.33,6.71,5.10,6.02,6.71,6.02,6.71,5.93,5.93,6.71,6.71,6.02,6.71,5.17,6.02,6.02,6.71,6.02,5.14,6.02,6.07,6.02,6.07,5.97,5.17,5.17,5.10,5.46,5.46,6.71,5.93,5.40,6.02,6.71,5.54,6.71,6.07,5.97,5.97,6.71,6.02,5.14,6.71,6.02,6.71,5.97,6.71,6.02,5.93,6.71,6.71,6.71,6.07,5.93,6.07,6.71,6.71,5.33,6.71,6.02,5.20,6.71,5.97,6.07,6.71,5.97,6.07,6.02,6.71,6.02,6.71,6.71,6.71,6.71,4.34,5.97,6.71,6.71,5.97,6.71,5.97,6.71,6.02,5.20,5.20,5.97,5.97,5.40,5.40,6.71,6.02,6.02,5.97,5.97,5.46,6.71,5.20,6.02,5.97,5.17,5.17,5.97,6.02,6.71,6.71,6.07,6.07,6.07,6.71,6.71,5.97,6.71,5.20,5.14,6.07,5.17,5.20,6.07,6.71,5.20,6.71,6.71,6.02,6.07,6.02,6.71,6.02,6.71,5.33,6.71,5.46,6.71,5.97,6.07,6.71,5.97,6.07,6.02,5.97,5.46,6.71,6.71,6.71,6.02,6.71,5.93,6.02,6.02,6.02,5.97,5.97,5.97,5.97,6.71,6.71,6.07,5.46,6.71,6.71
