LBS,OZ,CA,AD,AE,AF,AG,AI,AL,AM,AN,AO,AR,AT,AU,AW,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BL,BM,BN,BO,BR,BS,BT,BW,BY,BZ,CC,CD,CF,CG,CH,CI,CK,CL,CM,CN,CO,CR,CV,CX,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,EH,ER,ES,ET,FI,FJ,FK,FM,FO,FR,GA,GB,GD,GE,GF,GH,GI,GL,GM,GN,GP,GQ,GR,GS,GT,GW,GY,HK,HN,HR,HT,HU,ID,IE,IL,IM,IN,IO,IQ,IS,IT,JM,JO,JP,KE,KG,KH,KI,KM,KN,KR,KW,KY,KZ,LA,LB,LC,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MF,MG,MH,MK,ML,MN,MO,MQ,MR,MS,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NF,NG,NI,NL,NO,NP,NR,NU,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PM,PN,PS,PT,PW,PY,QA,RE,RO,RS,RU,RW,SA,SB,SC,SE,SG,SH,SI,SJ,SK,SL,SM,SN,SO,SR,ST,SV,SZ,TC,TD,TF,TG,TH,TJ,TL,TM,TN,TO,TR,TT,TV,TW,TZ,UA,UG,UY,UZ,VA,VC,VE,VG,VN,VU,WF,WS,YE,YT,YU,ZA,ZM,ZW
0.06,1,4.02,3.38,3.41,3.51,3.45,3.90,3.45,3.51,3.46,3.51,3.52,4.19,4.05,3.45,3.46,3.48,3.45,3.46,4.11,3.53,3.44,3.41,3.54,3.51,4.29,3.47,3.47,3.63,3.50,3.46,3.46,3.46,3.50,3.54,4.05,3.52,3.54,3.50,4.08,3.50,3.54,3.49,3.49,3.47,3.47,3.49,3.55,4.05,3.44,3.70,3.87,3.51,4.63,3.49,3.48,3.43,3.52,3.46,3.44,3.46,3.52,3.88,3.50,4.26,3.55,3.40,3.56,3.39,4.29,3.49,3.92,3.45,3.45,3.44,3.47,3.62,3.39,3.57,3.53,3.48,3.52,4.38,3.90,3.50,3.59,3.47,3.34,3.51,3.38,3.55,3.75,3.43,4.02,4.02,3.92,3.43,3.90,3.47,3.97,4.64,3.49,3.44,4.09,3.44,3.50,3.48,3.59,3.50,3.48,3.36,3.42,3.46,3.48,3.61,3.44,3.46,3.37,3.47,3.52,3.50,3.47,3.96,3.47,3.49,3.46,3.38,3.53,3.47,4.29,3.54,3.50,3.49,3.52,3.52,3.43,3.48,3.55,3.49,3.47,3.49,3.51,3.51,3.36,3.42,3.49,3.44,3.55,3.53,3.54,3.48,3.51,3.96,4.86,3.47,3.56,4.13,4.13,3.42,3.49,3.50,3.55,3.57,3.43,3.44,3.76,3.46,3.54,4.02,4.05,3.50,3.54,3.40,3.50,3.44,3.45,3.45,3.46,3.45,3.59,3.45,4.28,3.75,3.50,3.76,4.28,4.09,3.52,3.39,3.51,3.42,3.52,3.63,3.51,3.46,3.50,3.54,4.29,3.50,3.44,3.54,3.46,3.51,3.44,3.57,3.44,3.46,3.60,3.47,3.48,3.47,3.51,3.52,3.50,3.41,3.50,3.48,3.40,3.49,3.70,3.55,3.59,3.51,3.38,3.45,3.50,3.48,3.48
0.13,2,4.45,3.85,3.91,4.11,3.98,4.13,3.99,4.12,4.02,4.11,4.13,4.82,4.56,3.99,4.02,4.04,3.98,4.01,4.47,4.16,3.97,3.90,4.17,4.11,5.07,4.04,4.02,4.35,4.08,4.01,4.00,4.01,4.08,4.17,4.56,4.13,4.16,4.08,4.28,4.09,4.17,4.07,4.08,4.02,4.03,4.06,4.19,4.56,3.97,4.04,4.19,4.11,5.07,4.08,4.05,3.94,4.13,4.01,3.97,4.01,4.13,4.32,4.09,4.59,4.20,3.89,4.22,3.88,5.07,4.06,4.25,3.98,4.00,3.98,4.03,4.32,3.88,4.24,4.16,4.06,4.14,5.09,4.13,4.09,4.26,4.03,3.76,4.12,3.85,4.19,4.12,3.96,4.30,4.44,4.25,3.95,4.13,4.03,4.25,5.99,4.06,3.97,4.57,3.97,4.09,4.05,4.27,4.08,4.05,3.81,3.93,4.02,4.05,4.31,3.97,4.01,3.84,4.02,4.13,4.08,4.03,4.30,4.03,4.06,4.01,3.85,4.15,4.03,5.07,4.17,4.08,4.06,4.13,4.13,3.95,4.06,4.20,4.07,4.03,4.07,4.10,4.11,3.82,3.93,4.07,3.96,4.19,4.15,4.16,4.05,4.11,4.31,5.79,4.04,4.21,4.65,4.65,3.93,4.07,4.08,4.19,4.24,3.94,3.96,4.01,4.01,4.17,4.44,4.50,4.08,4.17,3.90,4.10,3.98,3.99,3.98,4.02,3.99,4.27,3.99,5.14,4.10,4.09,4.15,5.14,4.38,4.13,3.87,4.10,3.93,4.12,4.36,4.11,4.01,4.08,4.17,5.07,4.09,3.97,4.17,4.01,4.10,3.97,4.23,3.96,4.01,4.29,4.02,4.05,4.03,4.11,4.14,4.09,3.90,4.10,4.05,3.89,4.07,4.49,4.19,4.27,4.10,3.85,3.99,4.08,4.06,4.05
0.19,3,4.88,4.31,4.39,4.71,4.51,4.87,4.53,4.71,4.56,4.70,4.73,5.38,5.05,4.52,4.56,4.60,4.51,4.56,5.71,4.77,4.49,4.39,4.79,4.71,5.44,4.59,4.57,5.05,4.66,4.56,4.54,4.56,4.66,4.79,5.05,4.72,4.78,4.66,5.44,4.67,4.80,4.64,4.65,4.57,4.58,4.63,4.82,5.05,4.49,4.35,4.50,4.71,6.14,4.65,4.61,4.45,4.73,4.55,4.49,4.54,4.72,4.84,4.67,5.23,4.83,4.37,4.86,4.35,5.44,4.63,4.57,4.51,4.53,4.50,4.58,5.02,4.35,4.89,4.77,4.62,4.74,5.68,4.87,4.68,4.93,4.58,4.18,4.71,4.31,4.82,4.52,4.47,5.45,4.84,4.57,4.46,4.87,4.58,4.88,5.87,4.63,4.49,5.04,4.49,4.68,4.61,4.94,4.66,4.61,4.24,4.42,4.56,4.61,5.01,4.49,4.54,4.29,4.57,4.73,4.66,4.58,5.16,4.58,4.63,4.54,4.31,4.76,4.58,5.44,4.79,4.66,4.63,4.73,4.73,4.46,4.62,4.83,4.64,4.58,4.64,4.69,4.69,4.26,4.44,4.64,4.48,4.81,4.76,4.78,4.61,4.69,4.65,6.32,4.59,4.85,5.16,5.16,4.43,4.64,4.66,4.81,4.89,4.45,4.48,4.44,4.55,4.80,4.84,4.94,4.66,4.80,4.38,4.68,4.50,4.52,4.51,4.56,4.52,4.94,4.53,5.35,4.45,4.68,4.53,5.35,4.76,4.73,4.34,4.69,4.42,4.72,5.07,4.70,4.56,4.66,4.79,5.44,4.66,4.49,4.79,4.55,4.69,4.48,4.88,4.48,4.56,4.97,4.57,4.61,4.58,4.70,4.74,4.67,4.39,4.69,4.62,4.37,4.63,5.28,4.81,4.94,4.69,4.31,4.52,4.66,4.62,4.61
0.25,4,5.31,4.78,4.89,5.31,5.04,5.16,5.07,5.32,5.12,5.30,5.34,5.58,5.55,5.06,5.11,5.17,5.04,5.11,6.11,5.40,5.03,4.89,5.42,5.31,5.97,5.15,5.13,5.77,5.25,5.11,5.09,5.11,5.25,5.42,5.55,5.33,5.40,5.25,5.63,5.27,5.43,5.21,5.23,5.13,5.15,5.20,5.46,5.55,5.02,4.61,4.81,5.31,6.78,5.24,5.18,4.96,5.35,5.11,5.02,5.09,5.33,5.33,5.26,5.71,5.47,4.86,5.51,4.84,5.97,5.20,4.90,5.04,5.08,5.04,5.14,5.72,4.84,5.55,5.40,5.19,5.35,6.13,5.16,5.27,5.61,5.14,4.61,5.31,4.78,5.46,4.86,4.99,5.84,5.26,4.90,4.98,5.16,5.15,5.30,6.29,5.20,5.02,5.52,5.02,5.27,5.17,5.62,5.24,5.18,4.69,4.93,5.12,5.18,5.71,5.03,5.09,4.75,5.13,5.34,5.25,5.14,5.41,5.14,5.20,5.09,4.78,5.38,5.14,5.97,5.42,5.25,5.20,5.34,5.34,4.99,5.20,5.47,5.21,5.14,5.22,5.28,5.29,4.71,4.95,5.23,5.01,5.45,5.37,5.41,5.18,5.29,5.00,7.07,5.15,5.49,5.68,5.68,4.94,5.21,5.25,5.45,5.55,4.97,5.01,4.79,5.10,5.43,5.26,5.39,5.25,5.43,4.88,5.27,5.04,5.07,5.05,5.12,5.05,5.62,5.07,5.89,4.81,5.27,4.93,5.89,5.05,5.33,4.82,5.28,4.93,5.32,5.80,5.31,5.11,5.25,5.42,5.97,5.25,5.03,5.42,5.10,5.28,5.01,5.54,5.00,5.11,5.66,5.13,5.18,5.13,5.30,5.36,5.26,4.88,5.28,5.19,4.86,5.21,6.07,5.45,5.62,5.29,4.78,5.07,5.25,5.20,5.18
0.31,5,5.73,5.25,5.38,5.90,5.57,5.44,5.60,5.91,5.66,5.89,5.94,5.77,6.05,5.60,5.66,5.73,5.57,5.65,6.50,6.01,5.55,5.37,6.04,5.90,6.48,5.71,5.67,6.48,5.82,5.65,5.62,5.65,5.82,6.05,6.05,5.93,6.02,5.82,5.82,5.85,6.05,5.78,5.80,5.67,5.70,5.77,6.09,6.05,5.54,4.85,5.12,5.90,7.41,5.81,5.74,5.47,5.95,5.65,5.55,5.63,5.93,5.81,5.84,6.19,6.11,5.34,6.16,5.31,6.48,5.77,5.22,5.57,5.61,5.56,5.68,6.42,5.31,6.21,6.01,5.76,5.96,6.56,5.44,5.85,6.28,5.70,5.03,5.91,5.24,6.09,5.20,5.50,6.22,5.66,5.22,5.49,5.44,5.70,5.72,6.71,5.77,5.55,5.99,5.55,5.85,5.73,6.29,5.82,5.74,5.13,5.43,5.66,5.74,6.40,5.55,5.63,5.21,5.68,5.94,5.82,5.69,5.64,5.69,5.77,5.63,5.25,5.99,5.69,6.48,6.04,5.82,5.77,5.94,5.94,5.50,5.76,6.11,5.78,5.69,5.80,5.87,5.88,5.15,5.45,5.80,5.53,6.08,5.98,6.03,5.74,5.88,5.34,7.80,5.71,6.13,6.19,6.19,5.44,5.78,5.83,6.08,6.20,5.48,5.53,5.14,5.63,6.05,5.66,5.83,5.82,6.05,5.36,5.86,5.56,5.60,5.57,5.66,5.58,6.29,5.60,6.42,5.15,5.85,5.31,6.42,5.32,5.93,5.29,5.87,5.43,5.92,6.51,5.90,5.65,5.82,6.04,6.48,5.83,5.55,6.04,5.64,5.87,5.53,6.18,5.52,5.65,6.34,5.67,5.74,5.68,5.89,5.96,5.84,5.37,5.87,5.75,5.34,5.78,6.85,6.08,6.29,5.87,5.25,5.60,5.82,5.76,5.74
0.38,6,6.17,5.72,5.88,6.50,6.10,5.74,6.14,6.51,6.22,6.49,6.54,5.97,6.55,6.14,6.21,6.29,6.10,6.20,6.89,6.64,6.08,5.87,6.67,6.50,7.00,6.27,6.23,7.20,6.41,6.20,6.17,6.20,6.41,6.68,6.55,6.54,6.65,6.41,6.02,6.44,6.68,6.36,6.39,6.23,6.26,6.34,6.73,6.55,6.07,5.10,5.44,6.50,8.05,6.40,6.31,5.99,6.56,6.20,6.08,6.18,6.54,6.30,6.44,6.67,6.75,5.83,6.81,5.80,7.00,6.34,5.55,6.10,6.16,6.10,6.24,7.13,5.80,6.87,6.64,6.33,6.57,7.01,5.74,6.44,6.95,6.26,5.45,6.51,5.72,6.74,5.54,6.03,6.62,6.08,5.55,6.01,5.74,6.26,6.15,7.14,6.34,6.08,6.47,6.08,6.44,6.30,6.97,6.40,6.31,5.58,5.94,6.22,6.31,7.10,6.08,6.18,5.67,6.23,6.55,6.41,6.24,5.89,6.24,6.34,6.18,5.72,6.61,6.24,7.00,6.67,6.41,6.34,6.55,6.55,6.02,6.33,6.75,6.36,6.25,6.38,6.47,6.48,5.61,5.96,6.38,6.05,6.72,6.60,6.65,6.31,6.48,5.70,8.55,6.27,6.78,6.71,6.71,5.94,6.36,6.41,6.72,6.87,5.99,6.05,5.50,6.18,6.68,6.08,6.28,6.41,6.68,5.85,6.45,6.09,6.14,6.11,6.22,6.12,6.97,6.14,6.96,5.51,6.44,5.70,6.96,5.60,6.54,5.77,6.46,5.94,6.53,7.24,6.50,6.20,6.41,6.67,7.00,6.42,6.08,6.68,6.19,6.46,6.06,6.84,6.04,6.20,7.04,6.23,6.31,6.24,6.49,6.58,6.43,5.86,6.46,6.32,5.83,6.36,7.65,6.72,6.97,6.47,5.72,6.14,6.41,6.34,6.31
0.44,7,6.59,6.18,6.37,7.09,6.63,6.02,6.68,7.11,6.76,7.08,7.14,6.15,7.04,6.67,6.75,6.85,6.63,6.74,7.28,7.25,6.60,6.36,7.29,7.09,7.52,6.82,6.78,7.90,6.99,6.75,6.71,6.74,6.99,7.30,7.04,7.13,7.26,6.99,6.21,7.02,7.31,6.93,6.96,6.77,6.81,6.91,7.36,7.04,6.59,5.34,5.75,7.09,8.68,6.97,6.87,6.49,7.16,6.74,6.60,6.71,7.13,6.78,7.02,7.14,7.38,6.31,7.46,6.27,7.52,6.91,5.87,6.63,6.69,6.62,6.79,7.82,6.27,7.52,7.25,6.89,7.17,7.45,6.02,7.02,7.62,6.81,5.87,7.10,6.18,7.37,5.87,6.54,7.00,6.48,5.87,6.52,6.02,6.81,6.56,7.55,6.91,6.60,6.94,6.60,7.02,6.86,7.64,6.98,6.87,6.01,6.44,6.76,6.87,7.79,6.60,6.72,6.12,6.78,7.15,6.99,6.79,6.13,6.79,6.91,6.71,6.18,7.22,6.79,7.52,7.29,6.99,6.91,7.15,7.15,6.53,6.90,7.39,6.93,6.80,6.95,7.05,7.07,6.05,6.46,6.95,6.57,7.34,7.21,7.27,6.87,7.07,6.04,9.29,6.82,7.42,7.22,7.22,6.44,6.93,6.99,7.34,7.52,6.50,6.57,5.84,6.72,7.31,6.48,6.72,6.99,7.30,6.34,7.03,6.62,6.67,6.64,6.76,6.65,7.64,6.68,7.49,5.86,7.02,6.08,7.49,5.88,7.14,6.24,7.05,6.43,7.12,7.95,7.09,6.74,6.99,7.29,7.52,7.00,6.60,7.30,6.73,7.05,6.58,7.49,6.56,6.75,7.72,6.77,6.87,6.79,7.08,7.18,7.01,6.35,7.05,6.88,6.31,6.93,8.43,7.34,7.64,7.06,6.18,6.67,6.99,6.90,6.87
0.50,8,7.02,6.65,6.87,7.70,7.16,7.81,7.22,7.71,7.31,7.67,7.75,8.35,7.55,7.21,7.31,7.42,7.16,7.30,7.36,7.87,7.13,6.85,7.92,7.70,7.46,7.39,7.33,8.62,7.57,7.30,7.25,7.29,7.57,7.93,7.55,7.74,7.89,7.57,13.19,7.61,7.94,7.51,7.54,7.33,7.37,7.49,7.99,7.55,7.12,6.02,6.07,7.70,8.61,7.56,7.44,7.01,7.77,7.29,7.13,7.26,7.74,7.18,7.61,9.78,8.02,6.80,8.11,6.76,7.46,7.49,6.20,7.16,7.24,7.16,7.35,8.53,6.76,8.19,7.87,7.47,7.79,8.10,7.81,7.62,8.30,7.37,6.30,7.71,6.65,8.01,6.30,7.06,9.89,6.90,6.20,7.04,7.81,7.37,7.86,9.83,7.49,7.13,7.42,7.13,7.62,7.43,8.32,7.56,7.44,6.46,6.95,7.32,7.44,8.50,7.13,7.26,6.59,7.34,7.75,7.57,7.35,7.15,7.35,7.49,7.26,6.65,7.84,7.35,7.46,7.92,7.57,7.49,7.75,7.76,7.05,7.47,8.03,7.51,7.36,7.53,7.65,7.67,6.50,6.98,7.53,7.10,7.98,7.83,7.90,7.44,7.67,6.39,12.09,7.39,8.07,7.74,7.74,6.95,7.51,7.58,7.98,8.18,7.02,7.10,6.20,7.27,7.94,6.90,7.16,7.57,7.94,6.83,7.63,7.15,7.21,7.17,7.32,7.19,8.32,7.22,8.08,6.21,7.62,6.48,8.08,6.29,7.75,6.72,7.64,6.94,7.73,8.67,7.69,7.29,7.57,7.92,7.46,7.59,7.13,7.93,7.27,7.64,7.11,8.15,7.09,7.30,8.41,7.33,7.44,7.35,7.67,7.80,7.60,6.84,7.64,7.45,6.80,7.51,9.22,7.98,8.32,7.65,6.65,7.21,7.57,7.47,7.44
0.56,9,7.45,7.11,7.36,8.29,7.69,8.09,7.75,8.30,7.86,8.26,8.35,8.57,8.04,7.74,7.85,7.97,7.69,7.84,7.63,8.49,7.65,7.34,8.54,8.29,7.76,7.94,7.88,9.33,8.15,7.84,7.79,7.84,8.15,8.55,8.04,8.34,8.50,8.15,13.38,8.19,8.56,8.08,8.11,7.88,7.92,8.05,8.62,8.04,7.65,6.34,6.38,8.29,8.97,8.13,8.00,7.51,8.37,7.83,7.65,7.80,8.34,7.59,8.19,10.22,8.66,7.28,8.75,7.23,7.76,8.05,6.52,7.69,7.77,7.68,7.90,9.22,7.23,8.84,8.49,8.03,8.39,8.44,8.09,8.20,8.96,7.92,6.71,8.30,7.11,8.64,6.66,7.57,10.32,7.30,6.52,7.55,8.09,7.92,8.26,10.20,8.05,7.65,7.89,7.65,8.20,7.99,8.99,8.14,8.00,6.90,7.45,7.86,8.00,9.19,7.65,7.80,7.04,7.88,8.35,8.15,7.90,7.36,7.90,8.05,7.80,7.11,8.45,7.90,7.76,8.54,8.15,8.05,8.35,8.36,7.56,8.03,8.66,8.08,7.91,8.10,8.23,8.25,6.94,7.48,8.10,7.61,8.61,8.44,8.51,8.00,8.25,6.73,12.61,7.94,8.71,8.25,8.25,7.45,8.08,8.15,8.61,8.83,7.52,7.61,6.54,7.81,8.56,7.30,7.60,8.15,8.56,7.32,8.21,7.68,7.74,7.70,7.86,7.72,8.99,7.75,8.49,6.56,8.20,6.86,8.49,6.64,8.35,7.19,8.23,7.44,8.32,9.39,8.28,7.84,8.15,8.54,7.76,8.16,7.65,8.55,7.81,8.23,7.62,8.80,7.60,7.84,9.09,7.88,8.00,7.90,8.26,8.40,8.18,7.33,8.23,8.02,7.28,8.07,10.00,8.61,8.99,8.24,7.11,7.74,8.15,8.04,8.00
0.63,10,7.87,7.57,7.84,8.88,8.22,8.36,8.28,8.90,8.40,8.85,8.95,8.79,8.53,8.27,8.39,8.53,8.22,8.38,7.90,9.10,8.17,7.83,9.16,8.88,8.07,8.49,8.43,10.04,8.73,8.38,8.33,8.38,8.73,9.17,8.53,8.94,9.12,8.73,13.56,8.78,9.18,8.65,8.69,8.42,8.48,8.62,9.25,8.53,8.17,6.66,6.69,8.88,9.33,8.70,8.56,8.02,8.98,8.38,8.17,8.34,8.94,8.00,8.77,10.65,9.29,7.75,9.40,7.70,8.07,8.62,6.84,8.22,8.31,8.20,8.45,9.92,7.70,9.49,9.10,8.59,8.99,8.77,8.36,8.78,9.63,8.47,7.13,8.89,7.57,9.27,7.01,8.09,10.76,7.70,6.84,8.06,8.36,8.48,8.66,10.57,8.62,8.17,8.36,8.17,8.78,8.55,9.66,8.71,8.57,7.34,7.94,8.40,8.56,9.88,8.17,8.34,7.49,8.43,8.95,8.73,8.45,7.57,8.45,8.62,8.34,7.57,9.06,8.45,8.07,9.16,8.73,8.62,8.95,8.96,8.08,8.60,9.30,8.65,8.46,8.67,8.82,8.84,7.39,7.98,8.68,8.13,9.24,9.05,9.13,8.56,8.84,7.07,13.14,8.49,9.34,8.76,8.76,7.95,8.65,8.73,9.24,9.49,8.03,8.13,6.89,8.35,9.18,7.70,8.04,8.73,9.18,7.80,8.79,8.20,8.27,8.23,8.41,8.25,9.66,8.28,8.90,6.91,8.78,7.24,8.90,6.99,8.95,7.66,8.81,7.94,8.92,10.10,8.88,8.38,8.73,9.16,8.07,8.74,8.17,9.17,8.35,8.81,8.14,9.45,8.12,8.38,9.77,8.42,8.56,8.44,8.85,9.01,8.76,7.81,8.81,8.58,7.75,8.64,10.79,9.24,9.66,8.83,7.57,8.27,8.73,8.60,8.56
