LBS,OZ,CA-1,CA-2,CA-3,CA-4,CA-5,CA-6,CA-7,CA-8,CA-9,CA-10,CA-11,CA-12,CA-13,CA-14,CA-15,CA-16,CA-17,CA-18,CA-19,CA-20,AD,AE,AF,AG,AI,AL,AM,AN,AO,AR,AT,AU,AW,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BL,BM,BN,BO,BR,BS,BT,BW,BY,BZ,CC,CD,CF,CG,CH,CI,CK,CL,CM,CN,CO,CR,CV,CX,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,EH,ER,ES,ET,FI,FJ,FK,FM,FO,FR,GA,GB,GD,GE,GF,GH,GI,GL,GM,GN,GP,GQ,GR,GS,GT,GW,GY,HK,HN,HR,HT,HU,ID,IE,IL,IM,IN,IO,IQ,IS,IT,JM,JO,JP,KE,KG,KH,KI,KM,KN,KR,KW,KY,KZ,LA,LB,LC,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MF,MG,MH,MK,ML,MN,MO,MQ,MR,MS,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NF,NG,NI,NL,NO,NP,NR,NU,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PM,PN,PS,PT,PW,PY,QA,RE,RO,RS,RU,RW,SA,SB,SC,SE,SG,SH,SI,SJ,SK,SL,SM,SN,SR,ST,SV,SZ,TC,TD,TF,TG,TH,TJ,TL,TM,TN,TO,TR,TT,TV,TW,TZ,UA,UG,UY,UZ,VA,VC,VE,VG,VN,VU,WF,WS,YE,YT,ZA,ZM,ZW
0.06,1,7.81,7.82,8.02,8.44,8.54,8.69,9.11,10.21,10.19,10.93,10.90,12.03,12.05,12.38,12.40,13.70,13.72,14.02,13.67,16.82,20.07,12.10,23.18,13.27,23.26,15.89,27.27,15.60,16.83,21.00,9.91,17.26,14.94,15.79,14.68,13.64,14.06,36.49,17.21,9.77,14.62,18.33,13.36,22.41,17.59,12.69,20.17,17.44,16.83,17.23,20.43,15.35,18.12,17.26,17.47,17.99,13.57,14.38,15.23,22.35,18.14,15.14,13.46,17.59,21.12,16.83,17.26,15.38,7.81,15.33,14.48,11.61,13.26,12.45,16.27,20.26,9.15,17.30,15.50,21.43,12.00,11.93,11.58,15.79,17.35,33.04,38.66,37.31,15.06,11.27,13.65,20.84,22.38,19.61,10.71,38.74,18.71,15.21,22.41,13.18,14.08,11.27,12.38,21.82,16.94,24.75,13.81,9.18,13.16,20.85,17.12,15.65,19.30,11.27,21.64,13.52,12.57,17.74,19.37,16.33,14.86,18.63,17.29,12.36,14.11,14.51,12.39,24.26,20.57,15.17,16.76,13.65,16.19,16.40,14.31,14.30,13.47,12.65,17.14,9.27,23.54,15.04,17.32,15.50,37.31,20.06,16.74,22.41,18.41,33.04,14.52,16.37,20.51,18.57,22.41,17.41,22.35,13.43,14.75,15.53,16.82,14.24,15.81,20.17,15.70,24.04,13.23,17.26,22.21,13.39,18.79,14.51,12.50,12.17,20.99,20.99,15.41,12.05,14.85,21.17,20.56,13.21,15.18,15.36,23.48,23.13,17.74,12.27,33.04,14.11,12.47,22.44,10.73,19.81,24.61,16.43,14.05,15.67,13.30,11.61,16.82,14.81,15.83,14.51,11.30,15.11,19.37,15.54,12.75,15.35,13.89,13.86,13.28,15.04,37.31,16.92,16.17,12.14,13.40,12.13,13.61,15.51,14.51,13.62,13.52,22.55,15.82,12.00,15.40,21.23,21.80,15.11,24.82,15.26,13.27,14.17,14.87,19.08,15.64,14.74,22.33,20.08,14.99,19.09
0.13,2,7.96,7.99,8.19,8.61,8.71,8.86,9.26,10.37,10.36,11.08,11.07,12.19,12.22,12.54,12.57,13.86,13.89,14.19,13.84,16.99,20.28,12.33,23.56,13.72,23.61,16.15,27.60,15.91,17.09,21.34,10.09,17.75,15.22,16.08,14.92,13.90,14.32,36.60,17.55,9.99,14.86,18.65,13.64,22.70,17.89,12.95,20.61,17.76,17.09,17.53,20.72,15.62,18.47,17.75,17.75,18.29,13.85,14.56,15.52,23.11,18.47,15.42,13.72,17.89,21.46,17.20,17.75,15.60,8.01,15.50,14.76,11.80,13.56,12.72,16.51,20.59,9.35,17.58,15.77,21.74,12.20,12.25,11.78,16.15,18.01,33.30,38.92,37.49,15.35,11.45,13.92,21.19,22.64,19.91,10.99,39.09,19.02,15.51,22.70,13.55,14.28,11.45,12.66,22.18,17.22,24.97,14.12,9.38,13.46,21.04,17.40,15.86,19.58,11.45,21.87,13.71,12.84,17.94,19.57,16.64,15.09,18.93,17.55,12.70,14.41,14.91,12.68,24.59,20.84,15.41,17.10,13.97,16.58,16.64,14.58,14.48,13.74,12.93,17.43,9.46,23.72,15.24,17.60,15.77,37.49,20.47,16.98,22.70,18.71,33.30,14.79,16.67,20.90,18.83,22.70,17.72,22.69,13.69,15.04,15.81,17.12,14.51,16.06,20.45,15.95,24.41,13.53,17.78,22.51,13.70,19.01,14.71,12.74,12.57,21.42,21.42,15.65,12.33,15.17,21.53,20.99,13.46,15.43,15.54,23.79,23.71,17.94,12.47,33.30,14.48,12.69,22.75,10.92,20.05,24.84,16.68,14.29,16.26,13.56,11.79,17.08,15.09,16.06,14.71,11.51,15.40,19.57,15.79,13.04,15.73,14.20,14.14,13.74,15.34,37.49,17.19,16.44,12.52,13.67,12.47,13.88,16.20,14.73,13.91,14.22,22.83,16.08,12.20,15.66,21.58,22.16,15.34,25.17,15.54,13.71,14.46,15.47,19.47,16.36,15.02,22.54,20.36,15.26,19.40
0.19,3,8.11,8.15,8.35,8.77,8.87,9.02,9.41,10.51,10.53,11.23,11.23,12.33,12.38,12.68,12.73,14.00,14.05,14.35,14.00,17.16,20.48,12.56,23.94,14.15,23.94,16.40,27.92,16.20,17.34,21.67,10.27,18.23,15.49,16.35,15.15,14.15,14.58,36.70,17.87,10.19,15.09,18.96,13.91,22.98,18.18,13.20,21.05,18.06,17.34,17.82,21.01,15.89,18.82,18.23,18.01,18.57,14.12,14.73,15.81,23.85,18.80,15.70,13.98,18.18,21.79,17.55,18.23,15.82,8.19,15.67,15.04,11.97,13.86,12.98,16.73,20.91,9.53,17.84,16.03,22.04,12.39,12.55,11.97,16.51,18.67,33.56,39.17,37.66,15.64,11.63,14.18,21.54,22.89,20.19,11.26,39.42,19.33,15.80,22.98,13.90,14.47,11.63,12.94,22.53,17.49,25.17,14.43,9.57,13.75,21.21,17.68,16.05,19.85,11.63,22.10,13.88,13.09,18.13,19.76,16.94,15.32,19.22,17.80,13.04,14.71,15.30,12.96,24.92,21.10,15.63,17.42,14.28,16.97,16.87,14.84,14.65,14.00,13.20,17.70,9.65,23.89,15.42,17.87,16.03,37.66,20.87,17.21,22.98,19.00,33.56,15.04,16.96,21.27,19.08,22.98,18.01,23.02,13.93,15.32,16.07,17.41,14.77,16.31,20.71,16.18,24.76,13.82,18.28,22.79,14.01,19.21,14.90,12.98,12.95,21.84,21.84,15.87,12.60,15.48,21.89,21.41,13.71,15.66,15.72,24.10,24.28,18.13,12.65,33.56,14.84,12.90,23.06,11.09,20.28,25.07,16.92,14.52,16.84,13.81,11.96,17.32,15.35,16.27,14.90,11.71,15.68,19.76,16.04,13.33,16.09,14.50,14.41,14.19,15.62,37.66,17.44,16.69,12.90,13.93,12.79,14.14,16.88,14.93,14.18,14.91,23.09,16.33,12.38,15.91,21.92,22.52,15.57,25.50,15.82,14.15,14.74,16.07,19.85,17.07,15.29,22.73,20.62,15.52,19.70
0.25,4,8.26,8.32,8.52,8.94,9.04,9.19,9.56,10.67,10.70,11.38,11.40,12.49,12.55,12.84,12.90,14.16,14.22,14.52,14.17,17.33,20.69,12.79,24.33,14.60,24.28,16.66,28.24,16.50,17.60,22.00,10.45,18.73,15.76,16.64,15.39,14.42,14.85,36.80,18.21,10.40,15.32,19.28,14.18,23.26,18.49,13.45,21.49,18.38,17.60,18.12,21.30,16.17,19.17,18.73,18.28,18.87,14.40,14.91,16.10,24.60,19.13,15.98,14.24,18.48,22.13,17.91,18.73,16.04,8.38,15.84,15.32,12.16,14.16,13.25,16.96,21.24,9.73,18.11,16.30,22.36,12.58,12.87,12.16,16.88,19.33,33.82,39.43,37.85,15.94,11.81,14.45,21.89,23.15,20.48,11.53,39.76,19.64,16.11,23.26,14.27,14.67,11.81,13.22,22.89,17.77,25.39,14.75,9.77,14.05,21.40,17.96,16.25,20.14,11.81,22.33,14.06,13.35,18.34,19.95,17.25,15.56,19.52,18.06,13.38,15.02,15.70,13.26,25.26,21.36,15.87,17.75,14.60,17.36,17.12,15.11,14.83,14.27,13.48,17.98,9.85,24.08,15.62,18.16,16.30,37.85,21.29,17.45,23.26,19.30,33.82,15.30,17.27,21.66,19.34,23.26,18.32,23.35,14.19,15.61,16.35,17.71,15.04,16.56,20.98,16.43,25.13,14.12,18.80,23.09,14.32,19.43,15.10,13.23,13.34,22.27,22.27,16.10,12.89,15.80,22.25,21.83,13.96,15.90,15.91,24.42,24.85,18.34,12.85,33.82,15.21,13.12,23.37,11.28,20.52,25.30,17.17,14.76,17.43,14.06,12.14,17.57,15.63,16.50,15.10,11.92,15.97,19.95,16.30,13.62,16.47,14.81,14.69,14.65,15.91,37.85,17.71,16.95,13.29,14.20,13.13,14.40,17.57,15.15,14.47,15.61,23.37,16.60,12.58,16.17,22.27,22.88,15.81,25.84,16.10,14.60,15.03,16.67,20.24,17.78,15.57,22.94,20.90,15.79,20.02
0.31,5,8.41,8.48,8.69,9.10,9.20,9.35,9.71,10.81,10.86,11.53,11.56,12.63,12.71,12.98,13.06,14.30,14.38,14.68,14.33,17.49,20.88,13.02,24.70,15.04,24.61,16.91,28.56,16.79,17.86,22.33,10.63,19.21,16.03,16.92,15.62,14.67,15.11,36.90,18.53,10.60,15.55,19.59,14.45,23.54,18.78,13.70,21.93,18.69,17.85,18.41,21.59,16.44,19.52,19.21,18.54,19.15,14.67,15.08,16.39,25.34,19.45,16.25,14.49,18.77,22.46,18.27,19.21,16.25,8.57,16.00,15.59,12.33,14.46,13.51,17.19,21.57,9.92,18.37,16.55,22.66,12.77,13.18,12.35,17.24,19.99,34.07,39.68,38.02,16.22,11.98,14.71,22.24,23.39,20.77,11.80,40.09,19.95,16.40,23.54,14.62,14.86,11.98,13.50,23.23,18.04,25.59,15.06,9.96,14.34,21.58,18.24,16.45,20.41,11.98,22.55,14.24,13.61,18.53,20.14,17.54,15.79,19.80,18.31,13.71,15.31,16.09,13.54,25.59,21.62,16.09,18.07,14.91,17.75,17.35,15.37,14.99,14.53,13.74,18.26,10.03,24.25,15.80,18.43,16.55,38.02,21.69,17.68,23.54,19.59,34.07,15.56,17.56,22.03,19.59,23.54,18.61,23.68,14.44,15.89,16.61,18.00,15.30,16.81,21.25,16.67,25.49,14.42,19.31,23.38,14.62,19.64,15.29,13.46,13.73,22.69,22.69,16.33,13.16,16.11,22.60,22.25,14.20,16.13,16.08,24.72,25.42,18.53,13.03,34.07,15.57,13.33,23.68,11.46,20.75,25.53,17.41,15.00,18.01,14.31,12.31,17.82,15.89,16.72,15.29,12.12,16.25,20.14,16.54,13.91,16.84,15.11,14.95,15.10,16.19,38.02,17.97,17.20,13.66,14.46,13.46,14.66,18.25,15.35,14.75,16.30,23.63,16.85,12.77,16.42,22.61,23.23,16.04,26.17,16.37,15.04,15.31,17.26,20.62,18.49,15.84,23.14,21.16,16.06,20.32
0.38,6,8.56,8.66,8.86,9.27,9.37,9.52,9.86,10.96,11.03,11.68,11.73,12.78,12.88,13.14,13.23,14.45,14.55,14.85,14.50,17.66,21.09,13.26,25.09,15.49,24.95,17.17,28.89,17.10,18.12,22.67,10.81,19.70,16.31,17.21,15.86,14.93,15.38,37.00,18.87,10.81,15.78,19.92,14.73,23.83,19.08,13.96,22.37,19.01,18.11,18.71,21.88,16.71,19.87,19.70,18.82,19.45,14.95,15.26,16.68,26.09,19.78,16.53,14.76,19.08,22.80,18.63,19.70,16.48,8.76,16.18,15.88,12.52,14.76,13.78,17.42,21.90,10.11,18.64,16.82,22.97,12.97,13.49,12.55,17.61,20.66,34.33,39.94,38.20,16.52,12.17,14.98,22.59,23.65,21.06,12.08,40.43,20.26,16.70,23.83,14.99,15.06,12.17,13.78,23.59,18.32,25.81,15.37,10.16,14.64,21.76,18.53,16.65,20.69,12.17,22.78,14.42,13.87,18.73,20.33,17.85,16.03,20.10,18.57,14.05,15.62,16.50,13.83,25.93,21.88,16.32,18.40,15.23,18.15,17.60,15.64,15.17,14.79,14.02,18.54,10.23,24.43,16.00,18.72,16.82,38.20,22.10,17.92,23.83,19.89,34.33,15.82,17.87,22.42,19.86,23.83,18.91,24.01,14.70,16.18,16.88,18.30,15.57,17.06,21.52,16.92,25.86,14.72,19.82,23.67,14.93,19.85,15.49,13.71,14.12,23.11,23.11,16.56,13.44,16.43,22.97,22.68,14.46,16.38,16.27,25.04,26.00,18.73,13.23,34.33,15.94,13.55,24.00,11.64,20.99,25.76,17.66,15.24,18.61,14.57,12.50,18.07,16.17,16.94,15.49,12.33,16.53,20.33,16.80,14.21,17.21,15.43,15.23,15.56,16.49,38.20,18.24,17.46,14.05,14.72,13.79,14.93,18.95,15.57,15.03,17.00,23.90,17.11,12.97,16.68,22.96,23.59,16.28,26.51,16.66,15.48,15.59,17.87,21.01,19.21,16.12,23.35,21.44,16.33,20.63
0.44,7,8.70,8.82,9.02,9.43,9.53,9.68,10.01,11.11,11.19,11.83,11.89,12.93,13.04,13.28,13.39,14.60,14.71,15.01,14.66,17.82,21.29,13.48,25.47,15.93,25.29,17.41,29.20,17.39,18.37,22.99,10.99,20.18,16.58,17.49,16.09,15.18,15.64,37.10,19.20,11.02,16.01,20.23,15.00,24.11,19.37,14.20,22.81,19.31,18.36,19.00,22.16,16.98,20.22,20.18,19.08,19.73,15.22,15.43,16.97,26.84,20.11,16.80,15.01,19.37,23.13,18.98,20.18,16.69,8.94,16.34,16.15,12.69,15.06,14.04,17.64,22.22,10.30,18.91,17.08,23.27,13.16,13.80,12.73,17.97,21.31,34.58,40.19,38.37,16.81,12.34,15.23,22.93,23.90,21.34,12.35,40.76,20.56,16.99,24.11,15.34,15.25,12.34,14.06,23.94,18.59,26.01,15.68,10.35,14.93,21.94,18.80,16.84,20.96,12.34,23.00,14.60,14.12,18.92,20.52,18.15,16.26,20.39,18.82,14.38,15.91,16.89,14.12,26.26,22.14,16.55,18.72,15.54,18.53,17.83,15.90,15.34,15.05,14.29,18.81,10.42,24.61,16.19,18.99,17.08,38.37,22.50,18.15,24.11,20.17,34.58,16.08,18.16,22.79,20.11,24.11,19.21,24.34,14.94,16.46,17.15,18.59,15.83,17.31,21.79,17.16,26.22,15.01,20.33,23.96,15.23,20.06,15.68,13.94,14.51,23.53,23.53,16.78,13.71,16.75,23.32,23.09,14.70,16.61,16.44,25.34,26.57,18.92,13.41,34.58,16.30,13.76,24.30,11.82,21.22,25.99,17.91,15.47,19.19,14.81,12.67,18.32,16.43,17.16,15.68,12.53,16.81,20.52,17.05,14.49,17.58,15.73,15.50,16.01,16.77,38.37,18.50,17.71,14.42,14.98,14.12,15.19,19.63,15.78,15.31,17.69,24.17,17.37,13.15,16.93,23.29,23.94,16.51,26.84,16.93,15.92,15.87,18.46,21.39,19.92,16.39,23.54,21.70,16.59,20.93
0.50,8,8.86,8.99,9.19,9.60,9.70,9.85,10.16,11.26,11.36,11.98,12.06,13.08,13.21,13.43,13.56,14.75,14.88,15.18,14.83,17.99,21.50,13.72,25.85,16.38,25.63,17.67,29.53,17.69,18.63,23.33,11.17,20.68,16.85,17.78,16.33,15.44,15.90,37.21,19.53,11.23,16.24,20.55,15.28,24.40,19.67,14.46,23.26,19.63,18.62,19.30,22.46,17.26,20.57,20.68,19.35,20.03,15.50,15.61,17.27,27.59,20.44,17.08,15.28,19.67,23.47,19.35,20.68,16.92,9.14,16.52,16.43,12.88,15.36,14.31,17.88,22.55,10.50,19.18,17.35,23.58,13.36,14.12,12.93,18.34,21.98,34.85,40.45,38.56,17.10,12.53,15.50,23.29,24.16,21.64,12.63,41.11,20.88,17.29,24.40,15.71,15.45,12.53,14.34,24.29,18.87,26.23,16.00,10.55,15.23,22.13,19.09,17.05,21.24,12.53,23.23,14.78,14.38,19.13,20.72,18.46,16.50,20.69,19.09,14.72,16.22,17.29,14.41,26.60,22.41,16.78,19.06,15.86,18.93,18.08,16.17,15.52,15.32,14.57,19.09,10.61,24.79,16.38,19.28,17.35,38.56,22.91,18.39,24.40,20.47,34.85,16.34,18.47,23.18,20.37,24.40,19.51,24.67,15.20,16.75,17.42,18.89,16.10,17.56,22.06,17.40,26.59,15.31,20.84,24.26,15.54,20.27,15.88,14.19,14.90,23.96,23.96,17.02,13.99,17.07,23.69,23.52,14.96,16.85,16.63,25.66,27.14,19.13,13.61,34.85,16.67,13.98,24.62,12.01,21.46,26.23,18.16,15.71,19.78,15.07,12.85,18.57,16.71,17.38,15.88,12.74,17.10,20.72,17.31,14.79,17.95,16.04,15.78,16.47,17.06,38.56,18.76,17.97,14.81,15.25,14.46,15.46,20.32,15.99,15.59,18.39,24.44,17.63,13.35,17.19,23.64,24.31,16.75,27.19,17.21,16.37,16.16,19.06,21.78,20.64,16.67,23.75,21.98,16.86,21.24
0.56,9,9.00,9.15,9.35,9.76,9.86,10.01,10.31,11.41,11.52,12.13,12.22,13.23,13.37,13.58,13.72,14.90,15.04,15.34,14.99,18.15,21.69,13.94,26.23,16.82,25.96,17.92,29.85,17.98,18.88,23.66,11.35,21.16,17.12,18.06,16.56,15.69,16.16,37.30,19.86,11.43,16.47,20.86,15.55,24.67,19.96,14.71,23.69,19.94,18.87,19.59,22.74,17.53,20.92,21.16,19.62,20.32,15.77,15.78,17.55,28.33,20.76,17.35,15.53,19.96,23.80,19.70,21.16,17.13,9.32,16.68,16.71,13.05,15.66,14.57,18.10,22.87,10.68,19.44,17.60,23.89,13.54,14.42,13.11,18.70,22.63,35.10,40.70,38.73,17.39,12.70,15.76,23.63,24.41,21.92,12.90,41.44,21.18,17.58,24.67,16.06,15.64,12.70,14.62,24.64,19.14,26.43,16.31,10.74,15.52,22.30,19.36,17.24,21.51,12.70,23.46,14.96,14.64,19.32,20.90,18.75,16.73,20.98,19.34,15.05,16.51,17.68,14.69,26.93,22.66,17.01,19.38,16.18,19.31,18.31,16.43,15.69,15.58,14.84,19.37,10.80,24.96,16.57,19.55,17.60,38.73,23.31,18.62,24.67,20.76,35.10,16.59,18.76,23.55,20.62,24.67,19.80,25.00,15.45,17.03,17.69,19.18,16.36,17.81,22.32,17.64,26.94,15.61,21.35,24.55,15.84,20.48,16.07,14.43,15.28,24.38,24.38,17.24,14.26,17.38,24.04,23.94,15.20,17.08,16.80,25.97,27.71,19.32,13.79,35.10,17.03,14.19,24.92,12.18,21.69,26.45,18.40,15.95,20.36,15.32,13.02,18.82,16.97,17.60,16.07,12.94,17.38,20.90,17.55,15.08,18.32,16.34,16.04,16.91,17.34,38.73,19.02,18.23,15.19,15.51,14.78,15.72,21.00,16.20,15.87,19.08,24.70,17.89,13.54,17.44,23.98,24.66,16.97,27.52,17.49,16.81,16.44,19.66,22.16,21.34,16.94,23.95,22.24,17.13,21.54
0.63,10,9.15,9.31,9.51,9.92,10.03,10.18,10.45,11.55,11.68,12.27,12.38,13.37,13.53,13.72,13.88,15.04,15.20,15.50,15.15,18.31,21.89,14.17,26.61,17.26,26.29,18.17,30.16,18.28,19.14,23.98,11.52,21.64,17.39,18.34,16.79,15.94,16.42,37.40,20.18,11.63,16.69,21.17,15.82,24.95,20.26,14.96,24.13,20.24,19.12,19.88,23.03,17.79,21.26,21.64,19.88,20.60,16.05,15.94,17.84,29.07,21.08,17.62,15.79,20.25,24.14,20.06,21.64,17.34,9.50,16.84,16.98,13.23,15.95,14.83,18.33,23.19,10.87,19.70,17.86,24.19,13.73,14.73,13.30,19.06,23.29,35.35,40.95,38.90,17.68,12.87,16.02,23.98,24.66,22.21,13.17,41.77,21.49,17.87,24.95,16.42,15.83,12.87,14.89,24.99,19.41,26.64,16.61,10.93,15.82,22.48,19.64,17.43,21.78,12.87,23.68,15.13,14.89,19.51,21.09,19.05,16.96,21.27,19.59,15.38,16.81,18.07,14.98,27.26,22.92,17.23,19.70,16.49,19.70,18.54,16.69,15.86,15.84,15.11,19.64,10.98,25.14,16.76,19.83,17.86,38.90,23.71,18.85,24.95,21.05,35.35,16.85,19.05,23.93,20.88,24.95,20.10,25.32,15.70,17.31,17.95,19.47,16.62,18.05,22.59,17.88,27.30,15.90,21.85,24.83,16.15,20.68,16.26,14.66,15.67,24.80,24.80,17.46,14.53,17.69,24.40,24.36,15.44,17.32,16.98,26.27,28.28,19.51,13.98,35.35,17.39,14.40,25.23,12.36,21.92,26.68,18.64,16.18,20.94,15.56,13.19,19.06,17.24,17.82,16.26,13.14,17.66,21.09,17.80,15.36,18.68,16.64,16.31,17.36,17.63,38.90,19.28,18.48,15.56,15.77,15.11,15.98,21.69,16.41,16.14,19.77,24.97,18.14,13.73,17.69,24.32,25.01,17.20,27.85,17.76,17.24,16.72,20.25,22.54,22.05,17.21,24.15,22.51,17.39,21.84
