LBS,OZ,CA-1,CA-2,CA-3,CA-4,CA-5,CA-6,CA-7,CA-8,CA-9,CA-10,CA-11,CA-12,CA-13,CA-14,CA-15,CA-16,CA-17,CA-18,CA-19,CA-20,AU,DE,GB-1,GB-2,GB-3,GB-4,JP,KR,MX,NZ
0.06,1,7.93,7.94,8.14,8.56,8.66,8.81,9.23,10.33,10.31,11.05,11.02,12.15,12.17,12.50,12.52,13.82,13.84,14.14,13.79,16.94,10.03,13.08,6.86,12.90,16.79,17.52,15.38,9.36,7.80,6.19
0.13,2,8.08,8.11,8.31,8.73,8.83,8.98,9.38,10.49,10.49,11.21,11.19,12.31,12.34,12.66,12.69,13.98,14.01,14.31,13.96,17.12,10.38,13.25,7.08,13.13,17.01,17.74,15.49,9.56,7.90,6.51
0.19,3,8.23,8.27,8.47,8.89,8.99,9.14,9.53,10.63,10.65,11.35,11.35,12.45,12.50,12.80,12.85,14.12,14.17,14.47,14.12,17.28,10.72,13.41,7.29,13.34,17.23,17.95,15.59,9.75,7.99,6.82
0.25,4,8.38,8.44,8.65,9.06,9.16,9.31,9.68,10.79,10.82,11.50,11.52,12.61,12.67,12.96,13.02,14.28,14.34,14.64,14.29,17.45,11.07,13.57,7.52,13.56,17.45,18.18,15.70,9.96,8.09,7.14
0.31,5,8.53,8.61,8.81,9.22,9.32,9.47,9.83,10.93,10.98,11.65,11.68,12.75,12.83,13.10,13.18,14.42,14.50,14.80,14.45,17.61,11.41,13.73,7.73,13.78,17.66,18.39,15.80,10.15,8.18,7.45
0.38,6,8.68,8.78,8.98,9.39,9.49,9.64,9.98,11.09,11.15,11.80,11.85,12.91,13.00,13.26,13.35,14.58,14.67,14.97,14.62,17.78,11.76,13.90,7.95,14.00,17.89,18.61,15.91,10.35,8.28,7.77
0.44,7,8.82,8.94,9.14,9.55,9.65,9.80,10.13,11.23,11.31,11.95,12.01,13.05,13.16,13.40,13.51,14.72,14.83,15.13,14.78,17.94,12.10,14.06,8.17,14.21,18.10,18.83,16.01,10.55,8.37,8.08
0.50,8,8.98,9.11,9.31,9.72,9.82,9.98,10.28,11.38,11.48,12.10,12.18,13.20,13.33,13.56,13.68,14.87,15.00,15.30,14.95,18.11,12.44,14.23,8.39,14.44,18.32,19.05,16.12,10.75,8.47,8.40
0.56,9,9.12,9.27,9.47,9.89,9.99,10.14,10.43,11.53,11.64,12.25,12.34,13.35,13.49,13.70,13.84,15.02,15.16,15.46,15.11,18.27,12.78,14.38,8.60,14.65,18.54,19.26,16.23,10.94,8.56,8.71
0.63,10,9.27,9.43,9.63,10.05,10.15,10.30,10.57,11.67,11.80,12.39,12.50,13.49,13.65,13.84,14.00,15.16,15.32,15.62,15.27,18.43,13.12,14.54,8.82,14.86,18.75,19.48,16.33,11.14,8.65,9.03
0.69,11,9.42,9.60,9.80,10.22,10.32,10.47,10.73,11.83,11.97,12.55,12.67,13.65,13.82,14.00,14.17,15.32,15.49,15.79,15.44,18.60,13.47,14.71,9.04,15.09,18.97,19.70,16.44,11.34,8.75,9.35
0.75,12,9.57,9.76,9.96,10.38,10.48,10.63,10.87,11.97,12.13,12.69,12.83,13.79,13.98,14.14,14.33,15.46,15.65,15.95,15.60,18.76,13.81,14.87,9.25,15.30,19.18,19.91,16.54,11.53,8.84,9.66
0.81,13,9.72,9.93,10.13,10.55,10.65,10.80,11.02,12.13,12.30,12.84,13.00,13.95,14.15,14.30,14.50,15.62,15.82,16.12,15.77,18.93,14.16,15.04,9.48,15.52,19.41,20.14,16.65,11.74,8.94,9.98
0.88,14,9.87,10.09,10.29,10.71,10.81,10.96,11.17,12.27,12.46,12.99,13.16,14.09,14.31,14.44,14.67,15.76,15.98,16.29,15.93,19.09,14.50,15.19,9.69,15.74,19.62,20.35,16.75,11.93,9.03,10.29
0.94,15,10.02,10.26,10.46,10.88,10.98,11.13,11.32,12.43,12.63,13.14,13.33,14.25,14.48,14.60,14.84,15.92,16.15,16.46,16.10,19.26,14.84,15.36,9.91,15.96,19.84,20.57,16.86,12.13,9.13,10.61
1.00,16,10.25,10.51,10.71,11.13,11.23,11.38,11.56,12.66,12.88,13.38,13.58,14.48,14.73,14.83,15.08,16.15,16.40,16.70,16.35,19.51,15.54,15.61,10.49,16.53,20.42,21.15,17.33,12.69,9.30,11.28
1.06,17,10.40,10.67,10.87,11.29,11.39,11.54,11.70,12.80,13.04,13.52,13.74,14.62,14.89,14.97,15.24,16.29,16.56,16.86,16.51,19.67,15.88,15.77,10.70,16.75,20.63,21.36,20.07,12.88,9.39,11.59
1.13,18,10.55,10.84,11.04,11.46,11.56,11.71,11.85,12.96,13.21,13.67,13.91,14.78,15.06,15.13,15.41,16.45,16.73,17.03,16.68,19.84,16.23,15.93,10.92,16.97,20.86,21.58,20.18,13.08,11.29,11.91
1.19,19,10.70,11.00,11.20,11.62,11.72,11.87,12.00,13.10,13.37,13.82,14.07,14.92,15.22,15.27,15.57,16.59,16.89,17.19,16.84,20.00,16.57,16.09,11.14,17.18,21.07,21.80,20.28,13.28,11.38,12.22
1.25,20,10.85,11.17,11.37,11.79,11.89,12.04,12.15,13.26,13.54,13.97,14.24,15.08,15.39,15.43,15.75,16.75,17.06,17.36,17.01,20.17,16.92,16.26,11.36,17.41,21.29,22.02,20.39,13.48,11.48,12.54
1.31,21,11.00,11.33,11.53,11.95,12.05,12.20,12.30,13.40,13.70,14.12,14.40,15.22,15.55,15.57,15.91,16.89,17.22,17.53,17.17,20.33,17.26,16.42,11.57,17.62,21.50,22.23,20.49,13.67,11.57,12.86
1.38,22,11.15,11.50,11.70,12.12,12.22,12.37,12.45,13.55,13.87,14.27,14.57,15.37,15.73,15.73,16.08,17.04,17.40,17.70,17.35,20.50,17.61,16.59,11.80,17.84,21.73,22.46,20.60,13.88,11.67,13.18
1.44,23,11.29,11.66,11.86,12.28,12.38,12.53,12.60,13.70,14.03,14.42,14.73,15.52,15.89,15.87,16.24,17.19,17.56,17.86,17.51,20.66,17.94,16.74,12.01,18.06,21.94,22.67,20.70,14.07,11.76,13.49
1.50,24,11.44,11.82,12.02,12.44,12.54,12.69,12.74,13.84,14.19,14.56,14.89,15.66,16.05,16.01,16.40,17.33,17.72,18.02,17.67,20.82,18.28,16.90,12.22,18.27,22.15,22.88,20.81,14.26,11.85,13.80
1.56,25,11.59,11.99,12.19,12.61,12.71,12.86,12.90,14.00,14.36,14.72,15.06,15.82,16.22,16.17,16.57,17.49,17.89,18.19,17.84,20.99,18.63,17.07,12.45,18.49,22.38,23.11,20.92,14.47,11.95,14.12
1.63,26,11.74,12.15,12.35,12.77,12.87,13.02,13.04,14.14,14.52,14.86,15.22,15.96,16.38,16.31,16.73,17.63,18.05,18.35,18.00,21.15,18.97,17.23,12.66,18.71,22.59,23.32,21.02,14.66,12.04,14.43
1.69,27,11.89,12.32,12.52,12.94,13.04,13.19,13.20,14.30,14.69,15.02,15.40,16.12,16.55,16.47,16.90,17.79,18.22,18.52,18.17,21.32,19.32,17.40,12.88,18.93,22.81,23.54,21.13,14.86,12.14,14.75
1.75,28,12.32,12.77,13.10,13.48,13.54,13.77,13.72,15.94,16.06,16.38,16.66,17.77,18.21,18.35,18.80,20.67,21.12,21.55,19.53,24.01,19.66,17.55,13.10,19.14,23.03,23.76,21.23,15.05,12.23,15.06
1.81,29,12.48,12.94,13.27,13.66,13.71,13.94,13.88,16.10,16.23,16.53,16.83,17.92,18.38,18.50,18.97,20.83,21.29,21.72,19.70,24.18,20.00,17.72,13.32,19.37,23.25,23.98,21.34,15.26,12.33,15.38
1.88,30,12.62,13.10,13.43,13.82,13.87,14.10,14.02,16.24,16.39,16.68,16.99,18.06,18.54,18.65,19.13,20.97,21.45,21.88,19.86,24.34,20.34,17.88,13.53,19.58,23.46,24.19,21.44,15.45,12.42,15.69
