LBS,OZ,CA-1,CA-2,CA-3,CA-4,CA-5,CA-6,CA-7,CA-8,CA-9,CA-10,CA-11,CA-12,CA-13,CA-14,CA-15,CA-16,CA-17,CA-18,CA-19,CA-20
0.06,1,9.37,10.98,10.98,10.98,10.98,10.98,12.42,13.02,13.02,13.02,18.48,20.24,24.24,24.24,18.94,20.91,24.86,25.55,18.94,18.94
0.13,2,9.53,11.15,11.15,11.15,11.15,11.15,12.59,13.18,13.18,13.18,18.65,20.40,24.41,24.41,19.10,21.07,25.02,25.71,19.10,19.10
0.19,3,9.68,11.30,11.30,11.30,11.30,11.30,12.74,13.34,13.34,13.34,18.80,20.56,24.56,24.56,19.26,21.23,25.18,25.87,19.26,19.26
0.25,4,9.85,11.47,11.47,11.47,11.47,11.47,12.91,13.50,13.50,13.50,18.97,20.72,24.73,24.73,19.42,21.39,25.34,26.03,19.42,19.42
0.31,5,10.00,11.62,11.62,11.62,11.62,11.62,13.06,13.65,13.65,13.65,19.12,20.88,24.88,24.88,19.57,21.55,25.49,26.18,19.57,19.57
0.38,6,10.17,11.79,11.79,11.79,11.79,11.79,13.23,13.82,13.82,13.82,19.28,21.04,25.05,25.05,19.74,21.71,25.66,26.35,19.74,19.74
0.44,7,10.32,11.94,11.94,11.94,11.94,11.94,13.38,13.97,13.97,13.97,19.44,21.20,25.20,25.20,19.89,21.87,25.81,26.50,19.89,19.89
0.50,8,10.49,12.10,12.10,12.10,12.10,12.10,13.55,14.14,14.14,14.14,19.60,21.36,25.37,25.37,20.06,22.03,25.98,26.67,20.06,20.06
0.56,9,10.64,12.26,12.26,12.26,12.26,12.26,13.70,14.29,14.29,14.29,19.76,21.51,25.52,25.52,20.21,22.19,26.13,26.82,20.21,20.21
0.63,10,10.80,12.41,12.41,12.41,12.41,12.41,13.85,14.45,14.45,14.45,19.91,21.67,25.67,25.67,20.37,22.34,26.29,26.98,20.37,20.37
0.69,11,10.96,12.58,12.58,12.58,12.58,12.58,14.02,14.61,14.61,14.61,20.08,21.83,25.84,25.84,20.53,22.50,26.45,27.14,20.53,20.53
0.75,12,11.11,12.73,12.73,12.73,12.73,12.73,14.17,14.77,14.77,14.77,20.23,21.99,25.99,25.99,20.69,22.66,26.61,27.30,20.69,20.69
0.81,13,11.28,12.90,12.90,12.90,12.90,12.90,14.34,14.93,14.93,14.93,20.40,22.15,26.16,26.16,20.85,22.82,26.77,27.46,20.85,20.85
0.88,14,11.43,13.05,13.05,13.05,13.05,13.05,14.49,15.08,15.08,15.08,20.55,22.31,26.31,26.31,21.00,22.98,26.92,27.61,21.00,21.00
0.94,15,11.60,13.22,13.22,13.22,13.22,13.22,14.66,15.25,15.25,15.25,20.71,22.47,26.48,26.48,21.17,23.14,27.09,27.78,21.17,21.17
