LBS,OZ,CA-1,CA-2,CA-3,CA-4,CA-5,CA-6,CA-7,CA-8,CA-9,CA-10,CA-11,CA-12,CA-13,CA-14,CA-15,CA-16,CA-17,CA-18,CA-19,CA-20,AD,AE,AF,AG,AI,AL,AM,AN,AO,AR,AT,AU,AW,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BL,BM,BN,BO,BR,BS,BT,BW,BY,BZ,CC,CD,CF,CG,CH,CI,CK,CL,CM,CN,CO,CR,CV,CX,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,EH,ER,ES,ET,FI,FJ,FK,FM,FO,FR,GA,GB,GD,GE,GF,GH,GI,GL,GM,GN,GP,GQ,GR,GS,GT,GW,GY,HK,HN,HR,HT,HU,ID,IE,IL,IM,IN,IO,IQ,IS,IT,JM,JO,JP,KE,KG,KH,KI,KM,KN,KR,KW,KY,KZ,LA,LB,LC,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MF,MG,MH,MK,ML,MN,MO,MQ,MR,MS,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NF,NG,NI,NL,NO,NP,NR,NU,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PM,PN,PS,PT,PW,PY,QA,RE,RO,RS,RU,RW,SA,SB,SC,SE,SG,SH,SI,SJ,SK,SL,SM,SN,SR,ST,SV,SZ,TC,TD,TF,TG,TH,TJ,TL,TM,TN,TO,TR,TT,TV,TW,TZ,UA,UG,UY,UZ,VA,VC,VE,VG,VN,VU,WF,WS,YE,YT,ZA,ZM,ZW
0.06,1,7.93,7.94,8.14,8.56,8.66,8.81,9.23,10.33,10.31,11.05,11.02,12.15,12.17,12.50,12.52,13.82,13.84,14.14,13.79,16.94,20.26,12.24,23.32,13.43,23.41,18.29,27.45,15.77,16.99,21.18,10.03,17.38,15.09,15.93,17.11,13.79,14.20,36.61,17.37,14.27,14.77,18.48,13.51,22.58,17.74,12.85,20.32,17.62,15.16,17.38,20.57,15.54,18.28,17.38,17.66,18.15,13.73,16.35,15.38,22.53,18.31,15.30,13.64,17.76,21.28,16.97,17.38,15.53,7.02,15.45,14.64,11.81,13.41,12.60,16.42,20.43,9.35,17.45,15.64,21.58,12.19,12.08,11.77,15.94,17.51,33.20,38.86,37.50,16.36,11.47,13.79,20.98,22.54,19.77,10.88,38.94,18.88,15.37,22.58,13.33,15.45,11.47,12.54,21.96,17.10,22.91,13.96,9.36,13.32,20.04,17.27,15.83,19.44,11.47,21.82,13.69,12.73,17.98,19.55,16.48,15.01,18.77,17.44,14.74,14.21,14.66,12.51,24.40,20.72,15.32,16.91,16.11,16.36,16.55,14.45,16.26,13.61,12.80,17.30,9.46,23.72,15.15,17.49,15.64,37.50,20.17,16.93,22.58,18.58,33.20,16.95,16.52,20.65,18.71,22.58,17.60,22.50,13.57,14.90,15.69,16.98,14.41,15.93,20.33,15.84,24.19,13.40,17.38,22.38,13.55,18.98,14.69,12.65,12.33,21.18,21.18,15.55,12.21,15.00,21.32,20.70,13.35,15.39,14.55,23.66,23.31,17.98,12.47,33.20,14.26,12.62,22.60,12.31,19.99,24.91,16.57,13.18,15.76,13.45,11.80,16.97,15.01,15.95,14.69,10.48,15.26,19.55,15.72,12.91,15.52,14.04,12.97,13.44,15.22,37.50,17.09,16.32,14.52,13.53,14.51,13.75,15.68,16.91,13.77,13.67,22.71,15.97,12.19,15.57,21.38,24.20,15.29,24.97,15.42,13.43,14.34,14.96,19.23,15.73,14.92,22.48,20.29,15.14,19.24
0.13,2,8.08,8.11,8.31,8.73,8.83,8.98,9.38,10.49,10.49,11.21,11.19,12.31,12.34,12.66,12.69,13.98,14.01,14.31,13.96,17.12,20.48,12.47,23.70,13.91,23.76,18.54,27.81,16.09,17.27,21.56,10.21,17.87,15.38,16.22,17.39,14.06,14.47,36.72,17.72,14.48,15.00,18.81,13.80,22.90,18.04,13.12,20.78,17.98,15.43,17.68,20.87,15.82,18.66,17.87,17.98,18.46,14.03,16.53,15.69,23.32,18.68,15.60,13.95,18.09,21.64,17.34,17.87,15.78,7.24,15.62,14.94,12.01,13.72,12.88,16.67,20.78,9.56,17.72,15.91,21.90,12.39,12.41,11.98,16.33,18.20,33.48,39.14,37.69,16.69,11.68,14.06,21.33,22.82,20.07,11.15,39.30,19.22,15.68,22.90,13.71,15.66,11.68,12.84,22.32,17.39,23.12,14.29,9.56,13.65,20.24,17.58,16.04,19.72,11.68,22.10,13.90,13.00,18.27,19.75,16.80,15.26,19.07,17.71,15.07,14.49,15.08,12.78,24.75,21.00,15.56,17.25,16.49,16.79,16.81,14.72,16.45,13.89,13.10,17.59,9.66,23.91,15.35,17.82,15.91,37.69,20.56,17.19,22.90,18.90,33.48,17.26,16.84,21.04,18.97,22.90,17.95,22.84,13.83,15.21,15.98,17.29,14.71,16.17,20.62,16.09,24.58,13.74,17.87,22.70,13.88,19.19,14.89,12.90,12.74,21.65,21.65,15.79,12.51,15.34,21.70,21.13,13.61,15.69,14.74,24.02,23.92,18.27,12.69,33.48,14.65,12.84,22.94,12.51,20.24,25.27,16.83,13.46,16.31,13.71,12.00,17.24,15.34,16.18,14.89,10.68,15.57,19.75,16.02,13.24,15.92,14.37,13.25,13.93,15.54,37.69,17.40,16.60,14.88,13.79,14.83,14.02,16.41,17.14,14.06,14.39,23.00,16.25,12.40,15.86,21.73,24.56,15.53,25.32,15.73,13.90,14.66,15.52,19.64,16.41,15.25,22.69,20.64,15.42,19.56
0.19,3,8.23,8.27,8.47,8.89,8.99,9.14,9.53,10.63,10.65,11.35,11.35,12.45,12.50,12.80,12.85,14.12,14.17,14.47,14.12,17.28,20.68,12.70,24.08,14.37,24.09,18.79,28.16,16.41,17.54,21.92,10.39,18.35,15.66,16.49,17.66,14.32,14.73,36.82,18.06,14.68,15.23,19.13,14.08,23.21,18.34,13.39,21.24,18.34,15.68,17.98,21.16,16.10,19.02,18.35,18.29,18.76,14.33,16.70,16.00,24.10,19.03,15.89,14.25,18.42,21.98,17.69,18.35,16.01,7.45,15.79,15.23,12.21,14.02,13.15,16.90,21.13,9.76,17.99,16.17,22.20,12.59,12.73,12.18,16.70,18.88,33.74,39.41,37.87,17.02,11.88,14.32,21.68,23.09,20.36,11.42,39.65,19.55,15.99,23.21,14.07,15.86,11.88,13.14,22.67,17.68,23.33,14.61,9.76,13.97,20.44,17.87,16.23,19.99,11.88,22.36,14.09,13.26,18.56,19.94,17.11,15.50,19.37,17.97,15.38,14.75,15.49,13.04,25.08,21.27,15.79,17.57,16.86,17.21,17.06,14.98,16.62,14.15,13.38,17.88,9.86,24.10,15.55,18.13,16.17,37.87,20.93,17.43,23.21,19.21,33.74,17.55,17.15,21.42,19.22,23.21,18.29,23.17,14.07,15.51,16.26,17.60,15.00,16.40,20.91,16.32,24.95,14.07,18.35,23.02,14.20,19.40,15.08,13.14,13.14,22.12,22.12,16.01,12.80,15.67,22.07,21.55,13.86,15.98,14.92,24.37,24.53,18.56,12.90,33.74,15.02,13.06,23.27,12.71,20.47,25.62,17.08,13.73,16.85,13.96,12.19,17.50,15.66,16.39,15.08,10.87,15.86,19.94,16.31,13.55,16.30,14.68,13.53,14.40,15.86,37.87,17.69,16.86,15.24,14.04,15.13,14.28,17.13,17.35,14.34,15.10,23.28,16.52,12.60,16.15,22.08,24.91,15.76,25.65,16.03,14.37,14.97,16.07,20.04,17.07,15.57,22.90,20.97,15.70,19.88
0.25,4,8.38,8.44,8.65,9.06,9.16,9.31,9.68,10.79,10.82,11.50,11.52,12.61,12.67,12.96,13.02,14.28,14.34,14.64,14.29,17.45,20.90,12.93,24.47,14.84,24.44,19.05,28.53,16.73,17.82,22.30,10.57,18.85,15.95,16.78,17.94,14.59,15.00,36.92,18.42,14.89,15.47,19.46,14.37,23.52,18.65,13.66,21.70,18.70,15.94,18.29,21.46,16.39,19.40,18.85,18.61,19.07,14.63,16.88,16.31,24.88,19.39,16.19,14.56,18.75,22.34,18.06,18.85,16.25,7.66,15.96,15.53,12.41,14.33,13.43,17.15,21.48,9.98,18.26,16.44,22.52,12.80,13.06,12.38,17.09,19.57,34.02,39.69,38.06,17.35,12.09,14.59,22.03,23.37,20.67,11.69,40.01,19.89,16.31,23.52,14.44,16.07,12.09,13.44,23.02,17.98,23.54,14.94,9.96,14.30,20.64,18.18,16.44,20.28,12.09,22.63,14.30,13.54,18.86,20.14,17.43,15.75,19.67,18.24,15.70,15.02,15.91,13.31,25.43,21.55,16.03,17.91,17.24,17.64,17.32,15.25,16.80,14.42,13.68,18.17,10.07,24.29,15.76,18.45,16.44,38.06,21.31,17.69,23.52,19.53,34.02,17.85,17.47,21.81,19.48,23.53,18.64,23.51,14.33,15.81,16.55,17.91,15.30,16.63,21.20,16.57,25.34,14.41,18.85,23.35,14.54,19.62,15.28,13.39,13.55,22.59,22.59,16.24,13.10,16.01,22.45,21.98,14.11,16.29,15.12,24.74,25.14,18.86,13.12,34.02,15.41,13.28,23.60,12.92,20.71,25.98,17.33,14.00,17.39,14.22,12.39,17.76,15.99,16.62,15.28,11.08,16.17,20.14,16.60,13.87,16.70,15.01,13.81,14.89,16.18,38.06,18.00,17.13,15.61,14.30,15.45,14.54,17.86,17.58,14.63,15.81,23.57,16.80,12.81,16.44,22.44,25.27,16.00,26.00,16.34,14.84,15.28,16.63,20.44,17.74,15.90,23.11,21.32,15.98,20.20
0.31,5,8.53,8.61,8.81,9.22,9.32,9.47,9.83,10.93,10.98,11.65,11.68,12.75,12.83,13.10,13.18,14.42,14.50,14.80,14.45,17.61,21.10,13.16,24.84,15.31,24.78,19.30,28.88,17.05,18.10,22.66,10.75,19.33,16.23,17.06,18.21,14.85,15.26,37.02,18.76,15.10,15.69,19.78,14.65,23.83,18.95,13.92,22.15,19.05,16.20,18.59,21.74,16.67,19.77,19.33,18.91,19.37,14.92,17.06,16.61,25.66,19.75,16.48,14.85,19.07,22.69,18.42,19.33,16.48,7.87,16.12,15.82,12.61,14.63,13.71,17.38,21.83,10.18,18.53,16.69,22.83,13.00,13.38,12.58,17.46,20.25,34.29,39.96,38.24,17.67,12.29,14.85,22.38,23.64,20.96,11.96,40.37,20.22,16.62,23.83,14.81,16.27,12.29,13.74,23.37,18.27,23.75,15.26,10.16,14.61,20.83,18.47,16.63,20.55,12.29,22.89,14.50,13.80,19.15,20.33,17.74,15.99,19.96,18.50,16.02,15.28,16.32,13.57,25.76,21.81,16.26,18.24,17.61,18.06,17.57,15.51,16.98,14.68,13.96,18.46,10.26,24.47,15.95,18.76,16.69,38.24,21.69,17.93,23.83,19.84,34.29,18.14,17.78,22.19,19.74,23.83,18.98,23.85,14.58,16.11,16.83,18.22,15.59,16.86,21.48,16.81,25.71,14.74,19.33,23.67,14.86,19.83,15.47,13.63,13.95,23.06,23.06,16.46,13.39,16.34,22.82,22.40,14.36,16.58,15.30,25.09,25.74,19.15,13.33,34.29,15.79,13.49,23.93,13.12,20.95,26.33,17.58,14.27,17.93,14.48,12.58,18.02,16.31,16.84,15.47,11.27,16.46,20.33,16.89,14.19,17.09,15.32,14.08,15.36,16.50,38.24,18.29,17.39,15.97,14.55,15.76,14.80,18.58,17.79,14.91,16.52,23.85,17.07,13.01,16.72,22.79,25.62,16.23,26.34,16.63,15.30,15.59,17.18,20.84,18.41,16.21,23.32,21.65,16.25,20.51
0.38,6,8.68,8.78,8.98,9.39,9.49,9.64,9.98,11.09,11.15,11.80,11.85,12.91,13.00,13.26,13.35,14.58,14.67,14.97,14.62,17.78,21.32,13.40,25.23,15.78,25.13,19.55,29.24,17.37,18.38,23.04,10.93,19.82,16.52,17.35,18.49,15.12,15.53,37.13,19.11,15.31,15.93,20.12,14.94,24.15,19.25,14.20,22.61,19.41,16.46,18.90,22.04,16.96,20.15,19.82,19.23,19.68,15.23,17.24,16.92,26.45,20.11,16.78,15.16,19.40,23.04,18.78,19.82,16.72,8.09,16.30,16.13,12.81,14.94,13.99,17.63,22.19,10.40,18.81,16.96,23.15,13.20,13.71,12.79,17.85,20.94,34.57,40.23,38.43,18.00,12.50,15.12,22.73,23.92,21.26,12.23,40.73,20.57,16.93,24.15,15.18,16.48,12.50,14.04,23.73,18.56,23.96,15.60,10.36,14.94,21.03,18.77,16.84,20.83,12.50,23.16,14.71,14.08,19.45,20.53,18.05,16.24,20.26,18.77,16.34,15.55,16.73,13.84,26.10,22.09,16.50,18.58,17.99,18.49,17.83,15.78,17.16,14.95,14.26,18.76,10.47,24.66,16.16,19.08,16.96,38.43,22.07,18.18,24.15,20.16,34.57,18.44,18.11,22.58,20.00,24.15,19.34,24.19,14.84,16.42,17.12,18.54,15.89,17.10,21.77,17.06,26.10,15.07,19.82,23.99,15.19,20.04,15.67,13.88,14.36,23.53,23.53,16.70,13.69,16.67,23.20,22.83,14.62,16.88,15.49,25.45,26.35,19.45,13.55,34.57,16.17,13.72,24.27,13.33,21.19,26.69,17.84,14.55,18.48,14.74,12.78,18.29,16.64,17.06,15.67,11.48,16.77,20.53,17.19,14.51,17.49,15.65,14.36,15.85,16.83,38.43,18.59,17.67,16.34,14.81,16.07,15.07,19.30,18.01,15.20,17.23,24.14,17.35,13.22,17.02,23.15,25.99,16.47,26.69,16.94,15.77,15.91,17.74,21.24,19.08,16.54,23.54,21.99,16.54,20.83
0.44,7,8.82,8.94,9.14,9.55,9.65,9.80,10.13,11.23,11.31,11.95,12.01,13.05,13.16,13.40,13.51,14.72,14.83,15.13,14.78,17.94,21.52,13.62,25.60,16.24,25.46,19.80,29.59,17.69,18.65,23.40,11.11,20.30,16.79,17.63,18.76,15.37,15.79,37.22,19.45,15.51,16.16,20.44,15.22,24.46,19.55,14.46,23.06,19.76,16.71,19.20,22.33,17.23,20.51,20.30,19.54,19.99,15.52,17.41,17.22,27.23,20.46,17.07,15.46,19.73,23.39,19.14,20.30,16.95,8.30,16.46,16.42,13.00,15.24,14.26,17.86,22.53,10.60,19.07,17.22,23.45,13.40,14.03,12.98,18.22,21.63,34.84,40.50,38.61,18.32,12.70,15.37,23.07,24.18,21.56,12.49,41.08,20.90,17.24,24.46,15.54,16.68,12.70,14.33,24.08,18.85,24.17,15.92,10.56,15.26,21.22,19.07,17.03,21.10,12.70,23.42,14.91,14.34,19.73,20.72,18.36,16.48,20.55,19.02,16.66,15.81,17.14,14.10,26.44,22.36,16.73,18.90,18.35,18.90,18.08,16.04,17.33,15.22,14.55,19.04,10.67,24.84,16.36,19.40,17.22,38.61,22.44,18.43,24.46,20.47,34.84,18.73,18.42,22.95,20.25,24.46,19.68,24.52,15.08,16.71,17.40,18.84,16.18,17.33,22.06,17.30,26.47,15.40,20.30,24.31,15.51,20.25,15.86,14.12,14.76,24.00,24.00,16.92,13.98,17.00,23.58,23.25,14.86,17.18,15.68,25.80,26.96,19.73,13.76,34.84,16.55,13.93,24.60,13.53,21.42,27.03,18.08,14.81,19.01,14.99,12.96,18.54,16.96,17.28,15.86,11.67,17.06,20.72,17.48,14.83,17.88,15.96,14.64,16.32,17.14,38.61,18.89,17.93,16.70,15.06,16.38,15.33,20.02,18.23,15.49,17.94,24.42,17.62,13.42,17.30,23.49,26.34,16.71,27.02,17.24,16.23,16.22,18.28,21.64,19.74,16.86,23.74,22.33,16.81,21.15
0.50,8,8.98,9.11,9.31,9.72,9.82,9.98,10.28,11.38,11.48,12.10,12.18,13.20,13.33,13.56,13.68,14.87,15.00,15.30,14.95,18.11,21.74,13.86,25.99,16.72,25.81,20.06,29.96,18.01,18.93,23.78,11.29,20.80,17.08,17.92,19.04,15.64,16.06,37.33,19.81,15.72,16.39,20.77,15.51,24.77,19.86,14.73,23.52,20.12,16.97,19.50,22.63,17.52,20.89,20.80,19.86,20.30,15.83,17.60,17.53,28.02,20.82,17.37,15.77,20.06,23.75,19.50,20.80,17.19,8.52,16.64,16.72,13.21,15.55,14.54,18.10,22.89,10.81,19.35,17.49,23.77,13.61,14.36,13.19,18.61,22.32,35.11,40.78,38.80,18.66,12.91,15.64,23.43,24.46,21.86,12.77,41.44,21.24,17.56,24.77,15.92,16.90,12.91,14.64,24.43,19.15,24.38,16.25,10.76,15.59,21.42,19.37,17.24,21.38,12.91,23.69,15.12,14.61,20.03,20.92,18.68,16.73,20.86,19.29,16.98,16.08,17.56,14.37,26.78,22.63,16.97,19.24,18.73,19.33,18.34,16.31,17.52,15.49,14.84,19.34,10.88,25.03,16.56,19.72,17.49,38.80,22.83,18.68,24.77,20.79,35.11,19.04,18.74,23.34,20.51,24.78,20.03,24.86,15.34,17.02,17.69,19.16,16.49,17.57,22.35,17.54,26.85,15.74,20.80,24.64,15.84,20.47,16.06,14.38,15.17,24.47,24.47,17.15,14.29,17.34,23.96,23.68,15.12,17.48,15.87,26.16,27.57,20.03,13.98,35.11,16.94,14.16,24.93,13.74,21.67,27.39,18.34,15.09,19.56,15.25,13.16,18.81,17.29,17.50,16.06,11.87,17.37,20.92,17.78,15.15,18.28,16.29,14.92,16.80,17.47,38.80,19.19,18.20,17.07,15.32,16.70,15.60,20.75,18.45,15.78,18.66,24.71,17.90,13.63,17.60,23.85,26.70,16.95,27.37,17.55,16.71,16.54,18.84,22.05,20.42,17.18,23.96,22.67,17.09,21.47
0.56,9,9.12,9.27,9.47,9.89,9.99,10.14,10.43,11.53,11.64,12.25,12.34,13.35,13.49,13.70,13.84,15.02,15.16,15.46,15.11,18.27,21.95,14.08,26.37,17.18,26.15,20.30,30.31,18.33,19.20,24.14,11.47,21.28,17.36,18.20,19.31,15.90,16.32,37.42,20.15,15.92,16.62,21.09,15.79,25.08,20.16,15.00,23.98,20.47,17.23,19.80,22.92,17.80,21.26,21.28,20.17,20.60,16.12,17.77,17.84,28.79,21.18,17.66,16.07,20.38,24.10,19.86,21.28,17.42,8.73,16.80,17.01,13.40,15.85,14.81,18.34,23.23,11.02,19.61,17.74,24.08,13.80,14.67,13.39,18.98,23.00,35.38,41.05,38.98,18.98,13.10,15.90,23.77,24.73,22.15,13.03,41.79,21.57,17.87,25.08,16.28,17.10,13.10,14.93,24.78,19.44,24.59,16.57,10.96,15.91,21.61,19.67,17.43,21.65,13.10,23.95,15.32,14.88,20.32,21.11,18.99,16.97,21.15,19.55,17.29,16.34,17.97,14.63,27.12,22.90,17.20,19.57,19.10,19.75,18.59,16.57,17.69,15.75,15.13,19.63,11.07,25.21,16.76,20.03,17.74,38.98,23.20,18.93,25.08,21.10,35.38,19.33,19.05,23.72,20.76,25.09,20.37,25.19,15.59,17.32,17.97,19.46,16.78,17.80,22.63,17.78,27.23,16.07,21.28,24.96,16.16,20.68,16.25,14.62,15.57,24.94,24.94,17.37,14.58,17.67,24.33,24.10,15.37,17.77,16.05,26.51,28.17,20.32,14.19,35.38,17.31,14.37,25.26,13.94,21.90,27.74,18.59,15.36,20.09,15.51,13.35,19.07,17.61,17.72,16.25,12.07,17.66,21.11,18.06,15.46,18.67,16.60,15.19,17.28,17.78,38.98,19.49,18.46,17.43,15.57,17.01,15.86,21.47,18.67,16.06,19.36,24.99,18.17,13.83,17.88,24.20,27.05,17.18,27.71,17.84,17.17,16.85,19.39,22.44,21.08,17.50,24.16,23.01,17.37,21.78
0.63,10,9.27,9.43,9.63,10.05,10.15,10.30,10.57,11.67,11.80,12.39,12.50,13.49,13.65,13.84,14.00,15.16,15.32,15.62,15.27,18.43,22.15,14.31,26.74,17.65,26.49,20.55,30.66,18.64,19.47,24.51,11.64,21.76,17.64,18.48,19.58,16.16,16.58,37.52,20.49,16.12,16.85,21.41,16.07,25.39,20.45,15.26,24.43,20.82,17.48,20.10,23.20,18.08,21.62,21.76,20.48,20.90,16.41,17.94,18.14,29.57,21.53,17.95,16.36,20.70,24.44,20.21,21.76,17.66,8.94,16.97,17.30,13.60,16.15,15.08,18.57,23.58,11.22,19.88,18.00,24.39,14.00,14.99,13.58,19.36,23.68,35.65,41.32,39.16,19.30,13.30,16.16,24.12,25.00,22.45,13.29,42.14,21.90,18.17,25.39,16.64,17.30,13.30,15.22,25.13,19.72,24.79,16.89,11.15,16.22,21.80,19.96,17.63,21.92,13.30,24.22,15.52,15.14,20.61,21.30,19.30,17.21,21.44,19.81,17.61,16.60,18.38,14.89,27.45,23.17,17.43,19.90,19.47,20.17,18.84,16.83,17.86,16.01,15.41,19.91,11.27,25.39,16.96,20.34,18.00,39.16,23.57,19.17,25.39,21.41,35.65,19.62,19.36,24.10,21.02,25.40,20.71,25.52,15.84,17.61,18.25,19.77,17.07,18.02,22.91,18.02,27.60,16.40,21.76,25.27,16.49,20.88,16.44,14.86,15.97,25.40,25.40,17.59,14.87,17.99,24.70,24.52,15.61,18.07,16.24,26.86,28.78,20.61,14.39,35.65,17.69,14.58,25.59,14.14,22.13,28.09,18.84,15.63,20.63,15.76,13.54,19.32,17.93,17.94,16.44,12.26,17.96,21.30,18.35,15.78,19.06,16.92,15.46,17.75,18.10,39.16,19.78,18.73,17.78,15.82,17.31,16.12,22.19,18.88,16.34,20.07,25.27,18.44,14.03,18.16,24.55,27.41,17.41,28.04,18.14,17.63,17.16,19.94,22.84,21.74,17.82,24.37,23.34,17.64,22.09
