LBS,OZ,CA,AD,AE,AF,AG,AI,AL,AM,AN,AO,AR,AT,AU,AW,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BL,BM,BN,BO,BR,BS,BT,BW,BY,BZ,CC,CD,CF,CG,CH,CI,CK,CL,CM,CN,CO,CR,CV,CX,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,EH,ER,ES,ET,FI,FJ,FK,FM,FO,FR,GA,GB,GD,GE,GF,GH,GI,GL,GM,GN,GP,GQ,GR,GS,GT,GW,GY,HK,HN,HR,HT,HU,ID,IE,IL,IM,IN,IO,IQ,IS,IT,JM,JO,JP,KE,KG,KH,KI,KM,KN,KR,KW,KY,KZ,LA,LB,LC,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MF,MG,MH,MK,ML,MN,MO,MQ,MR,MS,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NF,NG,NI,NL,NO,NP,NR,NU,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PM,PN,PS,PT,PW,PY,QA,RE,RO,RS,RU,RW,SA,SB,SC,SE,SG,SH,SI,SJ,SK,SL,SM,SN,SR,ST,SV,SZ,TC,TD,TF,TG,TH,TJ,TL,TM,TN,TO,TR,TT,TV,TW,TZ,UA,UG,UY,UZ,VA,VC,VE,VG,VN,VU,WF,WS,YE,YT,ZA,ZM,ZW
0.06,1,1.23,1.31,1.02,1.02,1.00,1.00,1.00,1.02,1.00,1.02,1.00,1.30,1.29,1.00,1.02,1.00,1.00,1.02,1.30,1.02,1.00,1.02,1.02,1.02,1.00,1.00,1.00,1.00,1.00,1.00,1.02,1.02,1.00,1.00,1.00,1.02,1.02,1.02,1.30,1.02,1.00,1.00,1.02,1.01,1.00,1.00,1.02,1.00,1.02,1.00,1.38,1.02,1.30,1.00,1.00,1.02,1.00,1.00,1.02,1.02,1.02,1.31,1.02,1.30,1.00,1.00,1.00,1.00,1.35,1.02,1.34,1.00,1.02,1.00,1.02,1.31,1.31,1.02,1.02,1.00,1.02,1.26,1.00,1.00,1.02,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.26,1.26,1.34,1.01,1.01,1.02,1.31,1.40,1.00,1.02,1.38,1.02,1.00,1.00,1.00,1.02,1.00,1.00,1.02,1.00,1.02,1.00,1.02,1.00,1.31,1.02,1.02,1.02,1.00,1.31,1.00,1.02,1.02,1.35,1.02,1.00,1.30,1.02,1.00,1.00,1.02,1.00,1.00,1.00,1.02,1.00,1.02,1.02,1.02,1.02,0.84,1.00,1.02,1.02,1.00,1.02,1.00,1.02,1.00,1.30,1.30,1.00,1.00,1.29,1.29,1.02,1.00,1.00,1.00,1.00,1.01,1.02,1.30,1.00,1.00,1.26,1.26,1.00,1.00,1.02,1.02,1.00,1.00,1.00,1.02,1.02,1.00,1.02,1.30,1.00,1.00,1.26,1.30,1.00,1.02,1.30,1.02,1.00,1.00,1.00,1.02,1.00,1.02,1.35,1.02,1.01,1.02,1.00,1.00,1.02,1.00,1.00,1.00,1.00,1.01,1.02,1.02,1.02,1.00,1.02,1.31,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.02,1.02,1.01,1.02,1.02
0.13,2,1.67,1.88,1.70,1.70,1.59,1.59,1.60,1.70,1.59,1.70,1.59,1.87,1.90,1.59,1.70,1.60,1.59,1.70,1.87,1.70,1.60,1.70,1.70,1.70,1.59,1.59,1.60,1.59,1.59,1.59,1.70,1.70,1.60,1.59,1.60,1.70,1.70,1.70,1.87,1.70,1.60,1.59,1.70,1.64,1.59,1.59,1.70,1.60,1.70,1.60,1.96,1.70,1.87,1.59,1.59,1.70,1.59,1.60,1.70,1.70,1.70,1.88,1.70,1.87,1.60,1.59,1.60,1.60,1.92,1.70,1.90,1.59,1.70,1.59,1.70,1.88,1.88,1.70,1.70,1.59,1.70,1.83,1.59,1.59,1.70,1.59,1.60,1.59,1.60,1.59,1.60,1.60,1.83,1.83,1.90,1.64,1.64,1.70,1.88,1.97,1.59,1.70,1.98,1.70,1.60,1.60,1.60,1.70,1.59,1.60,1.70,1.59,1.70,1.60,1.70,1.59,1.88,1.70,1.70,1.70,1.60,1.88,1.60,1.70,1.70,1.92,1.70,1.59,1.87,1.70,1.60,1.60,1.70,1.60,1.60,1.59,1.70,1.59,1.70,1.70,1.70,1.70,1.32,1.60,1.70,1.70,1.60,1.70,1.60,1.70,1.59,1.87,1.87,1.60,1.60,1.90,1.90,1.70,1.59,1.59,1.60,1.60,1.64,1.70,1.87,1.59,1.60,1.83,1.83,1.60,1.59,1.70,1.70,1.60,1.60,1.60,1.70,1.70,1.60,1.70,1.87,1.60,1.60,1.83,1.87,1.60,1.70,1.87,1.70,1.59,1.60,1.59,1.70,1.59,1.70,1.92,1.70,1.64,1.70,1.60,1.60,1.70,1.60,1.60,1.59,1.60,1.64,1.70,1.70,1.70,1.59,1.70,1.88,1.59,1.59,1.59,1.60,1.60,1.60,1.60,1.70,1.70,1.64,1.70,1.70
0.19,3,1.95,2.43,2.36,2.36,2.18,2.18,2.19,2.36,2.18,2.36,1.96,2.23,2.27,2.18,2.36,2.19,2.18,2.36,2.23,2.36,2.19,2.36,2.36,2.36,2.18,2.18,2.19,2.18,1.96,2.18,2.36,2.36,2.19,2.18,2.19,2.36,2.36,2.36,2.23,2.36,2.19,2.18,2.36,2.04,2.18,2.18,2.36,2.19,2.36,2.19,2.32,2.36,2.23,2.18,2.18,2.36,2.18,2.19,2.36,2.36,2.36,2.23,2.36,2.23,2.19,2.18,2.19,2.19,2.27,2.36,2.24,2.18,2.36,2.18,2.36,2.43,2.43,2.36,2.36,2.18,2.36,2.19,2.18,2.18,2.36,2.18,1.97,2.18,2.19,2.18,2.19,2.19,2.19,2.19,2.24,2.04,2.04,2.36,2.43,2.33,2.18,2.36,2.35,2.36,2.19,2.19,2.19,2.36,2.18,1.97,2.36,2.18,2.36,2.19,2.36,2.18,2.43,2.36,2.36,2.36,2.19,2.43,2.19,2.36,2.36,2.27,2.36,2.18,2.23,2.36,2.19,2.19,2.36,2.19,2.19,2.18,2.36,2.18,2.36,2.36,2.36,2.36,1.62,2.19,2.36,2.36,2.19,2.36,2.19,2.36,2.18,2.23,2.23,2.19,2.19,2.27,2.27,2.36,2.18,2.18,2.19,2.19,2.04,2.36,2.23,2.18,2.19,2.19,2.19,2.19,2.18,2.36,2.36,2.19,2.19,2.19,2.36,2.36,2.19,2.36,2.23,1.97,2.19,2.19,2.23,2.19,2.36,2.23,2.36,2.18,2.19,2.18,2.36,2.18,2.36,2.27,2.36,2.04,2.36,2.19,2.19,2.36,2.19,2.19,2.18,2.19,2.04,2.36,2.36,2.36,2.18,2.36,2.43,2.18,2.18,2.18,2.19,2.19,2.19,2.19,2.36,2.36,2.04,2.36,2.36
0.25,4,2.36,3.03,3.07,3.07,2.80,2.80,2.82,3.07,2.80,3.07,2.51,2.76,2.83,2.80,3.07,2.82,2.80,3.07,2.76,3.07,2.82,3.07,3.07,3.07,2.80,2.80,2.82,2.80,2.51,2.80,3.07,3.07,2.82,2.80,2.82,3.07,3.07,3.07,2.76,3.07,2.82,2.80,3.07,2.62,2.80,2.80,3.07,2.82,3.07,2.82,2.86,3.07,2.76,2.80,2.80,3.07,2.80,2.82,3.07,3.07,3.07,2.75,3.07,2.76,2.82,2.80,2.82,2.82,2.80,3.07,2.76,2.80,3.07,2.80,3.07,3.03,3.03,3.07,3.07,2.80,3.07,2.73,2.80,2.80,3.07,2.80,2.53,2.80,2.82,2.80,2.82,2.82,2.73,2.73,2.76,2.62,2.62,3.07,3.03,2.86,2.80,3.07,2.90,3.07,2.82,2.82,2.82,3.07,2.80,2.53,3.07,2.80,3.07,2.82,3.07,2.80,3.03,3.07,3.07,3.07,2.82,3.03,2.82,3.07,3.07,2.80,3.07,2.80,2.76,3.07,2.82,2.82,3.07,2.82,2.82,2.80,3.07,2.80,3.07,3.07,3.07,3.07,2.06,2.82,3.07,3.07,2.82,3.07,2.82,3.07,2.80,2.76,2.76,2.82,2.82,2.83,2.83,3.07,2.80,2.80,2.82,2.82,2.62,3.07,2.76,2.80,2.82,2.73,2.73,2.82,2.80,3.07,3.07,2.82,2.82,2.82,3.07,3.07,2.82,3.07,2.76,2.53,2.82,2.73,2.76,2.82,3.07,2.76,3.07,2.80,2.82,2.80,3.07,2.80,3.07,2.80,3.07,2.62,3.07,2.82,2.82,3.07,2.82,2.82,2.80,2.82,2.62,3.07,3.07,3.07,2.80,3.07,3.03,2.80,2.80,2.80,2.82,2.82,2.82,2.82,3.07,3.07,2.62,3.07,3.07
0.31,5,2.74,3.58,3.73,3.73,3.38,3.38,3.40,3.73,3.38,3.73,3.02,3.26,3.35,3.38,3.73,3.40,3.38,3.73,3.26,3.73,3.40,3.73,3.73,3.73,3.38,3.38,3.41,3.38,3.02,3.38,3.73,3.73,3.40,3.38,3.41,3.73,3.73,3.73,3.26,3.73,3.41,3.38,3.73,3.17,3.38,3.38,3.73,3.41,3.73,3.40,3.36,3.73,3.26,3.38,3.38,3.73,3.38,3.40,3.73,3.73,3.73,3.24,3.73,3.26,3.41,3.38,3.41,3.40,3.28,3.73,3.23,3.38,3.73,3.38,3.73,3.58,3.58,3.73,3.73,3.38,3.73,3.22,3.38,3.38,3.73,3.38,3.05,3.38,3.40,3.38,3.40,3.41,3.22,3.22,3.23,3.17,3.17,3.73,3.58,3.36,3.38,3.73,3.42,3.73,3.40,3.41,3.41,3.73,3.38,3.05,3.73,3.38,3.73,3.41,3.73,3.38,3.58,3.73,3.73,3.73,3.40,3.58,3.40,3.73,3.73,3.28,3.73,3.38,3.26,3.73,3.41,3.40,3.73,3.41,3.40,3.38,3.73,3.38,3.73,3.73,3.73,3.73,2.47,3.41,3.73,3.73,3.41,3.73,3.41,3.73,3.38,3.26,3.26,3.41,3.41,3.35,3.35,3.73,3.38,3.38,3.41,3.41,3.17,3.73,3.26,3.38,3.41,3.22,3.22,3.41,3.38,3.73,3.73,3.40,3.40,3.40,3.73,3.73,3.41,3.73,3.26,3.05,3.40,3.22,3.26,3.40,3.73,3.26,3.73,3.38,3.40,3.38,3.73,3.38,3.73,3.28,3.73,3.17,3.73,3.41,3.40,3.73,3.41,3.40,3.38,3.41,3.17,3.73,3.73,3.73,3.38,3.73,3.58,3.38,3.38,3.38,3.41,3.41,3.41,3.41,3.73,3.73,3.17,3.73,3.73
0.38,6,3.13,4.15,4.41,4.41,3.97,3.97,4.00,4.41,3.97,4.41,3.54,3.76,3.88,3.97,4.41,4.00,3.97,4.41,3.76,4.41,4.00,4.41,4.41,4.41,3.97,3.97,4.02,3.97,3.54,3.97,4.41,4.41,4.00,3.97,4.02,4.41,4.41,4.41,3.76,4.41,4.02,3.97,4.41,3.73,3.97,3.97,4.41,4.02,4.41,4.00,3.87,4.41,3.76,3.97,3.97,4.41,3.97,4.00,4.41,4.41,4.41,3.74,4.41,3.76,4.02,3.97,4.02,4.00,3.78,4.41,3.72,3.97,4.41,3.97,4.41,4.15,4.15,4.41,4.41,3.97,4.41,3.73,3.97,3.97,4.41,3.97,3.58,3.97,4.00,3.97,4.00,4.02,3.73,3.73,3.72,3.73,3.73,4.41,4.15,3.87,3.97,4.41,3.95,4.41,4.00,4.02,4.02,4.41,3.97,3.58,4.41,3.97,4.41,4.02,4.41,3.97,4.15,4.41,4.41,4.41,4.00,4.15,4.00,4.41,4.41,3.78,4.41,3.97,3.76,4.41,4.02,4.00,4.41,4.02,4.00,3.97,4.41,3.97,4.41,4.41,4.41,4.41,2.89,4.02,4.41,4.41,4.02,4.41,4.02,4.41,3.97,3.76,3.76,4.02,4.02,3.88,3.88,4.41,3.97,3.97,4.02,4.02,3.73,4.41,3.76,3.97,4.02,3.73,3.73,4.02,3.97,4.41,4.41,4.00,4.00,4.00,4.41,4.41,4.02,4.41,3.76,3.58,4.00,3.73,3.76,4.00,4.41,3.76,4.41,3.97,4.00,3.97,4.41,3.97,4.41,3.78,4.41,3.73,4.41,4.02,4.00,4.41,4.02,4.00,3.97,4.02,3.73,4.41,4.41,4.41,3.97,4.41,4.15,3.97,3.97,3.97,4.02,4.02,4.02,4.02,4.41,4.41,3.73,4.41,4.41
0.44,7,3.51,4.70,5.07,5.07,4.55,4.55,4.59,5.07,4.55,5.07,4.06,4.25,4.41,4.55,5.07,4.59,4.55,5.07,4.25,5.07,4.59,5.07,5.07,5.07,4.55,4.55,4.61,4.55,4.06,4.55,5.07,5.07,4.59,4.55,4.61,5.07,5.07,5.07,4.25,5.07,4.61,4.55,5.07,4.28,4.55,4.55,5.07,4.61,5.07,4.59,4.36,5.07,4.25,4.55,4.55,5.07,4.55,4.59,5.07,5.07,5.07,4.22,5.07,4.25,4.61,4.55,4.61,4.59,4.27,5.07,4.20,4.55,5.07,4.55,5.07,4.70,4.70,5.07,5.07,4.55,5.07,4.22,4.55,4.55,5.07,4.55,4.10,4.55,4.59,4.55,4.59,4.61,4.22,4.22,4.20,4.28,4.28,5.07,4.70,4.36,4.55,5.07,4.46,5.07,4.59,4.61,4.61,5.07,4.55,4.10,5.07,4.55,5.07,4.61,5.07,4.55,4.70,5.07,5.07,5.07,4.59,4.70,4.59,5.07,5.07,4.27,5.07,4.55,4.25,5.07,4.61,4.59,5.07,4.61,4.59,4.55,5.07,4.55,5.07,5.07,5.07,5.07,3.30,4.61,5.07,5.07,4.61,5.07,4.61,5.07,4.55,4.25,4.25,4.61,4.61,4.41,4.41,5.07,4.55,4.55,4.61,4.61,4.28,5.07,4.25,4.55,4.61,4.22,4.22,4.61,4.55,5.07,5.07,4.59,4.59,4.59,5.07,5.07,4.61,5.07,4.25,4.10,4.59,4.22,4.25,4.59,5.07,4.25,5.07,4.55,4.59,4.55,5.07,4.55,5.07,4.27,5.07,4.28,5.07,4.61,4.59,5.07,4.61,4.59,4.55,4.61,4.28,5.07,5.07,5.07,4.55,5.07,4.70,4.55,4.55,4.55,4.61,4.61,4.61,4.61,5.07,5.07,4.28,5.07,5.07
0.50,8,3.79,5.27,5.75,5.75,5.15,5.15,5.19,5.75,5.15,5.75,4.41,4.60,4.76,5.15,5.75,5.19,5.15,5.75,4.60,5.75,5.19,5.75,5.75,5.75,5.15,5.15,5.21,5.15,4.41,5.15,5.75,5.75,5.19,5.15,5.21,5.75,5.75,5.75,4.60,5.75,5.21,5.15,5.75,4.65,5.15,5.15,5.75,5.21,5.75,5.19,4.71,5.75,4.60,5.15,5.15,5.75,5.15,5.19,5.75,5.75,5.75,4.57,5.75,4.60,5.21,5.15,5.21,5.19,4.61,5.75,4.53,5.15,5.75,5.15,5.75,5.27,5.27,5.75,5.75,5.15,5.75,4.57,5.15,5.15,5.75,5.15,4.45,5.15,5.19,5.15,5.19,5.21,4.57,4.57,4.53,4.65,4.65,5.75,5.27,4.71,5.15,5.75,4.83,5.75,5.19,5.21,5.21,5.75,5.15,4.45,5.75,5.15,5.75,5.21,5.75,5.15,5.27,5.75,5.75,5.75,5.19,5.27,5.19,5.75,5.75,4.61,5.75,5.15,4.60,5.75,5.21,5.19,5.75,5.21,5.19,5.15,5.75,5.15,5.75,5.75,5.75,5.75,3.60,5.21,5.75,5.75,5.21,5.75,5.21,5.75,5.15,4.60,4.60,5.21,5.21,4.76,4.76,5.75,5.15,5.15,5.21,5.21,4.65,5.75,4.60,5.15,5.21,4.57,4.57,5.21,5.15,5.75,5.75,5.19,5.19,5.19,5.75,5.75,5.21,5.75,4.60,4.45,5.19,4.57,4.60,5.19,5.75,4.60,5.75,5.15,5.19,5.15,5.75,5.15,5.75,4.61,5.75,4.65,5.75,5.21,5.19,5.75,5.21,5.19,5.15,5.21,4.65,5.75,5.75,5.75,5.15,5.75,5.27,5.15,5.15,5.15,5.21,5.21,5.21,5.21,5.75,5.75,4.65,5.75,5.75
0.56,9,4.15,5.83,6.41,6.41,5.73,5.73,5.78,6.41,5.73,6.41,4.90,5.07,5.26,5.73,6.41,5.78,5.73,6.41,5.07,6.41,5.78,6.41,6.41,6.41,5.73,5.73,5.80,5.73,4.90,5.73,6.41,6.41,5.78,5.73,5.80,6.41,6.41,6.41,5.07,6.41,5.80,5.73,6.41,5.18,5.73,5.73,6.41,5.80,6.41,5.78,5.19,6.41,5.07,5.73,5.73,6.41,5.73,5.78,6.41,6.41,6.41,5.04,6.41,5.07,5.80,5.73,5.80,5.78,5.07,6.41,4.99,5.73,6.41,5.73,6.41,5.83,5.83,6.41,6.41,5.73,6.41,5.04,5.73,5.73,6.41,5.73,4.95,5.73,5.78,5.73,5.78,5.80,5.04,5.04,4.99,5.18,5.18,6.41,5.83,5.18,5.73,6.41,5.32,6.41,5.78,5.80,5.80,6.41,5.73,4.95,6.41,5.73,6.41,5.80,6.41,5.73,5.83,6.41,6.41,6.41,5.78,5.83,5.78,6.41,6.41,5.07,6.41,5.73,5.07,6.41,5.80,5.78,6.41,5.80,5.78,5.73,6.41,5.73,6.41,6.41,6.41,6.41,4.00,5.80,6.41,6.41,5.80,6.41,5.80,6.41,5.73,5.07,5.07,5.80,5.80,5.26,5.26,6.41,5.73,5.73,5.80,5.80,5.18,6.41,5.07,5.73,5.80,5.04,5.04,5.80,5.73,6.41,6.41,5.78,5.78,5.78,6.41,6.41,5.80,6.41,5.07,4.95,5.78,5.04,5.07,5.78,6.41,5.07,6.41,5.73,5.78,5.73,6.41,5.73,6.41,5.07,6.41,5.18,6.41,5.80,5.78,6.41,5.80,5.78,5.73,5.80,5.18,6.41,6.41,6.41,5.73,6.41,5.83,5.73,5.73,5.73,5.80,5.80,5.80,5.80,6.41,6.41,5.18,6.41,6.41
0.63,10,4.51,6.38,7.08,7.08,6.31,6.31,6.37,7.08,6.31,7.08,5.39,5.55,5.76,6.31,7.08,6.37,6.31,7.08,5.55,7.08,6.37,7.08,7.08,7.08,6.31,6.31,6.40,6.31,5.39,6.31,7.08,7.08,6.37,6.31,6.40,7.08,7.08,7.08,5.55,7.08,6.40,6.31,7.08,5.70,6.31,6.31,7.08,6.40,7.08,6.37,5.67,7.08,5.55,6.31,6.31,7.08,6.31,6.37,7.08,7.08,7.08,5.51,7.08,5.55,6.40,6.31,6.40,6.37,5.54,7.08,5.45,6.31,7.08,6.31,7.08,6.38,6.38,7.08,7.08,6.31,7.08,5.52,6.31,6.31,7.08,6.31,5.45,6.31,6.37,6.31,6.37,6.40,5.52,5.52,5.45,5.70,5.70,7.08,6.38,5.66,6.31,7.08,5.82,7.08,6.37,6.40,6.40,7.08,6.31,5.45,7.08,6.31,7.08,6.40,7.08,6.31,6.38,7.08,7.08,7.08,6.37,6.38,6.37,7.08,7.08,5.54,7.08,6.31,5.55,7.08,6.40,6.37,7.08,6.40,6.37,6.31,7.08,6.31,7.08,7.08,7.08,7.08,4.39,6.40,7.08,7.08,6.40,7.08,6.40,7.08,6.31,5.55,5.55,6.40,6.40,5.76,5.76,7.08,6.31,6.31,6.40,6.40,5.70,7.08,5.55,6.31,6.40,5.52,5.52,6.40,6.31,7.08,7.08,6.37,6.37,6.37,7.08,7.08,6.40,7.08,5.55,5.45,6.37,5.52,5.55,6.37,7.08,5.55,7.08,6.31,6.37,6.31,7.08,6.31,7.08,5.54,7.08,5.70,7.08,6.40,6.37,7.08,6.40,6.37,6.31,6.40,5.70,7.08,7.08,7.08,6.31,7.08,6.38,6.31,6.31,6.31,6.40,6.40,6.40,6.40,7.08,7.08,5.70,7.08,7.08
