LBS,OZ,CA,AD,AE,AF,AG,AI,AL,AM,AN,AO,AR,AT,AU,AW,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BL,BM,BN,BO,BR,BS,BT,BW,BY,BZ,CC,CD,CF,CG,CH,CI,CK,CL,CM,CN,CO,CR,CV,CX,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,EH,ER,ES,ET,FI,FJ,FK,FM,FO,FR,GA,GB,GD,GE,GF,GH,GI,GL,GM,GN,GP,GQ,GR,GS,GT,GW,GY,HK,HN,HR,HT,HU,ID,IE,IL,IM,IN,IO,IQ,IS,IT,JM,JO,JP,KE,KG,KH,KI,KM,KN,KR,KW,KY,KZ,LA,LB,LC,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MF,MG,MH,MK,ML,MN,MO,MQ,MR,MS,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NF,NG,NI,NL,NO,NP,NR,NU,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PM,PN,PS,PT,PW,PY,QA,RE,RO,RS,RU,RW,SA,SB,SC,SE,SG,SH,SI,SJ,SK,SL,SM,SN,SR,ST,SV,SZ,TC,TD,TF,TG,TH,TJ,TL,TM,TN,TO,TR,TT,TV,TW,TZ,UA,UG,UY,UZ,VA,VC,VE,VG,VN,VU,WF,WS,YE,YT,ZA,ZM,ZW
0.06,1,1.14,0.66,0.69,0.77,0.70,0.94,0.76,0.76,0.94,0.79,0.70,1.16,1.18,0.94,0.77,0.73,0.94,0.77,1.16,0.77,0.69,0.70,0.79,0.76,1.30,0.94,0.71,0.62,0.73,0.94,0.74,0.74,0.95,0.94,1.23,0.80,0.78,0.78,1.27,0.74,0.79,0.67,0.77,0.70,0.78,0.94,0.78,1.38,1.19,0.68,1.33,0.76,1.16,0.94,0.94,0.74,0.79,0.71,0.70,0.73,0.84,0.97,0.77,1.16,0.79,0.62,0.74,0.71,1.25,0.74,1.09,0.94,0.75,0.94,0.73,0.86,1.20,0.81,0.77,0.94,0.77,1.20,0.72,0.94,0.76,0.94,0.62,0.94,0.71,0.94,0.71,0.79,1.22,1.22,1.09,0.59,0.74,0.73,1.20,1.78,0.94,0.71,1.26,0.76,0.79,0.77,0.83,0.80,0.94,0.61,0.69,0.94,0.77,0.91,0.70,0.94,0.66,0.71,0.76,0.77,0.73,1.15,0.72,0.74,0.73,0.66,0.78,0.73,1.33,0.81,0.69,0.71,0.80,0.82,0.69,0.94,0.82,0.94,0.75,0.73,0.74,0.80,0.64,0.69,0.76,0.78,0.78,0.77,0.66,0.75,0.94,1.25,1.16,0.75,0.68,2.66,2.66,0.71,0.94,0.75,0.78,0.92,0.71,0.48,0.69,1.25,0.66,1.22,1.20,0.68,0.82,0.70,0.73,1.20,0.71,0.78,0.79,0.72,0.78,0.86,1.25,1.00,0.69,0.98,1.25,1.25,0.76,0.68,0.80,0.94,0.76,0.94,0.74,0.73,0.78,1.25,0.77,0.79,0.84,0.81,0.84,0.72,0.80,0.71,0.94,0.84,0.77,0.76,1.23,0.76,0.59,0.81,0.70,0.94,0.78,0.94,0.74,0.88,0.66,0.84,0.77,1.25,0.73,0.79,0.76
0.13,2,1.55,1.13,1.19,1.36,1.22,1.49,1.33,1.34,1.49,1.39,1.22,1.68,1.72,1.49,1.36,1.27,1.49,1.35,1.68,1.36,1.20,1.21,1.40,1.34,1.72,1.49,1.23,1.05,1.28,1.49,1.29,1.29,1.50,1.49,1.64,1.41,1.38,1.37,1.64,1.29,1.39,0.92,1.36,1.22,1.38,1.49,1.37,1.92,1.61,1.18,2.01,1.34,1.68,1.49,1.49,1.29,1.39,1.23,1.22,1.28,1.49,1.31,1.35,1.68,1.39,1.06,1.29,1.24,1.88,1.29,1.25,1.49,1.32,1.49,1.28,1.53,1.71,1.44,1.36,1.49,1.36,1.71,1.26,1.49,1.34,1.49,1.33,1.49,1.23,1.49,1.24,1.40,1.43,1.56,1.25,0.99,1.30,1.27,1.71,3.04,1.49,1.23,1.82,1.34,1.40,1.35,1.48,1.41,1.49,1.03,1.20,1.49,1.36,1.64,1.22,1.49,1.13,1.23,1.34,1.35,1.27,1.43,1.25,1.30,1.28,1.13,1.38,1.28,1.77,1.43,1.19,1.23,1.42,1.45,1.19,1.49,1.45,1.49,1.31,1.28,1.30,1.41,1.09,0.90,1.34,1.37,1.38,1.36,1.14,1.32,1.49,1.62,1.68,1.31,1.18,2.95,2.95,1.24,1.49,1.32,1.38,1.66,1.23,0.77,1.20,1.88,1.14,1.56,1.71,1.18,1.45,1.21,1.27,1.62,1.24,1.38,1.40,1.26,1.38,1.53,1.62,1.33,1.20,1.32,1.62,1.52,1.34,1.18,1.41,1.49,1.34,1.49,1.29,1.28,1.37,1.61,1.35,1.39,1.50,1.43,1.49,1.27,1.42,1.24,1.49,1.49,1.27,1.34,1.66,1.33,1.00,1.44,1.21,1.49,1.37,1.49,1.29,1.58,1.14,1.49,1.36,1.88,1.28,1.40,1.34
0.19,3,1.81,1.59,1.69,1.93,1.73,2.03,1.89,1.91,2.03,1.98,1.73,2.01,2.07,2.03,1.94,1.81,2.03,1.92,2.01,1.93,1.71,1.72,1.99,1.91,2.13,2.03,1.74,1.47,1.82,2.03,1.83,1.83,2.05,2.03,2.04,2.01,1.97,1.95,2.00,1.84,1.98,1.15,1.93,1.73,1.97,2.03,1.95,2.46,2.02,1.67,2.68,1.91,2.01,2.03,2.03,1.83,1.98,1.74,1.30,1.82,2.14,1.64,1.93,2.01,1.98,1.48,1.83,1.75,2.50,1.84,1.40,2.03,1.88,2.03,1.82,2.20,2.21,2.05,1.93,2.03,1.93,2.03,1.79,2.03,1.91,2.03,1.62,2.03,1.75,2.03,1.76,2.00,2.47,1.88,1.40,1.36,1.85,1.81,2.21,2.97,2.03,1.74,2.17,1.91,2.00,1.92,2.12,2.02,2.03,1.45,1.71,2.03,1.93,2.35,1.73,2.03,1.60,1.74,1.91,1.92,1.81,1.69,1.78,1.85,1.82,1.60,1.97,1.81,2.20,2.04,1.68,1.74,2.03,2.07,1.68,2.03,2.07,2.03,1.86,1.81,1.85,2.01,1.09,1.11,1.91,1.95,1.97,1.93,1.61,1.88,2.03,1.99,2.01,1.86,1.67,3.23,3.23,1.75,2.03,1.88,1.97,2.39,1.75,1.05,1.70,2.50,1.61,1.88,2.03,1.67,2.08,1.72,1.80,2.04,1.76,1.97,1.99,1.78,1.96,2.20,1.98,1.66,1.70,1.64,1.98,1.87,1.91,1.67,2.01,2.03,1.91,2.03,1.83,1.81,1.95,1.96,1.92,1.99,2.14,2.04,2.14,1.80,2.03,1.75,2.03,2.13,1.62,1.91,2.08,1.90,1.40,2.06,1.72,2.03,1.96,2.03,1.84,2.27,1.61,2.13,1.94,2.50,1.81,1.99,1.91
0.25,4,2.20,2.10,2.22,2.54,2.28,2.61,2.49,2.52,2.61,2.61,1.50,2.79,2.57,2.61,2.55,2.38,2.61,2.52,1.86,2.55,2.24,2.25,2.62,2.52,2.58,2.61,2.28,1.50,2.35,2.61,2.41,1.95,2.63,2.61,2.47,2.65,2.59,2.57,2.40,2.42,2.61,1.42,2.55,2.27,2.59,2.61,2.57,3.04,2.46,2.20,2.33,2.52,3.75,2.61,2.61,2.41,1.47,2.29,1.71,2.39,2.82,2.01,2.54,2.68,2.61,1.94,2.41,2.30,2.35,2.42,2.26,2.61,2.48,2.61,1.95,2.90,2.30,2.70,2.55,2.61,2.55,2.51,2.35,2.61,2.52,2.61,2.07,2.61,2.30,2.61,2.32,2.64,2.82,2.25,2.26,1.72,2.44,2.38,2.75,3.42,2.61,2.28,2.68,1.95,2.63,2.52,2.80,2.66,2.61,1.90,2.24,2.61,2.55,3.11,2.28,2.61,2.10,2.28,2.52,2.53,2.38,2.14,2.34,2.43,2.39,2.10,2.59,2.39,2.67,2.69,2.21,2.29,2.68,2.73,2.20,2.61,2.73,2.61,2.45,2.39,2.43,2.65,1.28,1.40,2.52,1.95,2.59,2.55,2.11,1.95,2.61,2.38,3.47,2.45,2.20,3.55,3.55,2.30,2.61,2.48,2.59,3.15,2.30,1.36,1.84,2.11,2.11,2.25,2.40,2.20,1.57,2.25,2.37,2.48,2.32,2.59,2.62,2.34,2.58,2.90,2.40,2.01,2.24,2.01,2.37,2.16,2.52,2.11,2.65,2.61,2.52,2.61,2.41,2.38,2.57,2.35,2.52,2.62,2.82,2.69,2.82,2.36,2.68,2.30,2.61,2.80,2.16,1.95,2.53,1.95,1.57,2.71,2.18,2.61,1.47,2.61,2.42,3.00,2.11,2.80,2.55,2.10,2.66,1.95,1.95
0.31,5,2.56,2.57,2.71,3.12,2.79,3.14,3.05,3.09,3.14,3.21,1.81,3.01,3.05,3.14,3.13,2.92,3.14,3.09,2.09,3.12,2.74,2.76,3.22,3.09,2.99,3.14,2.79,1.81,2.82,3.14,2.96,2.38,3.17,3.14,2.87,3.26,3.18,3.16,2.76,2.96,3.20,1.65,3.12,2.78,3.18,3.14,3.15,3.58,2.87,2.69,2.67,3.09,4.33,3.14,3.14,2.95,1.78,2.80,2.07,2.93,3.46,2.34,3.11,3.09,3.21,2.37,2.95,2.82,2.71,2.96,2.59,3.14,3.04,3.14,2.38,3.57,2.82,3.32,3.12,3.14,3.12,2.95,2.88,3.14,3.09,3.14,2.36,3.14,2.82,3.14,2.84,3.24,3.13,2.57,2.59,2.09,2.99,2.92,3.25,3.83,3.14,2.80,3.16,2.38,3.23,3.09,3.44,3.27,3.14,2.31,2.74,3.14,3.12,3.82,2.79,3.14,2.57,2.80,3.09,3.11,2.92,2.38,2.86,2.98,2.93,2.57,3.18,2.92,3.10,3.30,2.70,2.80,3.29,3.35,2.69,3.14,3.35,3.14,3.00,2.92,2.98,3.26,1.44,1.61,3.09,2.38,3.18,3.12,2.58,2.38,3.14,2.74,4.07,3.00,2.69,3.83,3.83,2.82,3.14,3.04,3.18,3.88,2.81,1.64,2.00,2.58,2.58,2.57,2.77,2.69,1.90,2.76,2.90,2.89,2.84,3.17,3.22,2.87,3.17,3.56,2.76,2.34,2.74,2.33,2.73,2.41,3.09,2.58,3.26,3.14,3.09,3.14,2.95,2.92,3.15,2.71,3.09,3.21,3.47,3.30,3.46,2.89,3.29,2.82,3.14,3.44,2.52,2.38,2.95,2.38,1.90,3.33,2.66,3.14,1.77,3.14,2.96,3.69,2.58,3.44,3.13,2.57,2.88,2.38,2.38
0.38,6,2.92,3.04,3.22,3.70,3.31,3.69,3.63,3.67,3.69,3.81,2.14,3.23,3.53,3.69,3.72,3.46,3.69,3.67,2.33,3.71,3.25,3.27,3.83,3.67,3.41,3.69,3.31,2.14,3.30,3.69,3.51,2.82,3.72,3.69,3.28,3.87,3.78,3.75,3.13,3.52,3.80,1.89,3.71,3.29,3.77,3.69,3.74,4.13,3.29,3.19,3.03,3.67,4.93,3.69,3.69,3.50,2.10,3.32,2.45,3.48,4.12,2.68,3.69,3.52,3.81,2.80,3.50,3.34,3.07,3.52,2.94,3.69,3.61,3.69,2.82,4.24,3.34,3.94,3.71,3.69,3.71,3.40,3.42,3.69,3.67,3.69,2.72,3.69,3.34,3.69,3.37,3.85,3.46,2.91,2.94,2.46,3.55,3.46,3.76,4.26,3.69,3.32,3.65,2.82,3.84,3.67,4.09,3.88,3.69,2.74,3.25,3.69,3.71,4.55,3.31,3.69,3.04,3.32,3.67,3.69,3.46,2.63,3.39,3.53,3.48,3.04,3.77,3.47,3.54,3.92,3.20,3.33,3.91,3.98,3.19,3.69,3.99,3.69,3.56,3.47,3.54,3.87,1.74,1.83,3.67,2.82,3.78,3.71,3.06,2.82,3.69,3.12,4.68,3.56,3.19,4.12,4.12,3.35,3.69,3.61,3.78,4.62,3.34,1.93,2.16,3.06,3.06,2.91,3.14,3.19,2.24,3.27,3.44,3.31,3.37,3.77,3.83,3.41,3.76,4.23,3.14,2.67,3.25,2.67,3.10,2.67,3.67,3.06,3.87,3.69,3.67,3.69,3.50,3.47,3.74,3.07,3.67,3.82,4.12,3.92,4.11,3.43,3.90,3.35,3.69,4.10,2.88,2.82,3.38,2.82,2.24,3.96,3.15,3.69,2.09,3.69,3.51,4.38,3.06,4.10,3.72,3.04,3.11,2.82,2.82
0.44,7,3.28,3.51,3.71,4.28,3.82,4.23,4.19,4.24,4.23,4.40,2.45,3.44,4.00,4.23,4.30,4.00,4.23,4.24,2.56,4.29,3.75,3.78,4.42,4.24,3.82,4.23,3.82,2.45,3.78,4.23,4.05,3.25,4.27,4.23,3.68,4.47,4.36,4.33,3.49,4.06,4.40,2.13,4.28,3.80,4.36,4.23,4.32,4.67,3.70,3.68,3.38,4.24,5.51,4.23,4.23,4.04,2.41,3.83,2.82,4.02,4.76,3.01,4.27,3.93,4.40,3.23,4.04,3.86,3.42,4.06,3.27,4.23,4.16,4.23,3.25,4.91,3.86,4.56,4.29,4.23,4.29,3.85,3.95,4.23,4.24,4.23,3.01,4.23,3.85,4.23,3.89,4.45,3.77,3.23,3.27,2.84,4.10,4.00,4.26,4.67,4.23,3.83,4.13,3.25,4.44,4.24,4.73,4.49,4.23,3.15,3.75,4.23,4.28,5.27,3.81,4.23,3.51,3.83,4.24,4.26,4.00,2.87,3.92,4.08,4.02,3.51,4.36,4.01,3.98,4.53,3.69,3.84,4.52,4.60,3.68,4.23,4.61,4.23,4.11,4.01,4.09,4.47,1.90,2.04,4.24,3.25,4.36,4.29,3.53,3.25,4.23,3.48,5.28,4.11,3.67,4.40,4.40,3.86,4.23,4.16,4.36,5.34,3.85,2.21,2.32,3.53,3.53,3.23,3.51,3.68,2.57,3.78,3.98,3.71,3.89,4.36,4.42,3.93,4.35,4.90,3.50,2.99,3.74,3.00,3.46,2.92,4.23,3.53,4.47,4.23,4.24,4.23,4.04,4.00,4.33,3.42,4.25,4.41,4.77,4.53,4.76,3.96,4.51,3.86,4.23,4.74,3.23,3.25,3.80,3.25,2.57,4.57,3.64,4.23,2.39,4.23,4.06,5.07,3.53,4.74,4.29,3.51,3.33,3.25,3.25
0.50,8,3.53,3.98,4.22,4.86,4.34,4.78,4.76,4.82,4.78,5.01,2.78,5.47,4.33,4.78,4.89,4.54,4.78,4.82,2.80,4.87,4.26,4.29,5.03,4.82,4.24,4.78,4.34,2.78,4.11,4.78,4.60,3.69,4.82,4.78,4.09,5.08,4.96,4.93,3.86,4.61,5.00,2.37,4.87,4.32,4.96,4.78,4.92,5.22,4.12,4.18,3.73,4.82,6.10,4.78,4.78,4.60,2.73,4.36,3.19,4.57,5.41,3.35,4.85,4.35,5.00,3.66,4.60,4.38,3.79,4.62,3.62,4.78,4.73,4.78,3.69,5.58,4.38,5.18,4.87,4.78,4.87,4.16,4.48,4.78,4.82,4.78,3.37,4.78,4.38,4.78,4.42,5.06,4.09,3.57,3.62,2.78,4.66,4.54,4.77,6.76,4.78,4.35,4.46,3.69,5.05,4.82,5.38,5.10,4.78,3.58,4.26,4.78,4.87,5.99,4.33,4.78,3.98,4.35,4.82,4.85,4.54,3.12,4.45,4.64,4.57,3.98,4.96,4.55,4.42,5.15,4.19,4.36,5.14,5.23,4.18,4.78,5.24,4.78,4.67,4.55,4.64,5.08,2.11,2.26,4.82,3.69,4.96,4.87,4.00,3.69,4.78,3.85,5.89,4.67,4.17,4.69,4.69,4.39,4.78,4.73,4.96,6.08,4.38,2.50,2.49,4.00,4.00,3.57,3.88,4.18,2.91,4.29,4.52,4.13,4.42,4.96,5.03,4.47,4.95,5.57,3.88,3.33,4.25,3.33,3.83,3.19,4.81,4.00,5.08,4.78,4.82,4.78,4.59,4.55,4.92,3.79,4.83,5.02,5.42,5.15,5.41,4.50,5.13,4.39,4.78,5.39,3.59,3.69,4.23,3.69,2.91,5.20,4.13,4.78,2.71,4.78,4.61,5.77,4.00,5.39,4.88,3.98,3.57,3.69,3.69
0.56,9,3.88,4.45,4.71,5.44,4.85,5.32,5.32,5.39,5.32,5.60,3.09,5.71,4.79,5.32,5.47,5.08,5.32,5.40,3.03,5.45,4.76,4.79,5.62,5.39,4.65,5.32,4.85,3.09,4.57,5.32,5.15,4.12,5.37,5.32,4.48,5.69,5.55,5.51,4.22,5.16,5.59,2.60,5.45,4.82,5.54,5.32,5.50,5.75,4.53,4.67,4.08,5.39,6.68,5.32,5.32,5.14,3.04,4.87,3.56,5.11,6.06,3.67,5.43,4.76,5.60,4.09,5.14,4.90,4.14,5.16,3.95,5.32,5.29,5.32,4.12,6.25,4.90,5.80,5.45,5.32,5.45,4.58,5.01,5.32,5.39,5.32,3.95,5.32,4.89,5.32,4.94,5.66,4.41,3.90,3.95,3.08,5.21,5.08,5.27,7.13,5.32,4.86,4.92,4.12,5.65,5.40,6.02,5.71,5.32,3.99,4.76,5.32,5.45,6.71,4.84,5.32,4.45,4.86,5.39,5.42,5.08,3.36,4.98,5.18,5.11,4.45,5.55,5.09,4.85,5.77,4.69,4.87,5.75,5.86,4.67,5.32,5.87,5.32,5.22,5.09,5.19,5.69,2.30,2.47,5.39,4.12,5.55,5.45,4.47,4.12,5.32,4.21,6.50,5.22,4.66,4.97,4.97,4.90,5.32,5.29,5.55,6.81,4.89,2.79,2.64,4.47,4.47,3.90,4.25,4.67,3.25,4.79,5.05,4.54,4.94,5.54,5.62,4.99,5.53,6.24,4.24,3.65,4.75,3.66,4.19,3.44,5.38,4.47,5.69,5.32,5.39,5.32,5.13,5.08,5.50,4.14,5.40,5.61,6.07,5.77,6.05,5.03,5.74,4.90,5.32,6.03,4.46,4.12,4.65,4.12,3.25,5.82,4.61,5.32,3.02,5.32,5.16,6.46,4.47,6.03,5.46,4.45,3.79,4.12,4.12
0.63,10,4.22,4.91,5.21,6.01,5.36,5.86,5.89,5.95,5.86,6.19,3.41,5.95,5.24,5.86,6.04,5.61,5.86,5.97,3.26,6.03,5.26,5.30,6.22,5.96,5.06,5.86,5.36,3.41,5.02,5.86,5.69,4.54,5.91,5.86,4.88,6.29,6.14,6.09,4.58,5.70,6.18,2.83,6.02,5.33,6.13,5.86,6.08,6.29,4.94,5.16,4.42,5.96,7.27,5.86,5.86,5.68,3.34,5.38,3.93,5.64,6.70,4.00,6.00,5.17,6.19,4.52,5.68,5.41,4.49,5.71,4.28,5.86,5.85,5.86,4.54,6.91,5.41,6.41,6.03,5.86,6.03,5.01,5.54,5.86,5.96,5.86,4.24,5.86,5.41,5.86,5.46,6.26,4.72,4.22,4.28,3.39,5.76,5.61,5.77,7.50,5.86,5.37,5.38,4.54,6.24,5.97,6.66,6.31,5.86,4.40,5.26,5.86,6.02,7.43,5.35,5.86,4.91,5.37,5.96,5.99,5.61,3.60,5.50,5.73,5.64,4.91,6.13,5.63,5.28,6.38,5.18,5.39,6.36,6.48,5.16,5.86,6.49,5.86,5.78,5.63,5.74,6.29,2.45,2.68,5.96,4.54,6.14,6.03,4.94,4.54,5.86,4.57,7.10,5.77,5.15,5.26,5.26,5.42,5.86,5.85,6.14,7.54,5.40,3.07,2.80,4.94,4.94,4.22,4.62,5.16,3.58,5.30,5.58,4.95,5.45,6.13,6.22,5.52,6.12,6.90,4.61,3.97,5.25,3.99,4.55,3.69,5.95,4.94,6.29,5.86,5.96,5.86,5.67,5.62,6.08,4.49,5.97,6.20,6.71,6.38,6.70,5.56,6.35,5.42,5.86,6.67,4.81,4.54,5.07,4.54,3.58,6.44,5.10,5.86,3.32,5.86,5.70,7.15,4.94,6.67,6.03,4.91,4.01,4.54,4.54
