LBS,OZ,CA-1,CA-2,CA-3,CA-4,CA-5,CA-6,CA-7,CA-8,CA-9,CA-10,CA-11,CA-12,CA-13,CA-14,CA-15,CA-16,CA-17,CA-18,CA-19,CA-20,AD,AE,AF,AG,AI,AL,AM,AN,AO,AR,AT,AU,AW,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BL,BM,BN,BO,BR,BS,BT,BW,BY,BZ,CC,CD,CF,CG,CH,CI,CK,CL,CM,CN,CO,CR,CV,CX,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,EH,ER,ES,ET,FI,FJ,FK,FM,FO,FR,GA,GB,GD,GE,GF,GH,GI,GL,GM,GN,GP,GQ,GR,GS,GT,GW,GY,HK,HN,HR,HT,HU,ID,IE,IL,IM,IN,IO,IQ,IS,IT,JM,JO,JP,KE,KG,KH,KI,KM,KN,KR,KW,KY,KZ,LA,LB,LC,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MF,MG,MH,MK,ML,MN,MO,MQ,MR,MS,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NF,NG,NI,NL,NO,NP,NR,NU,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PM,PN,PS,PT,PW,PY,QA,RE,RO,RS,RU,RW,SA,SB,SC,SE,SG,SH,SI,SJ,SK,SL,SM,SN,SR,ST,SV,SZ,TC,TD,TF,TG,TH,TJ,TL,TM,TN,TO,TR,TT,TV,TW,TZ,UA,UG,UY,UZ,VA,VC,VE,VG,VN,VU,WF,WS,YE,YT,ZA,ZM,ZW
0.06,1,7.77,7.77,7.97,8.38,8.48,8.63,8.63,8.63,10.14,10.84,11.99,12.34,13.66,13.96,13.61,14.30,16.30,16.77,16.77,16.77,20.08,12.11,23.19,13.28,23.28,15.90,27.28,15.61,16.84,21.01,9.92,17.27,14.95,15.80,14.69,13.65,14.07,36.49,17.22,9.78,14.64,18.34,13.37,22.42,17.60,12.70,20.18,17.45,16.84,17.24,20.44,15.36,18.13,17.27,17.48,18.00,13.58,14.39,15.24,22.36,18.15,15.15,13.47,17.60,21.13,16.84,17.27,15.39,7.82,15.34,14.49,11.62,13.27,12.46,16.28,20.27,9.16,17.31,15.51,21.44,12.01,11.94,11.59,15.80,17.36,33.05,38.67,37.32,15.07,11.28,13.66,20.85,22.39,19.62,10.72,38.75,18.72,15.22,22.42,13.19,14.09,11.28,12.39,21.83,16.95,24.76,13.82,9.19,13.17,20.86,17.13,15.66,19.31,11.28,21.65,13.53,12.58,17.75,19.38,16.34,14.87,18.64,17.30,12.37,14.12,14.52,12.40,24.27,20.58,15.18,16.77,13.66,16.20,16.41,14.32,14.31,13.48,12.66,17.15,9.28,23.55,15.05,17.33,15.51,37.32,20.07,16.75,22.42,18.42,33.05,14.53,16.38,20.52,18.58,22.42,17.42,22.37,13.44,14.76,15.54,16.83,14.25,15.82,20.18,15.71,24.05,13.24,17.27,22.22,13.40,18.80,14.52,12.51,12.18,21.00,21.00,15.42,12.06,14.86,21.18,20.57,13.22,15.19,15.37,23.49,23.14,17.75,12.28,33.05,14.12,12.48,22.45,10.74,19.82,24.62,16.44,14.06,15.68,13.31,11.62,16.83,14.82,15.84,14.52,11.31,15.12,19.38,15.55,12.76,15.36,13.90,13.87,13.29,15.05,37.32,16.93,16.18,12.15,13.41,12.14,13.62,15.52,14.52,13.63,13.53,22.56,15.83,12.01,15.41,21.24,21.81,15.12,24.83,15.27,13.28,14.18,14.88,19.09,15.65,14.75,22.34,20.09,15.00,19.10
0.13,2,7.88,7.88,8.08,8.50,8.60,8.75,8.75,8.75,10.25,10.95,12.11,12.46,13.78,14.08,13.73,14.41,16.41,16.88,16.88,16.88,20.30,12.35,23.58,13.74,23.63,16.17,27.62,15.93,17.11,21.36,10.11,17.77,15.24,16.10,14.94,13.93,14.35,36.60,17.57,10.01,14.88,18.67,13.66,22.72,17.91,12.97,20.63,17.78,17.11,17.55,20.74,15.65,18.49,17.77,17.77,18.31,13.87,14.58,15.54,23.13,18.49,15.45,13.74,17.91,21.48,17.22,17.77,15.62,8.03,15.52,14.78,11.82,13.58,12.74,16.53,20.61,9.37,17.60,15.79,21.76,12.22,12.27,11.80,16.18,18.03,33.33,38.94,37.51,15.37,11.47,13.94,21.22,22.66,19.93,11.01,39.11,19.04,15.53,22.72,13.57,14.30,11.47,12.69,22.20,17.24,24.99,14.14,9.40,13.48,21.06,17.42,15.88,19.60,11.47,21.90,13.73,12.86,17.96,19.59,16.66,15.12,18.95,17.57,12.73,14.44,14.93,12.70,24.62,20.86,15.43,17.12,13.99,16.60,16.66,14.60,14.50,13.76,12.95,17.45,9.49,23.74,15.26,17.62,15.79,37.51,20.49,17.00,22.72,18.73,33.33,14.81,16.69,20.92,18.85,22.72,17.74,22.71,13.71,15.06,15.83,17.14,14.53,16.08,20.47,15.97,24.43,13.55,17.80,22.53,13.72,19.03,14.73,12.77,12.59,21.44,21.44,15.67,12.35,15.19,21.55,21.01,13.48,15.45,15.57,23.81,23.73,17.96,12.49,33.33,14.50,12.71,22.77,10.94,20.07,24.86,16.70,14.31,16.28,13.58,11.81,17.10,15.11,16.08,14.73,11.53,15.42,19.59,15.81,13.06,15.75,14.22,14.16,13.76,15.36,37.51,17.21,16.46,12.54,13.69,12.49,13.90,16.22,14.75,13.93,14.24,22.85,16.10,12.22,15.68,21.60,22.18,15.37,25.19,15.57,13.73,14.48,15.49,19.49,16.38,15.04,22.56,20.38,15.28,19.42
0.19,3,7.98,7.98,8.18,8.60,8.70,8.85,8.85,8.85,10.36,11.06,12.21,12.56,13.88,14.18,13.83,14.51,16.52,16.99,16.99,16.99,20.51,12.59,23.97,14.19,23.97,16.43,27.95,16.23,17.37,21.70,10.30,18.27,15.52,16.39,15.18,14.19,14.61,36.70,17.90,10.22,15.12,18.99,13.94,23.01,18.22,13.23,21.08,18.10,17.37,17.85,21.04,15.92,18.85,18.27,18.04,18.60,14.15,14.76,15.84,23.88,18.83,15.73,14.01,18.21,21.82,17.58,18.27,15.85,8.22,15.70,15.07,12.00,13.89,13.01,16.76,20.95,9.57,17.87,16.06,22.08,12.42,12.59,12.00,16.55,18.70,33.59,39.20,37.70,15.67,11.66,14.21,21.57,22.92,20.22,11.29,39.45,19.36,15.84,23.01,13.93,14.50,11.66,12.97,22.56,17.52,25.20,14.46,9.60,13.78,21.24,17.71,16.08,19.89,11.66,22.13,13.91,13.12,18.17,19.79,16.97,15.36,19.25,17.83,13.07,14.74,15.33,13.00,24.96,21.13,15.66,17.45,14.31,17.00,16.91,14.87,14.68,14.03,13.23,17.73,9.68,23.93,15.45,17.91,16.06,37.70,20.91,17.24,23.01,19.03,33.59,15.07,17.00,21.30,19.11,23.01,18.04,23.05,13.97,15.35,16.10,17.44,14.80,16.34,20.74,16.22,24.80,13.85,18.32,22.82,14.04,19.25,14.93,13.01,12.98,21.87,21.87,15.90,12.64,15.51,21.92,21.44,13.74,15.69,15.75,24.13,24.31,18.17,12.68,33.59,14.87,12.93,23.09,11.12,20.31,25.10,16.95,14.55,16.87,13.84,11.99,17.35,15.38,16.31,14.93,11.74,15.71,19.79,16.07,13.36,16.13,14.53,14.44,14.22,15.65,37.70,17.47,16.72,12.93,13.96,12.83,14.17,16.91,14.96,14.22,14.94,23.12,16.36,12.42,15.94,21.95,22.55,15.60,25.53,15.85,14.18,14.77,16.10,19.88,17.10,15.32,22.77,20.66,15.55,19.74
0.25,4,8.10,8.10,8.30,8.72,8.82,8.97,8.97,8.97,10.47,11.17,12.32,12.67,13.99,14.29,13.94,14.63,16.63,17.10,17.10,17.10,20.73,12.84,24.37,14.64,24.32,16.70,28.28,16.54,17.65,22.05,10.49,18.77,15.81,16.69,15.43,14.46,14.89,36.80,18.25,10.44,15.36,19.32,14.23,23.31,18.53,13.49,21.53,18.42,17.64,18.16,21.34,16.21,19.21,18.77,18.32,18.91,14.44,14.95,16.15,24.64,19.17,16.02,14.28,18.52,22.17,17.95,18.77,16.08,8.43,15.88,15.36,12.20,14.20,13.29,17.00,21.29,9.77,18.15,16.34,22.40,12.63,12.91,12.20,16.93,19.38,33.86,39.47,37.89,15.98,11.85,14.49,21.93,23.19,20.53,11.58,39.80,19.68,16.15,23.31,14.31,14.71,11.85,13.27,22.93,17.81,25.43,14.79,9.81,14.09,21.44,18.01,16.29,20.18,11.85,22.37,14.11,13.39,18.38,19.99,17.29,15.60,19.56,18.11,13.42,15.06,15.74,13.30,25.31,21.40,15.91,17.79,14.65,17.41,17.16,15.15,14.87,14.31,13.52,18.02,9.89,24.12,15.66,18.20,16.34,37.89,21.33,17.49,23.31,19.34,33.86,15.35,17.31,21.70,19.38,23.31,18.36,23.39,14.23,15.65,16.39,17.75,15.08,16.60,21.03,16.47,25.17,14.16,18.84,23.13,14.36,19.47,15.14,13.27,13.39,22.31,22.31,16.15,12.93,15.84,22.29,21.88,14.00,15.94,15.95,24.46,24.90,18.38,12.89,33.86,15.25,13.16,23.42,11.32,20.56,25.35,17.21,14.81,17.48,14.10,12.18,17.62,15.67,16.54,15.14,11.97,16.01,19.99,16.34,13.67,16.51,14.85,14.73,14.69,15.95,37.89,17.75,16.99,13.33,14.24,13.17,14.45,17.61,15.19,14.51,15.65,23.41,16.64,12.62,16.21,22.31,22.92,15.85,25.88,16.14,14.64,15.07,16.71,20.28,17.83,15.61,22.98,20.94,15.84,20.06
0.31,5,8.20,8.20,8.40,8.82,8.92,9.07,9.07,9.07,10.57,11.27,12.43,12.78,14.10,14.40,14.05,14.73,16.74,17.20,17.20,17.20,20.94,13.07,24.76,15.09,24.66,16.96,28.61,16.85,17.91,22.38,10.68,19.26,16.08,16.98,15.67,14.72,15.16,36.90,18.59,10.65,15.60,19.65,14.51,23.59,18.83,13.75,21.98,18.74,17.90,18.46,21.64,16.49,19.57,19.26,18.60,19.21,14.72,15.13,16.44,25.39,19.50,16.30,14.55,18.83,22.51,18.32,19.26,16.31,8.62,16.06,15.64,12.39,14.51,13.56,17.24,21.62,9.97,18.42,16.61,22.71,12.82,13.23,12.40,17.30,20.04,34.12,39.73,38.07,16.28,12.04,14.76,22.29,23.45,20.82,11.86,40.14,20.00,16.45,23.59,14.67,14.91,12.04,13.55,23.28,18.09,25.65,15.11,10.01,14.39,21.63,18.29,16.50,20.46,12.04,22.60,14.29,13.66,18.58,20.19,17.60,15.84,19.86,18.37,13.76,15.36,16.15,13.59,25.64,21.67,16.14,18.12,14.97,17.80,17.41,15.42,15.05,14.58,13.80,18.31,10.09,24.30,15.86,18.49,16.61,38.07,21.74,17.73,23.59,19.64,34.12,15.61,17.61,22.08,19.65,23.59,18.66,23.73,14.49,15.94,16.66,18.05,15.35,16.86,21.30,16.72,25.54,14.47,19.36,23.43,14.67,19.69,15.34,13.51,13.78,22.74,22.74,16.38,13.21,16.17,22.66,22.30,14.26,16.19,16.13,24.77,25.47,18.58,13.08,34.12,15.62,13.38,23.73,11.51,20.80,25.58,17.47,15.05,18.07,14.36,12.37,17.87,15.94,16.77,15.34,12.18,16.30,20.19,16.60,13.96,16.89,15.17,15.01,15.15,16.25,38.07,18.02,17.25,13.71,14.51,13.51,14.72,18.31,15.41,14.80,16.35,23.68,16.90,12.82,16.47,22.66,23.28,16.09,26.22,16.43,15.09,15.36,17.31,20.67,18.54,15.89,23.19,21.22,16.11,20.37
0.38,6,8.32,8.32,8.52,8.93,9.03,9.18,9.18,9.18,10.69,11.39,12.54,12.89,14.21,14.51,14.16,14.85,16.85,17.32,17.32,17.32,21.15,13.32,25.15,15.55,25.02,17.23,28.95,17.16,18.18,22.73,10.87,19.76,16.37,17.27,15.92,14.99,15.44,37.00,18.93,10.88,15.84,19.98,14.79,23.89,19.14,14.02,22.44,19.07,18.17,18.77,21.94,16.78,19.93,19.76,18.88,19.51,15.01,15.32,16.75,26.16,19.85,16.59,14.82,19.14,22.87,18.69,19.76,16.54,8.82,16.24,15.94,12.58,14.82,13.84,17.48,21.96,10.18,18.71,16.88,23.03,13.03,13.56,12.61,17.67,20.72,34.39,40.00,38.26,16.58,12.23,15.04,22.65,23.72,21.12,12.15,40.50,20.32,16.76,23.89,15.05,15.12,12.23,13.85,23.65,18.38,25.87,15.44,10.22,14.70,21.83,18.59,16.71,20.75,12.23,22.84,14.49,13.93,18.79,20.40,17.91,16.09,20.17,18.64,14.11,15.68,16.56,13.90,25.99,21.95,16.39,18.47,15.30,18.21,17.66,15.70,15.24,14.86,14.09,18.60,10.29,24.50,16.06,18.78,16.88,38.26,22.16,17.98,23.89,19.95,34.39,15.88,17.93,22.48,19.92,23.89,18.98,24.07,14.76,16.24,16.95,18.37,15.63,17.12,21.58,16.98,25.92,14.78,19.88,23.74,14.99,19.91,15.55,13.77,14.18,23.18,23.18,16.62,13.50,16.50,23.03,22.74,14.52,16.44,16.33,25.10,26.06,18.79,13.29,34.39,16.00,13.61,24.06,11.71,21.05,25.83,17.73,15.30,18.67,14.63,12.56,18.14,16.23,17.00,15.55,12.40,16.60,20.40,16.86,14.27,17.27,15.49,15.29,15.62,16.55,38.26,18.30,17.52,14.11,14.79,13.86,15.00,19.01,15.63,15.09,17.06,23.97,17.18,13.03,16.74,23.02,23.65,16.34,26.58,16.72,15.55,15.66,17.93,21.07,19.27,16.18,23.41,21.50,16.39,20.69
0.44,7,8.42,8.42,8.62,9.04,9.14,9.29,9.29,9.29,10.79,11.49,12.64,13.00,14.31,14.62,14.26,14.95,16.95,17.42,17.42,17.42,21.36,13.56,25.54,16.00,25.36,17.49,29.28,17.46,18.44,23.07,11.06,20.26,16.65,17.56,16.16,15.25,15.71,37.10,19.27,11.09,16.08,20.30,15.07,24.18,19.44,14.28,22.88,19.39,18.43,19.07,22.24,17.06,20.29,20.26,19.15,19.81,15.30,15.50,17.04,26.91,20.18,16.87,15.09,19.44,23.21,19.06,20.26,16.77,9.02,16.42,16.22,12.77,15.13,14.11,17.72,22.29,10.37,18.98,17.15,23.35,13.23,13.87,12.80,18.04,21.38,34.66,40.27,38.45,16.88,12.42,15.31,23.01,23.97,21.42,12.43,40.84,20.64,17.06,24.18,15.42,15.32,12.42,14.13,24.01,18.66,26.09,15.75,10.42,15.01,22.01,18.88,16.92,21.03,12.42,23.08,14.67,14.19,19.00,20.59,18.22,16.33,20.47,18.90,14.45,15.99,16.96,14.19,26.33,22.21,16.62,18.80,15.62,18.60,17.90,15.98,15.42,15.13,14.37,18.88,10.49,24.68,16.26,19.07,17.15,38.45,22.57,18.22,24.18,20.25,34.66,16.15,18.23,22.86,20.18,24.18,19.28,24.41,15.02,16.53,17.22,18.67,15.90,17.38,21.86,17.23,26.29,15.08,20.40,24.04,15.30,20.13,15.76,14.02,14.58,23.61,23.61,16.86,13.78,16.82,23.40,23.17,14.78,16.68,16.51,25.42,26.64,19.00,13.49,34.66,16.37,13.83,24.37,11.89,21.29,26.06,17.98,15.54,19.26,14.89,12.74,18.39,16.51,17.23,15.76,12.61,16.89,20.59,17.12,14.57,17.65,15.80,15.57,16.08,16.84,38.45,18.57,17.79,14.50,15.05,14.19,15.27,19.70,15.85,15.38,17.76,24.24,17.44,13.23,17.00,23.37,24.02,16.58,26.92,17.00,15.99,15.95,18.53,21.46,19.99,16.47,23.62,21.78,16.66,21.00
0.50,8,8.53,8.53,8.73,9.15,9.25,9.40,9.40,9.40,10.91,11.61,12.76,13.11,14.43,14.73,14.38,15.06,17.07,17.53,17.53,17.53,21.58,13.80,25.94,16.46,25.71,17.76,29.61,17.78,18.72,23.41,11.26,20.76,16.94,17.86,16.41,15.52,15.99,37.21,19.62,11.31,16.32,20.63,15.36,24.48,19.76,14.55,23.34,19.71,18.70,19.38,22.54,17.34,20.66,20.76,19.44,20.11,15.59,15.69,17.35,27.67,20.52,17.16,15.36,19.75,23.56,19.43,20.76,17.00,9.22,16.60,16.52,12.96,15.45,14.39,17.96,22.63,10.58,19.26,17.43,23.67,13.44,14.20,13.01,18.42,22.06,34.93,40.54,38.64,17.19,12.61,15.59,23.37,24.24,21.72,12.72,41.19,20.96,17.37,24.48,15.79,15.53,12.61,14.43,24.38,18.95,26.31,16.08,10.63,15.32,22.21,19.17,17.13,21.33,12.61,23.32,14.86,14.47,19.21,20.80,18.54,16.58,20.78,19.17,14.81,16.30,17.37,14.49,26.68,22.49,16.87,19.14,15.95,19.01,18.16,16.26,15.61,15.41,14.66,19.18,10.70,24.87,16.47,19.36,17.43,38.64,22.99,18.47,24.48,20.56,34.93,16.42,18.55,23.26,20.45,24.48,19.59,24.76,15.29,16.83,17.51,18.98,16.18,17.64,22.14,17.49,26.67,15.40,20.93,24.34,15.63,20.35,15.97,14.27,14.98,24.05,24.05,17.10,14.07,17.15,23.77,23.61,15.04,16.94,16.71,25.74,27.23,19.21,13.69,34.93,16.75,14.06,24.70,12.09,21.54,26.31,18.24,15.80,19.86,15.15,12.93,18.66,16.79,17.47,15.97,12.83,17.19,20.80,17.39,14.87,18.04,16.12,15.86,16.55,17.14,38.64,18.85,18.06,14.89,15.33,14.54,15.55,20.41,16.08,15.68,18.47,24.52,17.72,13.44,17.27,23.73,24.39,16.83,27.27,17.30,16.45,16.25,19.15,21.86,20.72,16.76,23.83,22.06,16.95,21.32
0.56,9,8.64,8.64,8.84,9.26,9.36,9.51,9.51,9.51,11.01,11.71,12.86,13.21,14.53,14.83,14.48,15.17,17.17,17.64,17.64,17.64,21.79,14.04,26.32,16.91,26.05,18.01,29.94,18.08,18.98,23.75,11.44,21.25,17.22,18.15,16.65,15.78,16.26,37.30,19.95,11.52,16.56,20.96,15.64,24.77,20.06,14.80,23.79,20.03,18.96,19.68,22.84,17.62,21.01,21.25,19.71,20.41,15.87,15.87,17.64,28.42,20.85,17.44,15.63,20.05,23.90,19.80,21.25,17.22,9.41,16.77,16.80,13.15,15.75,14.66,18.20,22.96,10.78,19.53,17.70,23.98,13.64,14.52,13.21,18.79,22.73,35.19,40.80,38.82,17.48,12.79,15.86,23.73,24.50,22.02,12.99,41.53,21.28,17.68,24.77,16.16,15.73,12.79,14.71,24.73,19.23,26.53,16.40,10.84,15.62,22.40,19.46,17.33,21.61,12.79,23.55,15.05,14.73,19.41,21.00,18.85,16.82,21.08,19.43,15.15,16.61,17.78,14.79,27.02,22.76,17.10,19.47,16.27,19.41,18.40,16.53,15.79,15.67,14.94,19.46,10.89,25.06,16.66,19.65,17.70,38.82,23.40,18.71,24.77,20.86,35.19,16.69,18.85,23.65,20.72,24.77,19.90,25.09,15.54,17.12,17.78,19.28,16.45,17.90,22.42,17.74,27.04,15.70,21.44,24.64,15.94,20.57,16.17,14.52,15.38,24.47,24.47,17.34,14.35,17.47,24.14,24.03,15.29,17.18,16.90,26.06,27.80,19.41,13.89,35.19,17.12,14.28,25.02,12.28,21.78,26.54,18.49,16.04,20.45,15.41,13.11,18.91,17.07,17.69,16.17,13.04,17.48,21.00,17.65,15.17,18.41,16.43,16.14,17.01,17.44,38.82,19.12,18.32,15.28,15.60,14.88,15.82,21.10,16.29,15.96,19.17,24.80,17.98,13.63,17.53,24.08,24.75,17.07,27.61,17.58,16.90,16.54,19.75,22.25,21.44,17.04,24.04,22.34,17.22,21.64
0.63,10,8.74,8.74,8.94,9.36,9.46,9.61,9.61,9.61,11.11,11.81,12.97,13.32,14.64,14.94,14.59,15.27,17.28,17.74,17.74,17.74,22.00,14.27,26.71,17.36,26.40,18.27,30.27,18.38,19.24,24.09,11.63,21.75,17.49,18.44,16.89,16.04,16.52,37.40,20.29,11.74,16.80,21.28,15.92,25.06,20.36,15.06,24.23,20.35,19.22,19.98,23.13,17.90,21.37,21.75,19.98,20.71,16.15,16.05,17.94,29.18,21.19,17.72,15.89,20.35,24.24,20.16,21.75,17.45,9.61,16.95,17.08,13.33,16.06,14.94,18.43,23.29,10.97,19.81,17.97,24.29,13.84,14.84,13.41,19.16,23.39,35.45,41.06,39.01,17.78,12.98,16.13,24.08,24.76,22.31,13.27,41.87,21.59,17.98,25.06,16.52,15.93,12.98,15.00,25.09,19.51,26.74,16.72,11.04,15.92,22.59,19.75,17.54,21.89,12.98,23.78,15.23,14.99,19.61,21.19,19.16,17.06,21.38,19.69,15.49,16.91,18.18,15.08,27.36,23.02,17.33,19.80,16.59,19.80,18.65,16.80,15.97,15.94,15.22,19.74,11.09,25.24,16.86,19.93,17.97,39.01,23.82,18.95,25.06,21.15,35.45,16.95,19.16,24.03,20.98,25.06,20.20,25.43,15.80,17.41,18.06,19.58,16.72,18.16,22.69,17.98,27.41,16.00,21.96,24.94,16.25,20.79,16.37,14.77,15.77,24.90,24.90,17.57,14.64,17.80,24.50,24.46,15.55,17.42,17.08,26.38,28.38,19.61,14.08,35.45,17.49,14.50,25.33,12.46,22.03,26.78,18.75,16.28,21.04,15.67,13.30,19.17,17.34,17.92,16.37,13.25,17.76,21.19,17.90,15.47,18.79,16.75,16.41,17.47,17.73,39.01,19.39,18.58,15.67,15.87,15.21,16.09,21.79,16.51,16.25,19.87,25.07,18.25,13.83,17.79,24.43,25.12,17.31,27.95,17.87,17.35,16.82,20.35,22.64,22.16,17.32,24.25,22.61,17.49,21.95
