LBS,OZ,CA-1,CA-2,CA-3,CA-4,CA-5,CA-6,CA-7,CA-8,CA-9,CA-10,CA-11,CA-12,CA-13,CA-14,CA-15,CA-16,CA-17,CA-18,CA-19,CA-20,AU,DE,GB-1,GB-2,GB-3,GB-4,JP,KR,MX,NZ
0.06,1,7.89,7.89,8.09,8.50,8.61,8.76,8.76,8.76,10.26,10.96,12.11,12.46,13.78,14.08,13.73,14.42,16.42,16.89,16.89,16.89,8.81,13.10,6.85,12.90,16.78,17.51,15.38,9.37,7.80,6.18
0.13,2,8.00,8.00,8.20,8.62,8.72,8.87,8.87,8.87,10.37,11.07,12.23,12.58,13.90,14.20,13.85,14.53,16.53,17.00,17.00,17.00,9.14,13.29,7.06,13.11,17.00,17.72,15.49,9.59,7.90,6.49
0.19,3,8.10,8.10,8.31,8.72,8.82,8.97,8.97,8.97,10.48,11.18,12.33,12.68,14.00,14.30,13.95,14.63,16.64,17.11,17.11,17.11,9.46,13.47,7.27,13.31,17.20,17.93,15.59,9.79,7.99,6.79
0.25,4,8.22,8.22,8.42,8.84,8.94,9.09,9.09,9.09,10.59,11.29,12.44,12.79,14.11,14.41,14.06,14.75,16.75,17.22,17.22,17.22,9.80,13.66,7.48,13.53,17.41,18.14,15.70,10.01,8.09,7.11
0.31,5,8.32,8.32,8.52,8.94,9.04,9.19,9.19,9.19,10.69,11.40,12.55,12.90,14.22,14.52,14.17,14.85,16.86,17.32,17.32,17.32,10.12,13.84,7.69,13.73,17.62,18.35,15.80,10.21,8.18,7.41
0.38,6,8.44,8.44,8.64,9.05,9.15,9.31,9.31,9.31,10.81,11.51,12.66,13.01,14.33,14.63,14.28,14.97,16.97,17.44,17.44,17.44,10.45,14.03,7.90,13.95,17.83,18.56,15.91,10.43,8.28,7.72
0.44,7,8.54,8.54,8.74,9.16,9.26,9.41,9.41,9.41,10.91,11.61,12.77,13.12,14.44,14.74,14.39,15.07,17.07,17.54,17.54,17.54,10.77,14.21,8.11,14.15,18.04,18.77,16.01,10.64,8.37,8.02
0.50,8,8.65,8.65,8.85,9.27,9.37,9.52,9.52,9.52,11.03,11.73,12.88,13.23,14.55,14.85,14.50,15.18,17.19,17.66,17.66,17.66,11.10,14.40,8.32,14.37,18.25,18.98,16.12,10.85,8.47,8.34
0.56,9,8.76,8.76,8.96,9.38,9.48,9.63,9.63,9.63,11.13,11.83,12.98,13.33,14.65,14.95,14.60,15.29,17.29,17.76,17.76,17.76,11.42,14.58,8.53,14.57,18.46,19.19,16.23,11.06,8.56,8.64
0.63,10,8.86,8.86,9.06,9.48,9.58,9.73,9.73,9.73,11.23,11.94,13.09,13.44,14.76,15.06,14.71,15.39,17.40,17.86,17.86,17.86,11.74,14.76,8.73,14.78,18.66,19.39,16.33,11.26,8.65,8.94
0.69,11,8.98,8.98,9.18,9.59,9.69,9.84,9.84,9.84,11.35,12.05,13.20,13.55,14.87,15.17,14.82,15.51,17.51,17.98,17.98,17.98,12.08,14.95,8.94,14.99,18.88,19.60,16.44,11.48,8.75,9.25
0.75,12,9.08,9.08,9.28,9.70,9.80,9.95,9.95,9.95,11.45,12.15,13.31,13.66,14.98,15.28,14.92,15.61,17.61,18.08,18.08,18.08,12.40,15.13,9.15,15.20,19.08,19.81,16.54,11.69,8.84,9.55
0.81,13,9.19,9.19,9.39,9.81,9.91,10.06,10.06,10.06,11.57,12.27,13.42,13.77,15.09,15.39,15.04,15.72,17.73,18.20,18.20,18.20,12.73,15.32,9.36,15.41,19.30,20.02,16.65,11.90,8.94,9.87
0.88,14,9.30,9.30,9.50,9.92,10.02,10.17,10.17,10.17,11.67,12.37,13.52,13.87,15.19,15.49,15.14,15.83,17.83,18.30,18.30,18.30,13.05,15.50,9.57,15.61,19.50,20.23,16.75,12.11,9.03,10.17
0.94,15,9.41,9.41,9.61,10.03,10.13,10.28,10.28,10.28,11.78,12.48,13.64,13.99,15.31,15.61,15.26,15.94,17.95,18.41,18.41,18.41,13.38,15.69,9.78,15.83,19.71,20.44,16.86,12.32,9.13,10.48
1.00,16,9.60,9.60,9.80,10.22,10.32,10.47,10.47,10.47,11.97,12.68,13.83,14.18,15.50,15.80,15.45,16.13,18.14,18.60,18.60,18.60,14.06,16.04,10.35,16.40,20.28,21.01,17.33,12.89,9.30,10.87
1.06,17,9.71,9.71,9.91,10.32,10.42,10.58,10.58,10.58,12.08,12.78,13.93,14.28,15.60,15.90,15.55,16.24,18.24,18.71,18.71,18.71,14.39,16.22,10.55,16.60,20.49,21.21,20.07,13.10,9.39,11.17
1.13,18,9.82,9.82,10.02,10.44,10.54,10.69,10.69,10.69,12.19,12.89,14.05,14.40,15.72,16.02,15.67,16.35,18.35,18.82,18.82,18.82,14.72,16.41,10.77,16.81,20.70,21.43,20.18,13.31,11.29,11.48
1.19,19,9.92,9.92,10.13,10.54,10.64,10.79,10.79,10.79,12.30,13.00,14.15,14.50,15.82,16.12,15.77,16.45,18.46,18.93,18.93,18.93,15.04,16.59,10.97,17.02,20.90,21.63,20.28,13.52,11.38,11.79
1.25,20,10.04,10.04,10.24,10.66,10.76,10.91,10.91,10.91,12.41,13.11,14.26,14.61,15.93,16.23,15.88,16.57,18.57,19.04,19.04,19.04,15.37,16.78,11.19,17.23,21.12,21.85,20.39,13.74,11.48,12.10
