LBS,OZ,CA-1,CA-2,CA-3,CA-4,CA-5,CA-6,CA-7,CA-8,CA-9,CA-10,CA-11,CA-12,CA-13,CA-14,CA-15,CA-16,CA-17,CA-18,CA-19,CA-20
0.06,1,9.32,9.32,10.03,10.17,10.40,10.68,10.68,10.68,12.38,12.95,18.43,20.19,24.20,24.89,18.89,20.86,24.81,25.50,25.50,25.50
0.13,2,9.43,9.43,10.14,10.28,10.52,10.80,10.80,10.80,12.49,13.07,18.55,20.31,24.31,25.00,19.00,20.98,24.92,25.62,25.62,25.62
0.19,3,9.54,9.54,10.25,10.39,10.63,10.90,10.90,10.90,12.60,13.17,18.66,20.41,24.42,25.11,19.11,21.08,25.03,25.72,25.72,25.72
0.25,4,9.66,9.66,10.37,10.51,10.74,11.02,11.02,11.02,12.72,13.29,18.77,20.53,24.54,25.23,19.23,21.20,25.15,25.84,25.84,25.84
0.31,5,9.76,9.76,10.47,10.61,10.85,11.13,11.13,11.13,12.82,13.39,18.88,20.64,24.64,25.33,19.33,21.31,25.25,25.94,25.94,25.94
0.38,6,9.88,9.88,10.59,10.73,10.97,11.24,11.24,11.24,12.94,13.51,19.00,20.75,24.76,25.45,19.45,21.42,25.37,26.06,26.06,26.06
0.44,7,9.99,9.99,10.70,10.83,11.07,11.35,11.35,11.35,13.04,13.62,19.10,20.86,24.87,25.56,19.56,21.53,25.48,26.17,26.17,26.17
0.50,8,10.10,10.10,10.81,10.95,11.19,11.46,11.46,11.46,13.16,13.73,19.22,20.98,24.98,25.67,19.67,21.65,25.59,26.28,26.28,26.28
0.56,9,10.21,10.21,10.92,11.06,11.29,11.57,11.57,11.57,13.27,13.84,19.33,21.08,25.09,25.78,19.78,21.75,25.70,26.39,26.39,26.39
0.63,10,10.32,10.32,11.03,11.16,11.40,11.68,11.68,11.68,13.37,13.95,19.43,21.19,25.19,25.89,19.89,21.86,25.81,26.50,26.50,26.50
0.69,11,10.43,10.43,11.14,11.28,11.52,11.79,11.79,11.79,13.49,14.06,19.55,21.31,25.31,26.00,20.00,21.98,25.92,26.61,26.61,26.61
0.75,12,10.54,10.54,11.25,11.39,11.62,11.90,11.90,11.90,13.60,14.17,19.66,21.41,25.42,26.11,20.11,22.08,26.03,26.72,26.72,26.72
0.81,13,10.65,10.65,11.37,11.50,11.74,12.02,12.02,12.02,13.71,14.29,19.77,21.53,25.53,26.22,20.23,22.20,26.15,26.84,26.84,26.84
0.88,14,10.76,10.76,11.47,11.61,11.85,12.12,12.12,12.12,13.82,14.39,19.88,21.63,25.64,26.33,20.33,22.31,26.25,26.94,26.94,26.94
0.94,15,10.88,10.88,11.59,11.73,11.96,12.24,12.24,12.24,13.94,14.51,19.99,21.75,25.76,26.45,20.45,22.42,26.37,27.06,27.06,27.06
1.00,16,11.07,11.07,11.78,11.92,12.16,12.43,12.43,12.43,14.13,14.70,20.19,21.94,25.95,26.64,20.64,22.62,26.56,27.25,27.25,27.25
1.06,17,11.18,11.18,11.89,12.03,12.26,12.54,12.54,12.54,14.24,14.81,20.29,22.05,26.06,26.75,20.75,22.72,26.67,27.36,27.36,27.36
1.13,18,11.29,11.29,12.00,12.14,12.38,12.66,12.66,12.66,14.35,14.93,20.41,22.17,26.17,26.86,20.86,22.84,26.78,27.48,27.48,27.48
1.19,19,11.40,11.40,12.11,12.25,12.49,12.76,12.76,12.76,14.46,15.03,20.52,22.27,26.28,26.97,20.97,22.94,26.89,27.58,27.58,27.58
1.25,20,11.52,11.52,12.23,12.37,12.60,12.88,12.88,12.88,14.58,15.15,20.63,22.39,26.40,27.09,21.09,23.06,27.01,27.70,27.70,27.70
1.31,21,11.62,11.62,12.33,12.47,12.71,12.99,12.99,12.99,14.68,15.25,20.74,22.50,26.50,27.19,21.19,23.17,27.11,27.80,27.80,27.80
1.38,22,11.74,11.74,12.45,12.59,12.83,13.10,13.10,13.10,14.80,15.37,20.86,22.61,26.62,27.31,21.31,23.28,27.23,27.92,27.92,27.92
