LBS,OZ,CA-1,CA-2,CA-3,CA-4,CA-5,CA-6,CA-7,CA-8,CA-9,CA-10,CA-11,CA-12,CA-13,CA-14,CA-15,CA-16,CA-17,CA-18,CA-19,CA-20,AD,AE,AF,AG,AI,AL,AM,AN,AO,AR,AT,AU,AW,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BL,BM,BN,BO,BR,BS,BT,BW,BY,BZ,CC,CD,CF,CG,CH,CI,CK,CL,CM,CN,CO,CR,CV,CX,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,EH,ER,ES,ET,FI,FJ,FK,FM,FO,FR,GA,GB,GD,GE,GF,GH,GI,GL,GM,GN,GP,GQ,GR,GS,GT,GW,GY,HK,HN,HR,HT,HU,ID,IE,IL,IM,IN,IO,IQ,IS,IT,JM,JO,JP,KE,KG,KH,KI,KM,KN,KR,KW,KY,KZ,LA,LB,LC,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MF,MG,MH,MK,ML,MN,MO,MQ,MR,MS,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NF,NG,NI,NL,NO,NP,NR,NU,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PM,PN,PS,PT,PW,PY,QA,RE,RO,RS,RU,RW,SA,SB,SC,SE,SG,SH,SI,SJ,SK,SL,SM,SN,SR,ST,SV,SZ,TC,TD,TF,TG,TH,TJ,TL,TM,TN,TO,TR,TT,TV,TW,TZ,UA,UG,UY,UZ,VA,VC,VE,VG,VN,VU,WF,WS,YE,YT,ZA,ZM,ZW
0.06,1,7.89,7.89,8.09,8.50,8.61,8.76,8.76,8.76,10.26,10.96,12.11,12.46,13.78,14.08,13.73,14.42,16.42,16.89,16.89,16.89,20.28,12.26,23.34,13.45,23.43,18.31,27.47,15.79,17.01,21.20,10.05,17.40,15.11,15.95,17.14,13.81,14.22,36.61,17.39,14.29,14.79,18.50,13.53,22.60,17.76,12.87,20.34,17.65,15.19,17.40,20.59,15.56,18.30,17.40,17.68,18.17,13.75,16.37,15.41,22.55,18.33,15.33,13.66,17.78,21.30,17.00,17.40,15.56,7.04,15.47,14.66,11.83,13.43,12.62,16.45,20.45,9.37,17.47,15.66,21.60,12.21,12.10,11.80,15.96,17.53,33.22,38.88,37.52,16.38,11.49,13.81,21.00,22.56,19.79,10.90,38.96,18.90,15.39,22.60,13.35,15.47,11.49,12.56,21.99,17.12,22.93,13.98,9.38,13.35,20.07,17.29,15.85,19.46,11.49,21.85,13.71,12.75,18.00,19.58,16.50,15.03,18.79,17.46,14.76,14.24,14.69,12.53,24.42,20.75,15.34,16.93,16.13,16.38,16.57,14.47,16.29,13.64,12.82,17.32,9.48,23.75,15.17,17.52,15.66,37.52,20.20,16.96,22.60,18.60,33.22,16.98,16.54,20.68,18.73,22.60,17.62,22.52,13.59,14.93,15.71,17.00,14.43,15.95,20.35,15.86,24.22,13.42,17.40,22.40,13.57,19.00,14.71,12.67,12.35,21.20,21.20,15.58,12.23,15.03,21.34,20.73,13.37,15.41,14.57,23.68,23.33,18.00,12.50,33.22,14.28,12.64,22.62,12.33,20.02,24.93,16.59,13.20,15.79,13.47,11.83,17.00,15.03,15.97,14.71,10.50,15.29,19.58,15.74,12.93,15.54,14.06,12.99,13.46,15.24,37.52,17.11,16.35,14.54,13.56,14.53,13.77,15.70,16.94,13.79,13.70,22.73,15.99,12.21,15.59,21.40,24.22,15.31,24.99,15.45,13.45,14.36,14.99,19.26,15.76,14.95,22.50,20.32,15.16,19.26
0.13,2,8.00,8.00,8.20,8.62,8.72,8.87,8.87,8.87,10.37,11.07,12.23,12.58,13.90,14.20,13.85,14.53,16.53,17.00,17.00,17.00,20.52,12.52,23.75,13.95,23.80,18.59,27.85,16.14,17.31,21.60,10.26,17.92,15.42,16.26,17.44,14.10,14.51,36.72,17.76,14.53,15.05,18.85,13.84,22.94,18.09,13.17,20.83,18.03,15.47,17.73,20.91,15.87,18.70,17.92,18.02,18.50,14.08,16.57,15.74,23.36,18.72,15.65,13.99,18.14,21.68,17.38,17.92,15.82,7.28,15.67,14.98,12.06,13.76,12.93,16.71,20.83,9.60,17.77,15.95,21.94,12.44,12.45,12.02,16.37,18.24,33.52,39.18,37.73,16.74,11.72,14.10,21.38,22.86,20.11,11.20,39.35,19.26,15.73,22.94,13.75,15.70,11.72,12.89,22.36,17.44,23.17,14.33,9.61,13.70,20.29,17.62,16.08,19.77,11.72,22.14,13.94,13.04,18.32,19.80,16.84,15.30,19.12,17.75,15.11,14.53,15.13,12.82,24.79,21.04,15.60,17.29,16.53,16.83,16.85,14.76,16.49,13.93,13.14,17.64,9.71,23.96,15.40,17.86,15.95,37.73,20.60,17.23,22.94,18.94,33.52,17.30,16.89,21.09,19.01,22.94,18.00,22.89,13.87,15.25,16.02,17.34,14.75,16.21,20.67,16.13,24.62,13.78,17.92,22.75,13.93,19.24,14.93,12.94,12.78,21.70,21.70,15.83,12.56,15.39,21.75,21.18,13.65,15.73,14.78,24.07,23.97,18.32,12.74,33.52,14.69,12.89,22.98,12.56,20.28,25.31,16.87,13.50,16.35,13.75,12.05,17.28,15.38,16.22,14.93,10.72,15.61,19.80,16.06,13.28,15.96,14.41,13.30,13.97,15.59,37.73,17.44,16.64,14.93,13.84,14.87,14.06,16.45,17.18,14.10,14.43,23.04,16.29,12.45,15.91,21.78,24.60,15.57,25.36,15.78,13.95,14.70,15.57,19.68,16.45,15.30,22.74,20.68,15.47,19.61
0.19,3,8.10,8.10,8.31,8.72,8.82,8.97,8.97,8.97,10.48,11.18,12.33,12.68,14.00,14.30,13.95,14.63,16.64,17.11,17.11,17.11,20.75,12.76,24.15,14.43,24.16,18.86,28.23,16.47,17.61,21.99,10.45,18.42,15.72,16.56,17.73,14.39,14.80,36.82,18.13,14.75,15.30,19.20,14.14,23.27,18.41,13.45,21.30,18.40,15.75,18.05,21.22,16.17,19.09,18.42,18.35,18.83,14.39,16.77,16.06,24.16,19.09,15.96,14.31,18.48,22.05,17.76,18.42,16.07,7.51,15.85,15.30,12.27,14.08,13.22,16.97,21.19,9.83,18.05,16.23,22.27,12.66,12.80,12.24,16.77,18.95,33.81,39.47,37.93,17.08,11.95,14.39,21.74,23.15,20.43,11.48,39.72,19.62,16.06,23.27,14.13,15.93,11.95,13.20,22.73,17.75,23.39,14.68,9.82,14.03,20.50,17.94,16.30,20.06,11.95,22.42,14.16,13.33,18.63,20.01,17.17,15.56,19.43,18.04,15.45,14.81,15.56,13.10,25.15,21.33,15.86,17.64,16.92,17.27,17.13,15.05,16.69,14.21,13.45,17.94,9.93,24.16,15.62,18.19,16.23,37.93,21.00,17.50,23.27,19.27,33.81,17.61,17.22,21.49,19.29,23.27,18.36,23.24,14.14,15.57,16.32,17.66,15.07,16.46,20.97,16.39,25.02,14.13,18.42,23.09,14.27,19.47,15.15,13.20,13.20,22.18,22.18,16.07,12.87,15.74,22.14,21.62,13.92,16.05,14.99,24.44,24.59,18.63,12.97,33.81,15.09,13.12,23.33,12.78,20.54,25.68,17.14,13.79,16.91,14.03,12.26,17.56,15.72,16.46,15.15,10.94,15.93,20.01,16.37,13.62,16.37,14.75,13.59,14.47,15.92,37.93,17.76,16.93,15.31,14.11,15.20,14.34,17.19,17.42,14.41,15.16,23.35,16.59,12.67,16.21,22.15,24.98,15.83,25.72,16.10,14.43,15.03,16.14,20.10,17.14,15.63,22.96,21.04,15.76,19.94
0.25,4,8.22,8.22,8.42,8.84,8.94,9.09,9.09,9.09,10.59,11.29,12.44,12.79,14.11,14.41,14.06,14.75,16.75,17.22,17.22,17.22,20.99,13.02,24.55,14.93,24.53,19.14,28.61,16.82,17.91,22.39,10.66,18.93,16.04,16.87,18.03,14.68,15.09,36.92,18.50,14.98,15.55,19.55,14.46,23.61,18.74,13.75,21.78,18.78,16.03,18.38,21.54,16.48,19.49,18.93,18.69,19.16,14.72,16.97,16.40,24.97,19.48,16.28,14.64,18.84,22.43,18.15,18.93,16.34,7.75,16.05,15.62,12.50,14.41,13.52,17.23,21.57,10.07,18.35,16.52,22.61,12.89,13.15,12.47,17.18,19.66,34.11,39.77,38.15,17.44,12.18,14.68,22.12,23.46,20.75,11.78,40.10,19.98,16.40,23.61,14.53,16.16,12.18,13.53,23.11,18.07,23.63,15.03,10.05,14.38,20.72,18.26,16.52,20.36,12.18,22.72,14.39,13.63,18.95,20.23,17.51,15.83,19.76,18.33,15.79,15.11,16.00,13.40,25.51,21.63,16.12,18.00,17.32,17.72,17.41,15.34,16.89,14.51,13.77,18.26,10.16,24.37,15.85,18.54,16.52,38.15,21.40,17.77,23.61,19.62,34.11,17.94,17.56,21.90,19.57,23.61,18.73,23.60,14.42,15.90,16.64,18.00,15.39,16.72,21.29,16.66,25.42,14.49,18.93,23.44,14.62,19.71,15.37,13.48,13.64,22.68,22.68,16.33,13.19,16.09,22.54,22.07,14.20,16.37,15.20,24.82,25.23,18.95,13.21,34.11,15.50,13.37,23.69,13.01,20.80,26.07,17.42,14.09,17.48,14.31,12.48,17.85,16.07,16.71,15.37,11.17,16.26,20.23,16.69,13.96,16.79,15.10,13.90,14.97,16.27,38.15,18.08,17.22,15.70,14.39,15.54,14.63,17.94,17.66,14.72,15.90,23.66,16.89,12.90,16.53,22.53,25.36,16.09,26.09,16.42,14.93,15.37,16.72,20.53,17.83,15.98,23.20,21.40,16.07,20.29
0.31,5,8.32,8.32,8.52,8.94,9.04,9.19,9.19,9.19,10.69,11.40,12.55,12.90,14.22,14.52,14.17,14.85,16.86,17.32,17.32,17.32,21.21,13.27,24.95,15.42,24.89,19.41,28.99,17.16,18.21,22.77,10.86,19.44,16.34,17.17,18.32,14.96,15.37,37.02,18.87,15.21,15.80,19.89,14.76,23.94,19.06,14.03,22.26,19.16,16.31,18.70,21.85,16.78,19.88,19.44,19.02,19.48,15.03,17.17,16.72,25.77,19.85,16.59,14.96,19.18,22.80,18.53,19.44,16.59,7.98,16.23,15.93,12.72,14.74,13.82,17.49,21.94,10.29,18.64,16.80,22.94,13.10,13.49,12.69,17.57,20.36,34.40,40.07,38.35,17.78,12.40,14.96,22.49,23.75,21.07,12.06,40.47,20.33,16.73,23.94,14.92,16.38,12.40,13.84,23.48,18.38,23.86,15.37,10.27,14.72,20.94,18.58,16.74,20.66,12.40,23.00,14.61,13.91,19.26,20.44,17.84,16.10,20.07,18.61,16.13,15.39,16.43,13.68,25.87,21.92,16.37,18.35,17.71,18.17,17.68,15.62,17.09,14.79,14.07,18.57,10.37,24.58,16.06,18.87,16.80,38.35,21.80,18.04,23.94,19.95,34.40,18.25,17.89,22.30,19.85,23.94,19.09,23.96,14.69,16.22,16.94,18.33,15.70,16.97,21.59,16.92,25.82,14.85,19.44,23.78,14.97,19.94,15.58,13.74,14.06,23.17,23.17,16.57,13.50,16.44,22.93,22.51,14.47,16.69,15.41,25.20,25.85,19.26,13.44,34.40,15.90,13.60,24.04,13.23,21.06,26.44,17.69,14.38,18.04,14.59,12.69,18.13,16.42,16.95,15.58,11.38,16.57,20.44,17.00,14.30,17.20,15.43,14.19,15.47,16.61,38.35,18.40,17.50,16.08,14.66,15.87,14.91,18.68,17.90,15.02,16.63,23.96,17.18,13.12,16.83,22.90,25.73,16.34,26.45,16.74,15.41,15.70,17.29,20.95,18.52,16.32,23.43,21.76,16.36,20.62
0.38,6,8.44,8.44,8.64,9.05,9.15,9.31,9.31,9.31,10.81,11.51,12.66,13.01,14.33,14.63,14.28,14.97,16.97,17.44,17.44,17.44,21.45,13.53,25.36,15.91,25.26,19.68,29.37,17.50,18.51,23.17,11.06,19.95,16.65,17.48,18.62,15.25,15.66,37.13,19.24,15.44,16.06,20.25,15.07,24.28,19.39,14.33,22.74,19.54,16.59,19.03,22.17,17.09,20.28,19.95,19.37,19.82,15.36,17.37,17.05,26.58,20.24,16.91,15.29,19.53,23.18,18.91,19.95,16.85,8.22,16.43,16.26,12.94,15.07,14.12,17.76,22.32,10.53,18.94,17.09,23.28,13.33,13.84,12.92,17.98,21.08,34.70,40.37,38.56,18.13,12.63,15.25,22.86,24.05,21.39,12.36,40.86,20.70,17.07,24.28,15.31,16.61,12.63,14.17,23.86,18.69,24.09,15.73,10.49,15.07,21.16,18.90,16.97,20.96,12.63,23.29,14.84,14.21,19.58,20.66,18.18,16.37,20.39,18.90,16.47,15.68,16.87,13.97,26.24,22.22,16.63,18.71,18.12,18.62,17.96,15.91,17.29,15.09,14.39,18.89,10.60,24.79,16.29,19.22,17.09,38.56,22.20,18.32,24.28,20.29,34.70,18.57,18.24,22.71,20.13,24.28,19.47,24.32,14.97,16.55,17.25,18.67,16.03,17.23,21.90,17.19,26.23,15.21,19.95,24.13,15.32,20.18,15.80,14.01,14.49,23.66,23.66,16.83,13.83,16.80,23.34,22.97,14.75,17.01,15.62,25.58,26.49,19.58,13.68,34.70,16.31,13.85,24.40,13.46,21.32,26.82,17.97,14.68,18.61,14.87,12.91,18.42,16.77,17.19,15.80,11.61,16.90,20.66,17.32,14.64,17.62,15.78,14.49,15.98,16.96,38.56,18.73,17.80,16.47,14.94,16.21,15.20,19.43,18.15,15.34,17.36,24.27,17.48,13.35,17.15,23.28,26.12,16.61,26.82,17.07,15.90,16.04,17.87,21.38,19.21,16.67,23.67,22.12,16.67,20.97
0.44,7,8.54,8.54,8.74,9.16,9.26,9.41,9.41,9.41,10.91,11.61,12.77,13.12,14.44,14.74,14.39,15.07,17.07,17.54,17.54,17.54,21.68,13.78,25.76,16.40,25.62,19.95,29.75,17.84,18.80,23.56,11.26,20.46,16.95,17.78,18.92,15.53,15.94,37.22,19.61,15.66,16.31,20.59,15.37,24.61,19.70,14.61,23.22,19.91,16.87,19.35,22.48,17.39,20.67,20.46,19.70,20.14,15.67,17.57,17.38,27.38,20.61,17.22,15.61,19.88,23.54,19.29,20.46,17.11,8.45,16.62,16.57,13.16,15.39,14.41,18.01,22.68,10.75,19.22,17.37,23.61,13.55,14.18,13.14,18.38,21.78,34.99,40.66,38.77,18.48,12.85,15.53,23.23,24.34,21.71,12.65,41.23,21.05,17.40,24.61,15.70,16.84,12.85,14.49,24.23,19.00,24.32,16.07,10.71,15.41,21.37,19.22,17.18,21.25,12.85,23.58,15.06,14.49,19.89,20.87,18.52,16.63,20.71,19.18,16.81,15.96,17.30,14.25,26.59,22.51,16.88,19.06,18.51,19.06,18.23,16.20,17.49,15.37,14.70,19.20,10.82,24.99,16.51,19.55,17.37,38.77,22.60,18.58,24.61,20.62,34.99,18.89,18.57,23.11,20.40,24.61,19.83,24.67,15.24,16.87,17.55,18.99,16.34,17.48,22.21,17.45,26.62,15.56,20.46,24.46,15.66,20.40,16.02,14.28,14.91,24.15,24.15,17.07,14.14,17.15,23.73,23.41,15.02,17.33,15.83,25.95,27.11,19.89,13.91,34.99,16.70,14.09,24.75,13.68,21.58,27.19,18.24,14.97,19.16,15.15,13.12,18.70,17.11,17.43,16.02,11.82,17.22,20.87,17.63,14.98,18.03,16.12,14.79,16.47,17.29,38.77,19.04,18.08,16.85,15.22,16.54,15.49,20.18,18.38,15.64,18.09,24.57,17.77,13.57,17.46,23.65,26.49,16.86,27.18,17.39,16.39,16.37,18.44,21.79,19.90,17.01,23.90,22.48,16.96,21.30
0.50,8,8.65,8.65,8.85,9.27,9.37,9.52,9.52,9.52,11.03,11.73,12.88,13.23,14.55,14.85,14.50,15.18,17.19,17.66,17.66,17.66,21.92,14.03,26.17,16.89,25.99,20.23,30.13,18.19,19.11,23.95,11.47,20.97,17.26,18.10,19.22,15.82,16.23,37.33,19.98,15.90,16.57,20.95,15.68,24.95,20.03,14.91,23.70,20.30,17.15,19.68,22.80,17.70,21.06,20.97,20.04,20.47,16.00,17.77,17.71,28.19,21.00,17.55,15.94,20.23,23.92,19.68,20.97,17.37,8.69,16.81,16.89,13.38,15.72,14.72,18.28,23.06,10.99,19.52,17.66,23.95,13.78,14.53,13.37,18.78,22.49,35.29,40.96,38.98,18.83,13.08,15.82,23.60,24.64,22.04,12.94,41.61,21.41,17.73,24.95,16.09,17.07,13.08,14.81,24.61,19.32,24.56,16.42,10.94,15.76,21.60,19.55,17.41,21.56,13.08,23.87,15.30,14.79,20.21,21.09,18.86,16.90,21.03,19.47,17.16,16.26,17.74,14.55,26.96,22.81,17.14,19.42,18.91,19.51,18.51,16.49,17.69,15.66,15.02,19.52,11.05,25.20,16.74,19.89,17.66,38.98,23.00,18.86,24.95,20.97,35.29,19.21,18.91,23.52,20.69,24.95,20.20,25.03,15.52,17.20,17.87,19.33,16.66,17.74,22.52,17.72,27.03,15.92,20.97,24.81,16.02,20.64,16.24,14.55,15.34,24.65,24.65,17.33,14.46,17.51,24.13,23.86,15.30,17.66,16.04,26.34,27.75,20.21,14.15,35.29,17.11,14.33,25.11,13.92,21.84,27.57,18.52,15.27,19.73,15.43,13.34,18.98,17.46,17.68,16.24,12.05,17.54,21.09,17.95,15.33,18.46,16.46,15.09,16.98,17.64,38.98,19.37,18.38,17.24,15.50,16.87,15.78,20.93,18.63,15.95,18.83,24.88,18.08,13.81,17.77,24.03,26.88,17.12,27.55,17.72,16.88,16.71,19.02,22.22,20.59,17.36,24.13,22.85,17.27,21.64
0.56,9,8.76,8.76,8.96,9.38,9.48,9.63,9.63,9.63,11.13,11.83,12.98,13.33,14.65,14.95,14.60,15.29,17.29,17.76,17.76,17.76,22.14,14.28,26.56,17.38,26.35,20.50,30.51,18.52,19.40,24.34,11.67,21.48,17.56,18.40,19.51,16.10,16.51,37.42,20.35,16.12,16.82,21.29,15.98,25.28,20.35,15.19,24.17,20.67,17.42,20.00,23.11,18.00,21.45,21.48,20.37,20.80,16.32,17.97,18.03,28.99,21.37,17.86,16.26,20.58,24.29,20.06,21.48,17.62,8.92,17.00,17.21,13.60,16.04,15.01,18.53,23.43,11.21,19.81,17.94,24.28,14.00,14.87,13.58,19.18,23.19,35.58,41.25,39.18,19.17,13.30,16.10,23.97,24.93,22.35,13.23,41.98,21.77,18.06,25.28,16.48,17.29,13.30,15.13,24.98,19.63,24.79,16.77,11.15,16.10,21.81,19.86,17.63,21.85,13.30,24.15,15.52,15.08,20.52,21.31,19.19,17.17,21.35,19.75,17.49,16.54,18.17,14.83,27.32,23.10,17.39,19.76,19.30,19.95,18.79,16.77,17.89,15.95,15.32,19.82,11.27,25.41,16.96,20.23,17.94,39.18,23.40,19.12,25.28,21.30,35.58,19.52,19.24,23.92,20.96,25.28,20.57,25.39,15.79,17.51,18.17,19.66,16.97,17.99,22.83,17.98,27.43,16.27,21.48,25.15,16.36,20.87,16.45,14.81,15.76,25.13,25.13,17.57,14.77,17.86,24.52,24.30,15.56,17.97,16.25,26.71,28.37,20.52,14.38,35.58,17.51,14.57,25.46,14.14,22.10,27.94,18.79,15.56,20.29,15.70,13.55,19.26,17.81,17.92,16.45,12.27,17.86,21.31,18.26,15.66,18.87,16.80,15.39,17.48,17.98,39.18,19.68,18.66,17.62,15.77,17.20,16.06,21.67,18.86,16.25,19.56,25.19,18.37,14.03,18.08,24.40,27.25,17.38,27.90,18.04,17.37,17.04,19.59,22.64,21.28,17.70,24.36,23.20,17.56,21.98
0.63,10,8.86,8.86,9.06,9.48,9.58,9.73,9.73,9.73,11.23,11.94,13.09,13.44,14.76,15.06,14.71,15.39,17.40,17.86,17.86,17.86,22.37,14.53,26.96,17.86,26.71,20.77,30.88,18.86,19.69,24.73,11.86,21.98,17.86,18.70,19.80,16.38,16.80,37.52,20.71,16.34,17.07,21.63,16.29,25.61,20.67,15.48,24.65,21.04,17.70,20.32,23.42,18.30,21.84,21.98,20.70,21.12,16.63,18.16,18.36,29.79,21.75,18.17,16.58,20.92,24.66,20.43,21.98,17.88,9.15,17.18,17.52,13.82,16.37,15.30,18.79,23.80,11.44,20.10,18.22,24.61,14.22,15.21,13.80,19.58,23.90,35.87,41.54,39.38,19.52,13.52,16.38,24.33,25.22,22.67,13.51,42.36,22.12,18.39,25.61,16.86,17.52,13.52,15.44,25.35,19.94,25.01,17.11,11.37,16.44,22.02,20.18,17.84,22.14,13.52,24.43,15.74,15.36,20.83,21.52,19.52,17.43,21.66,20.03,17.83,16.82,18.60,15.11,27.67,23.39,17.65,20.11,19.69,20.39,19.06,17.05,18.08,16.23,15.63,20.13,11.49,25.61,17.18,20.56,18.22,39.38,23.79,19.39,25.61,21.63,35.87,19.84,19.58,24.32,21.24,25.62,20.93,25.74,16.06,17.83,18.47,19.99,17.29,18.24,23.13,18.24,27.82,16.62,21.98,25.49,16.71,21.10,16.66,15.08,16.19,25.62,25.62,17.81,15.09,18.21,24.92,24.74,15.83,18.29,16.46,27.08,29.00,20.83,14.61,35.87,17.91,14.80,25.81,14.36,22.35,28.31,19.06,15.85,20.85,15.98,13.76,19.54,18.15,18.16,16.66,12.48,18.17,21.52,18.57,16.00,19.28,17.14,15.68,17.97,18.32,39.38,20.00,18.95,18.00,16.04,17.53,16.34,22.41,19.10,16.56,20.29,25.49,18.66,14.25,18.38,24.76,27.62,17.63,28.26,18.36,17.85,17.37,20.16,23.06,21.96,18.04,24.59,23.56,17.86,22.31
